DateTime,市場名稱,平均價
2012-01-01,三重區,17.7
2012-01-03,三重區,17.5
2012-01-04,三重區,17.7
2012-01-05,三重區,14.9
2012-01-06,三重區,15.1
2012-01-07,三重區,13.8
2012-01-08,三重區,16.3
2012-01-10,三重區,19.0
2012-01-11,三重區,20.6
2012-01-12,三重區,15.3
2012-01-13,三重區,12.5
2012-01-14,三重區,11.3
2012-01-15,三重區,7.4
2012-01-17,三重區,10.8
2012-01-18,三重區,8.9
2012-01-19,三重區,7.2
2012-01-20,三重區,6.7
2012-01-21,三重區,4.1
2012-01-22,三重區,17.3
2012-01-28,三重區,9.5
2012-01-29,三重區,10.1
2012-01-30,三重區,10.3
2012-02-01,三重區,12.6
2012-02-02,三重區,12.3
2012-02-03,三重區,12.5
2012-02-04,三重區,11.3
2012-02-05,三重區,12.1
2012-02-06,三重區,7.7
2012-02-09,三重區,17.3
2012-02-10,三重區,10.4
2012-02-11,三重區,11.8
2012-02-12,三重區,9.9
2012-02-14,三重區,10.1
2012-02-15,三重區,10.8
2012-02-16,三重區,9.2
2012-02-17,三重區,10.8
2012-02-18,三重區,12.5
2012-02-19,三重區,12.2
2012-02-21,三重區,11.5
2012-02-22,三重區,13.5
2012-02-23,三重區,11.4
2012-02-24,三重區,8.5
2012-02-25,三重區,9.7
2012-02-26,三重區,7.4
2012-02-28,三重區,15.1
2012-02-29,三重區,24.0
2012-03-01,三重區,17.7
2012-03-02,三重區,20.1
2012-03-03,三重區,21.4
2012-03-04,三重區,21.9
2012-03-06,三重區,25.0
2012-03-07,三重區,18.6
2012-03-08,三重區,17.2
2012-03-09,三重區,11.0
2012-03-10,三重區,20.2
2012-03-11,三重區,15.1
2012-03-13,三重區,21.2
2012-03-14,三重區,23.7
2012-03-15,三重區,15.1
2012-03-16,三重區,16.1
2012-03-17,三重區,16.0
2012-03-18,三重區,24.8
2012-03-20,三重區,24.7
2012-03-21,三重區,18.7
2012-03-22,三重區,12.9
2012-03-23,三重區,10.6
2012-03-24,三重區,6.6
2012-03-25,三重區,9.8
2012-03-27,三重區,8.0
2012-03-28,三重區,9.4
2012-03-29,三重區,10.0
2012-03-30,三重區,14.0
2012-03-31,三重區,14.1
2012-04-01,三重區,11.8
2012-04-02,三重區,8.0
2012-04-03,三重區,6.9
2012-04-06,三重區,5.7
2012-04-07,三重區,5.3
2012-04-08,三重區,6.7
2012-04-10,三重區,5.9
2012-04-11,三重區,6.3
2012-04-12,三重區,6.4
2012-04-13,三重區,8.6
2012-04-14,三重區,8.4
2012-04-15,三重區,10.5
2012-04-17,三重區,10.8
2012-04-18,三重區,10.7
2012-04-19,三重區,8.0
2012-04-20,三重區,7.8
2012-04-21,三重區,6.2
2012-04-22,三重區,8.6
2012-04-24,三重區,10.7
2012-04-25,三重區,10.3
2012-04-26,三重區,7.4
2012-04-27,三重區,11.8
2012-04-28,三重區,17.3
2012-04-29,三重區,17.6
2012-05-01,三重區,25.0
2012-05-02,三重區,16.7
2012-05-03,三重區,13.6
2012-05-04,三重區,11.7
2012-05-05,三重區,30.6
2012-05-06,三重區,35.0
2012-05-08,三重區,38.9
2012-05-09,三重區,37.0
2012-05-10,三重區,42.4
2012-05-11,三重區,34.5
2012-05-12,三重區,31.7
2012-05-13,三重區,18.5
2012-05-15,三重區,16.6
2012-05-16,三重區,12.7
2012-05-17,三重區,14.7
2012-05-18,三重區,21.0
2012-05-19,三重區,18.5
2012-05-20,三重區,22.0
2012-05-22,三重區,24.2
2012-05-23,三重區,22.3
2012-05-24,三重區,27.3
2012-05-25,三重區,20.0
2012-05-26,三重區,29.5
2012-05-27,三重區,29.6
2012-05-29,三重區,21.8
2012-05-30,三重區,10.1
2012-05-31,三重區,8.1
2012-06-01,三重區,9.0
2012-06-02,三重區,14.7
2012-06-03,三重區,10.4
2012-06-05,三重區,13.8
2012-06-06,三重區,9.7
2012-06-07,三重區,9.3
2012-06-08,三重區,9.8
2012-06-09,三重區,6.9
2012-06-10,三重區,8.6
2012-06-12,三重區,11.4
2012-06-13,三重區,21.0
2012-06-14,三重區,15.5
2012-06-15,三重區,25.7
2012-06-16,三重區,15.7
2012-06-17,三重區,12.2
2012-06-19,三重區,27.7
2012-06-20,三重區,24.3
2012-06-21,三重區,29.6
2012-06-22,三重區,32.4
2012-06-23,三重區,31.7
2012-06-26,三重區,51.5
2012-06-28,三重區,58.0
2012-06-29,三重區,44.5
2012-06-30,三重區,39.1
2012-07-01,三重區,38.7
2012-07-03,三重區,28.1
2012-07-04,三重區,21.3
2012-07-05,三重區,20.1
2012-07-06,三重區,22.3
2012-07-07,三重區,20.0
2012-07-08,三重區,21.5
2012-07-10,三重區,20.1
2012-07-11,三重區,18.3
2012-07-12,三重區,14.1
2012-07-13,三重區,14.4
2012-07-14,三重區,13.5
2012-07-15,三重區,15.1
2012-07-17,三重區,15.6
2012-07-18,三重區,17.0
2012-07-19,三重區,14.6
2012-07-20,三重區,16.2
2012-07-21,三重區,9.8
2012-07-22,三重區,11.1
2012-07-24,三重區,10.2
2012-07-25,三重區,10.0
2012-07-26,三重區,9.8
2012-07-27,三重區,11.3
2012-07-28,三重區,12.0
2012-07-29,三重區,9.9
2012-07-31,三重區,18.9
2012-08-01,三重區,22.8
2012-08-02,三重區,21.8
2012-08-04,三重區,36.2
2012-08-05,三重區,25.9
2012-08-07,三重區,33.7
2012-08-08,三重區,36.4
2012-08-09,三重區,33.3
2012-08-10,三重區,42.8
2012-08-11,三重區,52.0
2012-08-12,三重區,47.0
2012-08-14,三重區,44.7
2012-08-15,三重區,38.7
2012-08-16,三重區,32.4
2012-08-17,三重區,37.6
2012-08-18,三重區,37.2
2012-08-19,三重區,33.4
2012-08-21,三重區,39.8
2012-08-22,三重區,55.0
2012-08-23,三重區,59.1
2012-08-24,三重區,54.8
2012-08-25,三重區,51.0
2012-08-26,三重區,50.4
2012-08-28,三重區,36.2
2012-08-29,三重區,27.2
2012-08-30,三重區,22.3
2012-08-31,三重區,30.3
2012-09-01,三重區,33.6
2012-09-02,三重區,35.2
2012-09-05,三重區,36.6
2012-09-06,三重區,31.3
2012-09-07,三重區,26.8
2012-09-08,三重區,19.0
2012-09-09,三重區,14.5
2012-09-11,三重區,9.9
2012-09-12,三重區,7.8
2012-09-13,三重區,12.3
2012-09-14,三重區,10.5
2012-09-15,三重區,12.8
2012-09-16,三重區,13.2
2012-09-18,三重區,14.0
2012-09-19,三重區,11.3
2012-09-20,三重區,11.6
2012-09-21,三重區,10.5
2012-09-22,三重區,6.9
2012-09-23,三重區,7.3
2012-09-25,三重區,12.0
2012-09-26,三重區,12.0
2012-09-27,三重區,14.0
2012-09-28,三重區,9.9
2012-09-29,三重區,11.2
2012-09-30,三重區,15.6
2012-10-03,三重區,12.0
2012-10-04,三重區,14.1
2012-10-05,三重區,15.8
2012-10-06,三重區,14.7
2012-10-07,三重區,11.4
2012-10-09,三重區,9.4
2012-10-10,三重區,11.6
2012-10-11,三重區,10.0
2012-10-12,三重區,10.4
2012-10-13,三重區,11.3
2012-10-14,三重區,13.8
2012-10-16,三重區,12.3
2012-10-17,三重區,13.4
2012-10-18,三重區,9.6
2012-10-19,三重區,8.2
2012-10-20,三重區,8.6
2012-10-21,三重區,10.2
2012-10-23,三重區,7.8
2012-10-24,三重區,7.6
2012-10-25,三重區,9.0
2012-10-26,三重區,8.7
2012-10-27,三重區,8.7
2012-10-28,三重區,8.5
2012-10-30,三重區,9.7
2012-10-31,三重區,8.0
2012-11-01,三重區,10.5
2012-11-02,三重區,12.4
2012-11-03,三重區,14.5
2012-11-04,三重區,21.2
2012-11-06,三重區,21.4
2012-11-07,三重區,18.9
2012-11-08,三重區,18.5
2012-11-09,三重區,14.7
2012-11-10,三重區,15.5
2012-11-11,三重區,15.4
2012-11-13,三重區,16.0
2012-11-14,三重區,14.9
2012-11-15,三重區,12.1
2012-11-16,三重區,12.4
2012-11-17,三重區,13.2
2012-11-18,三重區,13.9
2012-11-20,三重區,22.0
2012-11-21,三重區,20.9
2012-11-22,三重區,24.7
2012-11-23,三重區,22.2
2012-11-24,三重區,27.2
2012-11-25,三重區,28.9
2012-11-27,三重區,45.0
2012-11-28,三重區,35.2
2012-11-29,三重區,33.5
2012-11-30,三重區,32.0
2012-12-04,三重區,68.8
2012-12-05,三重區,68.5
2012-12-06,三重區,70.0
2012-12-07,三重區,68.0
2012-12-08,三重區,57.0
2012-12-09,三重區,55.8
2012-12-11,三重區,64.4
2012-12-12,三重區,58.0
2012-12-13,三重區,67.0
2012-12-14,三重區,55.7
2012-12-15,三重區,47.3
2012-12-16,三重區,42.8
2012-12-18,三重區,28.8
2012-12-19,三重區,20.4
2012-12-20,三重區,35.8
2012-12-21,三重區,32.2
2012-12-22,三重區,27.0
2012-12-23,三重區,25.6
2012-12-25,三重區,28.7
2012-12-26,三重區,24.4
2012-12-27,三重區,22.0
2012-12-28,三重區,21.4
2012-12-29,三重區,17.7
2012-12-30,三重區,9.7
2013-01-01,三重區,17.8
2013-01-02,三重區,18.8
2013-01-03,三重區,15.0
2013-01-04,三重區,17.8
2013-01-05,三重區,17.8
2013-01-06,三重區,16.5
2013-01-08,三重區,17.9
2013-01-09,三重區,16.4
2013-01-10,三重區,14.5
2013-01-11,三重區,13.7
2013-01-12,三重區,12.9
2013-01-13,三重區,16.3
2013-01-15,三重區,17.3
2013-01-16,三重區,13.9
2013-01-17,三重區,12.5
2013-01-18,三重區,15.7
2013-01-19,三重區,13.9
2013-01-20,三重區,13.4
2013-01-22,三重區,12.8
2013-01-23,三重區,9.6
2013-01-24,三重區,6.5
2013-01-25,三重區,8.2
2013-01-26,三重區,7.6
2013-01-27,三重區,10.2
2013-01-29,三重區,8.0
2013-01-30,三重區,7.9
2013-01-31,三重區,8.2
2013-02-01,三重區,8.1
2013-02-02,三重區,7.5
2013-02-03,三重區,8.2
2013-02-05,三重區,12.6
2013-02-06,三重區,6.0
2013-02-08,三重區,6.3
2013-02-15,三重區,17.4
2013-02-16,三重區,17.3
2013-02-17,三重區,17.4
2013-02-19,三重區,13.3
2013-02-20,三重區,11.7
2013-02-21,三重區,11.4
2013-02-22,三重區,9.9
2013-02-23,三重區,11.5
2013-02-24,三重區,14.4
2013-02-27,三重區,10.8
2013-02-28,三重區,12.0
2013-03-01,三重區,16.5
2013-03-02,三重區,13.2
2013-03-03,三重區,14.8
2013-03-05,三重區,14.0
2013-03-06,三重區,12.6
2013-03-07,三重區,9.4
2013-03-08,三重區,14.1
2013-03-09,三重區,11.6
2013-03-10,三重區,13.4
2013-03-12,三重區,13.0
2013-03-13,三重區,13.2
2013-03-14,三重區,12.7
2013-03-15,三重區,10.7
2013-03-16,三重區,10.0
2013-03-17,三重區,11.8
2013-03-19,三重區,12.3
2013-03-20,三重區,10.4
2013-03-21,三重區,8.1
2013-03-22,三重區,9.6
2013-03-23,三重區,9.5
2013-03-24,三重區,10.0
2013-03-26,三重區,11.3
2013-03-27,三重區,12.6
2013-03-28,三重區,11.0
2013-03-29,三重區,9.4
2013-03-30,三重區,7.5
2013-03-31,三重區,10.1
2013-04-02,三重區,12.1
2013-04-03,三重區,8.4
2013-04-06,三重區,18.1
2013-04-07,三重區,19.2
2013-04-09,三重區,17.1
2013-04-10,三重區,16.4
2013-04-11,三重區,17.7
2013-04-12,三重區,22.6
2013-04-13,三重區,25.7
2013-04-14,三重區,22.8
2013-04-16,三重區,31.6
2013-04-17,三重區,33.6
2013-04-18,三重區,45.7
2013-04-19,三重區,45.3
2013-04-20,三重區,39.3
2013-04-21,三重區,39.1
2013-04-23,三重區,34.1
2013-04-24,三重區,37.8
2013-04-25,三重區,31.0
2013-04-26,三重區,35.3
2013-04-27,三重區,32.2
2013-04-28,三重區,37.8
2013-04-30,三重區,38.6
2013-05-01,三重區,31.9
2013-05-02,三重區,32.9
2013-05-03,三重區,35.8
2013-05-04,三重區,32.3
2013-05-05,三重區,24.7
2013-05-07,三重區,14.1
2013-05-08,三重區,12.1
2013-05-09,三重區,10.0
2013-05-10,三重區,10.2
2013-05-11,三重區,7.5
2013-05-12,三重區,8.0
2013-05-14,三重區,11.0
2013-05-15,三重區,9.5
2013-05-16,三重區,7.2
2013-05-17,三重區,8.8
2013-05-18,三重區,8.0
2013-05-19,三重區,15.0
2013-05-21,三重區,21.4
2013-05-22,三重區,22.4
2013-05-23,三重區,23.8
2013-05-24,三重區,23.2
2013-05-25,三重區,22.1
2013-05-26,三重區,19.7
2013-05-28,三重區,31.9
2013-05-29,三重區,33.5
2013-05-30,三重區,40.2
2013-05-31,三重區,30.1
2013-06-01,三重區,20.0
2013-06-02,三重區,19.1
2013-06-04,三重區,22.8
2013-06-05,三重區,23.4
2013-06-06,三重區,19.3
2013-06-07,三重區,18.5
2013-06-08,三重區,18.8
2013-06-09,三重區,22.8
2013-06-11,三重區,21.6
2013-06-12,三重區,20.5
2013-06-15,三重區,10.8
2013-06-16,三重區,19.6
2013-06-18,三重區,15.2
2013-06-19,三重區,22.4
2013-06-20,三重區,20.6
2013-06-21,三重區,21.3
2013-06-22,三重區,25.3
2013-06-23,三重區,23.5
2013-06-25,三重區,23.2
2013-06-26,三重區,15.8
2013-06-27,三重區,7.9
2013-06-28,三重區,6.0
2013-06-29,三重區,9.6
2013-06-30,三重區,12.6
2013-07-02,三重區,15.2
2013-07-03,三重區,12.8
2013-07-04,三重區,13.0
2013-07-05,三重區,9.8
2013-07-06,三重區,10.9
2013-07-07,三重區,9.8
2013-07-09,三重區,12.4
2013-07-10,三重區,15.5
2013-07-11,三重區,33.3
2013-07-12,三重區,31.3
2013-07-13,三重區,10.2
2013-07-14,三重區,51.2
2013-07-16,三重區,17.8
2013-07-17,三重區,11.7
2013-07-18,三重區,17.1
2013-07-19,三重區,14.8
2013-07-20,三重區,18.3
2013-07-21,三重區,19.3
2013-07-23,三重區,28.0
2013-07-24,三重區,28.6
2013-07-25,三重區,31.2
2013-07-26,三重區,36.5
2013-07-27,三重區,27.7
2013-07-28,三重區,19.0
2013-07-30,三重區,17.2
2013-07-31,三重區,16.8
2013-08-01,三重區,25.4
2013-08-02,三重區,26.0
2013-08-03,三重區,26.1
2013-08-04,三重區,23.3
2013-08-06,三重區,17.5
2013-08-07,三重區,9.5
2013-08-08,三重區,14.3
2013-08-09,三重區,17.6
2013-08-10,三重區,17.6
2013-08-11,三重區,22.3
2013-08-13,三重區,20.4
2013-08-14,三重區,24.2
2013-08-15,三重區,26.2
2013-08-16,三重區,25.1
2013-08-17,三重區,19.4
2013-08-18,三重區,12.4
2013-08-20,三重區,25.8
2013-08-21,三重區,40.3
2013-08-24,三重區,46.1
2013-08-25,三重區,33.4
2013-08-27,三重區,51.5
2013-08-28,三重區,57.7
2013-08-29,三重區,69.0
2013-08-30,三重區,80.0
2013-08-31,三重區,72.2
2013-09-01,三重區,63.2
2013-09-03,三重區,72.8
2013-09-04,三重區,65.5
2013-09-05,三重區,102.0
2013-09-06,三重區,114.7
2013-09-07,三重區,108.8
2013-09-08,三重區,113.3
2013-09-10,三重區,81.4
2013-09-11,三重區,68.5
2013-09-12,三重區,39.2
2013-09-13,三重區,34.9
2013-09-14,三重區,31.3
2013-09-15,三重區,28.7
2013-09-16,三重區,36.7
2013-09-17,三重區,27.2
2013-09-18,三重區,27.9
2013-09-19,三重區,30.0
2013-09-22,三重區,29.0
2013-09-24,三重區,22.1
2013-09-25,三重區,11.6
2013-09-26,三重區,9.2
2013-09-27,三重區,9.5
2013-09-28,三重區,17.0
2013-09-29,三重區,18.6
2013-10-01,三重區,18.4
2013-10-02,三重區,23.1
2013-10-03,三重區,23.0
2013-10-04,三重區,24.6
2013-10-05,三重區,24.4
2013-10-06,三重區,25.8
2013-10-08,三重區,20.8
2013-10-09,三重區,16.1
2013-10-10,三重區,12.8
2013-10-11,三重區,15.3
2013-10-12,三重區,20.2
2013-10-13,三重區,24.1
2013-10-15,三重區,22.3
2013-10-16,三重區,23.0
2013-10-17,三重區,17.1
2013-10-18,三重區,20.6
2013-10-19,三重區,19.8
2013-10-20,三重區,28.4
2013-10-22,三重區,34.6
2013-10-23,三重區,30.6
2013-10-24,三重區,32.7
2013-10-25,三重區,27.0
2013-10-26,三重區,26.4
2013-10-27,三重區,21.1
2013-10-29,三重區,21.0
2013-10-30,三重區,14.9
2013-10-31,三重區,9.8
2013-11-01,三重區,9.2
2013-11-02,三重區,7.8
2013-11-03,三重區,7.4
2013-11-05,三重區,7.9
2013-11-06,三重區,10.4
2013-11-07,三重區,13.5
2013-11-08,三重區,11.8
2013-11-09,三重區,11.8
2013-11-10,三重區,15.2
2013-11-12,三重區,19.2
2013-11-13,三重區,19.0
2013-11-14,三重區,21.2
2013-11-15,三重區,15.9
2013-11-16,三重區,11.0
2013-11-17,三重區,11.3
2013-11-19,三重區,14.4
2013-11-20,三重區,16.5
2013-11-21,三重區,12.4
2013-11-22,三重區,14.6
2013-11-23,三重區,16.1
2013-11-24,三重區,19.7
2013-11-26,三重區,16.5
2013-11-27,三重區,20.4
2013-11-28,三重區,16.1
2013-11-29,三重區,26.9
2013-11-30,三重區,20.1
2013-12-01,三重區,22.0
2013-12-03,三重區,21.4
2013-12-04,三重區,17.8
2013-12-05,三重區,17.3
2013-12-06,三重區,16.6
2013-12-07,三重區,23.3
2013-12-08,三重區,20.3
2013-12-10,三重區,17.4
2013-12-11,三重區,15.9
2013-12-12,三重區,10.0
2013-12-13,三重區,10.4
2013-12-14,三重區,12.0
2013-12-15,三重區,11.1
2013-12-17,三重區,11.7
2013-12-18,三重區,13.4
2013-12-19,三重區,14.5
2013-12-20,三重區,14.5
2013-12-21,三重區,16.7
2013-12-22,三重區,22.8
2013-12-24,三重區,19.1
2013-12-25,三重區,18.1
2013-12-26,三重區,14.1
2013-12-27,三重區,23.7
2013-12-28,三重區,28.2
2013-12-29,三重區,27.3
2013-12-31,三重區,19.4
2014-01-01,三重區,19.5
2014-01-02,三重區,18.5
2014-01-03,三重區,15.8
2014-01-04,三重區,15.9
2014-01-05,三重區,13.0
2014-01-07,三重區,14.1
2014-01-08,三重區,12.4
2014-01-09,三重區,8.1
2014-01-10,三重區,6.1
2014-01-11,三重區,7.3
2014-01-12,三重區,12.5
2014-01-14,三重區,8.7
2014-01-15,三重區,8.2
2014-01-16,三重區,10.8
2014-01-17,三重區,7.3
2014-01-18,三重區,10.7
2014-01-19,三重區,14.0
2014-01-21,三重區,11.8
2014-01-22,三重區,8.5
2014-01-23,三重區,12.7
2014-01-24,三重區,12.0
2014-01-25,三重區,13.3
2014-01-26,三重區,11.4
2014-01-27,三重區,12.0
2014-01-28,三重區,12.2
2014-01-29,三重區,14.9
2014-01-30,三重區,18.7
2014-02-05,三重區,12.2
2014-02-06,三重區,10.2
2014-02-07,三重區,9.3
2014-02-08,三重區,9.0
2014-02-09,三重區,13.1
2014-02-11,三重區,15.5
2014-02-12,三重區,15.7
2014-02-13,三重區,21.3
2014-02-14,三重區,17.9
2014-02-18,三重區,23.9
2014-02-19,三重區,23.2
2014-02-20,三重區,25.3
2014-02-21,三重區,23.5
2014-02-22,三重區,28.1
2014-02-23,三重區,33.8
2014-02-25,三重區,28.3
2014-02-26,三重區,19.9
2014-02-27,三重區,17.9
2014-02-28,三重區,13.3
2014-03-01,三重區,11.8
2014-03-02,三重區,8.1
2014-03-04,三重區,9.1
2014-03-05,三重區,8.1
2014-03-06,三重區,11.3
2014-03-07,三重區,8.8
2014-03-08,三重區,10.2
2014-03-09,三重區,12.9
2014-03-11,三重區,13.2
2014-03-12,三重區,17.9
2014-03-13,三重區,20.0
2014-03-14,三重區,21.4
2014-03-15,三重區,22.8
2014-03-16,三重區,21.7
2014-03-18,三重區,22.0
2014-03-19,三重區,17.2
2014-03-20,三重區,14.8
2014-03-21,三重區,12.0
2014-03-22,三重區,10.2
2014-03-23,三重區,11.2
2014-03-25,三重區,11.9
2014-03-26,三重區,12.6
2014-03-27,三重區,10.7
2014-03-28,三重區,10.1
2014-03-29,三重區,8.2
2014-03-30,三重區,6.1
2014-04-01,三重區,8.3
2014-04-02,三重區,9.3
2014-04-03,三重區,9.7
2014-04-04,三重區,11.0
2014-04-08,三重區,10.9
2014-04-09,三重區,9.3
2014-04-10,三重區,16.3
2014-04-11,三重區,10.3
2014-04-12,三重區,9.1
2014-04-13,三重區,6.2
2014-04-15,三重區,10.5
2014-04-16,三重區,9.7
2014-04-17,三重區,8.2
2014-04-18,三重區,7.1
2014-04-19,三重區,6.8
2014-04-20,三重區,8.8
2014-04-22,三重區,11.6
2014-04-23,三重區,10.1
2014-04-24,三重區,7.4
2014-04-25,三重區,11.2
2014-04-26,三重區,8.5
2014-04-27,三重區,13.2
2014-04-29,三重區,13.1
2014-04-30,三重區,13.3
2014-05-01,三重區,14.3
2014-05-02,三重區,22.6
2014-05-03,三重區,21.7
2014-05-04,三重區,16.2
2014-05-06,三重區,21.6
2014-05-07,三重區,26.2
2014-05-08,三重區,27.5
2014-05-09,三重區,28.2
2014-05-10,三重區,25.1
2014-05-11,三重區,23.6
2014-05-13,三重區,28.3
2014-05-14,三重區,30.3
2014-05-15,三重區,18.0
2014-05-16,三重區,18.3
2014-05-17,三重區,25.6
2014-05-18,三重區,20.8
2014-05-20,三重區,30.7
2014-05-21,三重區,24.8
2014-05-22,三重區,28.8
2014-05-23,三重區,34.4
2014-05-24,三重區,45.6
2014-05-25,三重區,43.5
2014-05-27,三重區,50.2
2014-05-28,三重區,47.2
2014-05-29,三重區,48.0
2014-05-30,三重區,41.3
2014-05-31,三重區,19.4
2014-06-01,三重區,21.2
2014-06-02,三重區,17.7
2014-06-05,三重區,23.8
2014-06-06,三重區,27.1
2014-06-07,三重區,23.4
2014-06-08,三重區,25.4
2014-06-10,三重區,29.6
2014-06-11,三重區,20.0
2014-06-12,三重區,32.8
2014-06-13,三重區,40.9
2014-06-14,三重區,28.9
2014-06-15,三重區,33.3
2014-06-17,三重區,23.4
2014-06-18,三重區,20.2
2014-06-19,三重區,18.7
2014-06-20,三重區,16.6
2014-06-21,三重區,12.1
2014-06-22,三重區,14.5
2014-06-24,三重區,16.6
2014-06-25,三重區,20.4
2014-06-26,三重區,21.4
2014-06-27,三重區,19.0
2014-06-28,三重區,17.8
2014-06-29,三重區,10.0
2014-07-01,三重區,9.8
2014-07-02,三重區,8.8
2014-07-03,三重區,14.0
2014-07-04,三重區,11.7
2014-07-05,三重區,12.8
2014-07-06,三重區,12.9
2014-07-08,三重區,12.5
2014-07-09,三重區,12.9
2014-07-10,三重區,12.6
2014-07-11,三重區,15.3
2014-07-12,三重區,14.5
2014-07-13,三重區,18.1
2014-07-15,三重區,29.7
2014-07-16,三重區,29.7
2014-07-17,三重區,21.7
2014-07-18,三重區,18.8
2014-07-19,三重區,24.7
2014-07-20,三重區,28.3
2014-07-22,三重區,38.4
2014-07-23,三重區,36.8
2014-07-24,三重區,52.0
2014-07-25,三重區,39.7
