DateTime,市場名稱,平均價
2012-01-01,三重區,30.0
2012-01-08,三重區,40.0
2012-01-15,三重區,30.0
2012-01-18,三重區,80.0
2012-01-19,三重區,42.0
2012-01-21,三重區,69.0
2012-02-14,三重區,46.2
2012-02-19,三重區,50.0
2012-03-11,三重區,50.0
2012-03-13,三重區,42.7
2012-03-17,三重區,40.0
2012-03-18,三重區,40.0
2012-03-20,三重區,40.0
2012-03-22,三重區,38.5
2012-03-23,三重區,37.0
2012-03-24,三重區,35.0
2012-03-25,三重區,33.0
2012-03-27,三重區,34.0
2012-03-28,三重區,36.0
2012-03-29,三重區,35.0
2012-03-30,三重區,32.0
2012-03-31,三重區,35.0
2012-04-01,三重區,37.5
2012-04-02,三重區,35.4
2012-04-03,三重區,28.0
2012-04-06,三重區,35.0
2012-04-08,三重區,32.0
2012-04-10,三重區,30.0
2012-04-11,三重區,35.0
2012-04-12,三重區,22.5
2012-04-13,三重區,25.0
2012-04-14,三重區,28.1
2012-04-15,三重區,31.5
2012-04-17,三重區,30.0
2012-04-18,三重區,30.0
2012-04-19,三重區,25.0
2012-04-20,三重區,30.0
2012-04-21,三重區,30.0
2012-04-22,三重區,30.0
2012-04-24,三重區,25.6
2012-04-25,三重區,30.0
2012-04-26,三重區,23.5
2012-04-27,三重區,30.0
2012-04-28,三重區,30.0
2012-04-29,三重區,40.0
2012-05-01,三重區,40.0
2012-05-02,三重區,35.0
2012-05-03,三重區,35.0
2012-05-04,三重區,35.0
2012-05-05,三重區,30.5
2012-05-06,三重區,30.8
2012-05-08,三重區,30.0
2012-05-09,三重區,32.2
2012-05-10,三重區,28.3
2012-05-11,三重區,27.4
2012-05-12,三重區,30.0
2012-05-13,三重區,30.0
2012-05-15,三重區,25.0
2012-05-16,三重區,25.0
2012-05-17,三重區,23.1
2012-05-18,三重區,25.0
2012-05-19,三重區,25.0
2012-05-20,三重區,25.0
2012-05-22,三重區,40.0
2012-05-23,三重區,43.0
2012-05-24,三重區,35.0
2012-05-25,三重區,28.2
2012-05-26,三重區,30.0
2012-05-27,三重區,21.2
2012-05-30,三重區,24.0
2012-05-31,三重區,25.0
2012-06-06,三重區,38.3
2012-06-07,三重區,27.0
2012-06-08,三重區,25.8
2012-06-09,三重區,20.7
2012-06-10,三重區,28.5
2012-06-26,三重區,40.0
2012-06-28,三重區,65.0
2012-07-01,三重區,65.0
2012-07-04,三重區,65.0
2012-07-05,三重區,62.0
2012-07-10,三重區,82.0
2012-07-11,三重區,66.0
2012-07-12,三重區,85.0
2012-07-13,三重區,110.0
2012-07-14,三重區,95.0
2012-07-15,三重區,95.0
2012-07-17,三重區,100.0
2012-07-18,三重區,105.3
2012-07-19,三重區,86.9
2012-07-20,三重區,90.0
2012-07-21,三重區,100.0
2012-07-22,三重區,110.0
2012-07-24,三重區,120.0
2012-07-25,三重區,110.0
2012-07-26,三重區,80.0
2012-07-27,三重區,95.0
2012-07-28,三重區,100.9
2012-07-29,三重區,96.9
2012-07-31,三重區,150.0
2012-08-01,三重區,160.0
2012-08-02,三重區,120.0
2012-08-15,三重區,136.6
2012-08-21,三重區,150.0
2012-08-22,三重區,200.0
2012-08-23,三重區,185.0
2012-08-24,三重區,170.0
2012-08-26,三重區,120.0
2012-08-29,三重區,130.0
2012-08-30,三重區,125.0
2012-09-06,三重區,150.0
2012-09-11,三重區,140.0
2012-09-12,三重區,120.0
2012-09-13,三重區,92.5
2012-09-14,三重區,125.9
2012-09-15,三重區,80.0
2012-09-18,三重區,72.0
2012-09-19,三重區,100.0
2012-09-20,三重區,100.0
2012-09-21,三重區,95.0
2012-09-22,三重區,80.0
2012-09-23,三重區,75.0
2012-09-25,三重區,75.0
2012-09-26,三重區,70.6
2012-09-27,三重區,65.0
2012-09-28,三重區,70.0
2012-09-30,三重區,65.0
2012-10-03,三重區,60.0
2012-10-04,三重區,75.0
2012-10-05,三重區,75.0
2012-10-06,三重區,75.0
2012-10-07,三重區,76.4
2012-10-09,三重區,75.0
2012-10-10,三重區,57.5
2012-10-11,三重區,52.0
2012-10-12,三重區,52.0
2012-10-13,三重區,75.0
2012-10-14,三重區,65.0
2012-10-16,三重區,68.0
2012-10-17,三重區,60.0
2012-10-18,三重區,44.0
2012-10-19,三重區,50.0
2012-10-20,三重區,44.5
2012-10-21,三重區,51.5
2012-10-23,三重區,50.0
2012-10-24,三重區,50.0
2012-10-25,三重區,58.5
2012-10-26,三重區,52.2
2012-10-27,三重區,43.1
2012-10-28,三重區,45.7
2012-10-30,三重區,42.5
2012-10-31,三重區,35.5
2012-11-01,三重區,34.5
2012-11-02,三重區,50.0
2012-11-03,三重區,50.0
2012-11-04,三重區,40.0
2012-11-06,三重區,54.0
2012-11-07,三重區,41.1
2012-11-09,三重區,37.0
2012-11-10,三重區,36.7
2012-11-11,三重區,36.6
2012-11-13,三重區,40.0
2012-11-14,三重區,40.0
2012-11-15,三重區,33.2
2012-11-16,三重區,33.0
2012-11-17,三重區,30.7
2012-11-18,三重區,32.5
2012-11-20,三重區,37.2
2012-11-21,三重區,39.2
2012-11-22,三重區,33.9
2012-11-23,三重區,30.1
2012-11-24,三重區,28.7
2012-11-25,三重區,36.5
2012-11-27,三重區,34.8
2012-11-28,三重區,37.3
2012-11-29,三重區,31.5
2012-11-30,三重區,36.0
2012-12-01,三重區,32.0
2012-12-02,三重區,32.0
2012-12-04,三重區,32.5
2012-12-05,三重區,28.3
2012-12-06,三重區,35.0
2012-12-07,三重區,35.0
2012-12-08,三重區,35.0
2012-12-09,三重區,32.0
2012-12-11,三重區,30.7
2012-12-12,三重區,35.0
2012-12-13,三重區,35.0
2012-12-14,三重區,35.0
2012-12-15,三重區,35.0
2012-12-16,三重區,29.4
2012-12-18,三重區,31.7
2012-12-19,三重區,23.9
2012-12-20,三重區,28.5
2012-12-21,三重區,28.0
2012-12-22,三重區,28.0
2012-12-23,三重區,26.9
2012-12-25,三重區,18.5
2012-12-26,三重區,32.8
2012-12-27,三重區,27.8
2012-12-28,三重區,27.0
2012-12-29,三重區,22.0
2013-01-01,三重區,51.0
2013-01-02,三重區,50.0
2013-01-03,三重區,43.6
2013-01-04,三重區,39.1
2013-01-05,三重區,39.3
2013-01-06,三重區,38.0
2013-01-08,三重區,37.5
2013-01-09,三重區,30.7
2013-01-10,三重區,30.1
2013-01-11,三重區,30.0
2013-01-13,三重區,26.7
2013-01-15,三重區,27.9
2013-01-16,三重區,30.0
2013-01-17,三重區,30.0
2013-01-18,三重區,28.0
2013-01-19,三重區,28.0
2013-01-20,三重區,28.0
2013-01-22,三重區,30.0
2013-01-23,三重區,30.6
2013-01-24,三重區,29.1
2013-01-25,三重區,24.3
2013-01-26,三重區,27.0
2013-01-27,三重區,25.0
2013-01-29,三重區,30.0
2013-01-30,三重區,28.0
2013-01-31,三重區,26.2
2013-02-01,三重區,29.0
2013-02-02,三重區,28.5
2013-02-03,三重區,32.1
2013-02-06,三重區,38.9
2013-02-08,三重區,36.3
2013-02-09,三重區,55.0
2013-02-15,三重區,35.0
2013-02-16,三重區,30.0
2013-02-17,三重區,25.0
2013-02-19,三重區,25.0
2013-02-20,三重區,22.0
2013-02-21,三重區,20.0
2013-02-22,三重區,22.0
2013-02-23,三重區,22.0
2013-02-24,三重區,40.0
2013-02-27,三重區,24.1
2013-02-28,三重區,25.0
2013-03-01,三重區,25.0
2013-03-02,三重區,21.3
2013-03-03,三重區,20.0
2013-03-05,三重區,24.0
2013-03-06,三重區,24.0
2013-03-07,三重區,22.0
2013-03-08,三重區,22.0
2013-03-09,三重區,24.6
2013-03-10,三重區,25.0
2013-03-12,三重區,30.0
2013-03-13,三重區,25.0
2013-03-14,三重區,20.0
2013-03-15,三重區,20.0
2013-03-16,三重區,20.0
