DateTime,三重區,台中市,台北一,台北二,台東市,宜蘭市,屏東市,板橋區,桃農,永靖鄉,溪湖鎮,花蓮市,豐原區,高雄市,鳳山區
2012-01-03,2105.0,351.0,16050.0,2728.0,0.0,0.0,1756.0,0.0,4.0,0.0,0.0,1190.0,0.0,4020.0,21.0
2012-01-04,1987.0,1766.0,16308.0,2819.0,0.0,0.0,782.0,0.0,32.0,0.0,0.0,1477.0,0.0,3660.0,60.0
2012-01-05,2920.0,1599.0,16553.0,3286.0,0.0,0.0,795.0,0.0,997.0,0.0,0.0,2225.0,0.0,3586.0,130.0
2012-01-06,2394.0,1785.0,13967.0,3386.0,0.0,0.0,750.0,0.0,230.0,0.0,0.0,2335.0,0.0,4217.0,810.0
2012-01-07,3106.0,2305.0,14717.0,4003.0,0.0,0.0,1282.0,0.0,40.0,0.0,0.0,3562.0,0.0,3773.0,78.0
2012-01-11,2060.0,2244.0,13503.0,3643.0,0.0,0.0,1324.0,0.0,63.0,0.0,0.0,2533.0,0.0,3939.0,40.0
2012-01-12,2959.0,1789.0,10838.0,3459.0,0.0,0.0,667.0,0.0,601.0,0.0,0.0,1439.0,0.0,2944.0,25.0
2012-01-13,1579.0,1636.0,16978.0,4652.0,0.0,0.0,2008.0,0.0,754.0,0.0,0.0,2212.0,0.0,3248.0,136.0
2012-01-14,1113.0,1582.0,14652.0,3073.0,0.0,0.0,1554.0,0.0,718.0,0.0,0.0,1568.0,0.0,3145.0,185.0
2012-01-17,1817.0,1456.0,11770.0,2183.0,0.0,0.0,1542.0,0.0,672.0,0.0,0.0,1881.0,0.0,3435.0,311.0
2012-01-18,1336.0,1427.0,12171.0,1415.0,0.0,0.0,1021.0,0.0,788.0,0.0,0.0,1585.0,0.0,5065.0,7300.0
2012-01-19,1706.0,2146.0,13392.0,4403.0,0.0,0.0,2073.0,0.0,672.0,0.0,0.0,3583.0,0.0,4668.0,157.0
2012-01-20,631.0,1215.0,11139.0,4307.0,0.0,0.0,321.0,0.0,20.0,0.0,0.0,2404.0,0.0,4366.0,67.0
2012-02-01,1339.0,731.0,14027.0,3035.0,0.0,0.0,1113.0,0.0,20.0,0.0,0.0,1354.0,0.0,3378.0,66.0
2012-02-03,1158.0,864.0,12858.0,3049.0,0.0,0.0,799.0,0.0,576.0,0.0,0.0,2574.5,0.0,3270.0,60.0
2012-02-04,2038.0,1517.0,12824.0,3857.0,0.0,0.0,880.0,0.0,572.0,1030.0,0.0,949.0,0.0,4841.0,20.0
2012-02-05,906.0,1010.0,12187.0,3307.0,0.0,0.0,695.0,0.0,790.0,0.0,0.0,2341.0,0.0,5243.0,90.0
2012-02-09,1054.0,740.0,10714.0,2841.0,0.0,0.0,1754.0,0.0,32.0,0.0,0.0,1141.0,0.0,4579.0,20.0
