DateTime,三重區,台中市,台北一,台北二,屏東市,板橋區,桃農,西螺鎮,豐原區,高雄市,鳳山區
2012-09-06,15.0,96.0,5478.0,825.0,52.0,0.0,0.0,5073.0,0.0,377.0,0.0
2013-10-29,20.0,160.0,3384.0,1158.0,0.0,0.0,20.0,4089.0,0.0,820.0,0.0
2015-06-04,60.0,220.0,5428.0,1024.0,0.0,0.0,60.0,4153.0,0.0,400.0,0.0
2015-06-05,72.0,272.0,4416.0,1395.0,54.0,0.0,0.0,4265.0,0.0,452.0,0.0
2015-09-19,0.0,280.0,3651.0,1197.0,25.0,0.0,0.0,3814.0,0.0,240.0,20.0
2016-05-04,4.0,180.0,3831.0,1044.0,0.0,0.0,0.0,4093.0,468.0,122.0,0.0
2016-07-28,5.0,120.0,4464.0,903.0,0.0,0.0,0.0,4107.0,1512.0,110.0,0.0
2016-08-13,12.0,180.0,3759.0,1053.0,0.0,0.0,0.0,5007.0,360.0,177.0,0.0
2016-09-10,21.0,152.0,4362.0,1053.0,20.0,0.0,0.0,0.0,360.0,181.0,0.0
2016-10-11,5.0,70.0,4694.0,1008.0,0.0,0.0,0.0,4202.0,324.0,157.0,0.0
2016-12-01,0.0,241.0,3654.0,780.0,40.0,0.0,0.0,3740.0,372.0,139.0,0.0
2016-12-14,0.0,96.0,3789.0,981.0,0.0,0.0,15.0,3633.0,432.0,90.0,0.0
2017-04-07,0.0,110.0,4011.0,1035.0,0.0,288.0,0.0,4262.0,228.0,270.0,0.0
2017-04-25,0.0,320.0,4230.0,1242.0,0.0,317.0,0.0,3639.0,700.0,245.0,0.0
2017-04-30,0.0,330.0,3666.0,1152.0,0.0,438.0,0.0,372.0,180.0,282.0,0.0
2017-05-05,0.0,160.0,4641.0,1179.0,0.0,240.0,0.0,3843.0,1000.0,205.0,0.0
2017-05-18,0.0,180.0,3477.0,1215.0,0.0,660.0,0.0,3506.0,84.0,222.0,0.0
2017-06-07,0.0,120.0,3801.0,954.0,0.0,282.0,0.0,3792.0,1200.0,100.0,0.0
2017-06-16,0.0,170.0,3724.0,882.0,0.0,246.0,0.0,3900.0,1000.0,170.0,0.0
2017-06-21,0.0,216.0,3902.0,846.0,0.0,288.0,0.0,3935.0,900.0,160.0,0.0
2017-06-27,0.0,200.0,4096.0,1139.0,0.0,282.0,0.0,3484.0,1200.0,180.0,0.0
2017-07-02,20.0,228.0,3255.0,1170.0,0.0,162.0,0.0,276.0,0.0,150.0,0.0
2017-07-06,0.0,170.0,3681.0,1026.0,0.0,180.0,0.0,3372.0,1100.0,196.0,0.0
2017-07-07,0.0,170.0,3453.0,906.0,0.0,210.0,0.0,3603.0,272.0,170.0,0.0
2017-08-04,14.0,146.0,3009.0,1026.0,0.0,300.0,0.0,3115.0,0.0,182.0,0.0
2017-08-24,0.0,66.0,3896.0,990.0,0.0,324.0,0.0,3354.0,100.0,224.0,0.0
2017-09-12,0.0,66.0,3199.0,1185.0,0.0,358.0,6.0,3804.0,0.0,110.0,0.0
2017-09-20,5.0,136.0,2952.0,990.0,0.0,444.0,0.0,3384.0,0.0,113.0,0.0
2017-09-28,10.0,150.0,3201.0,873.0,0.0,252.0,2.0,3046.0,0.0,120.0,0.0
2017-10-01,0.0,286.0,3522.0,1215.0,0.0,280.0,5.0,204.0,0.0,100.0,0.0
2017-10-04,20.0,226.0,5153.0,1809.0,0.0,552.0,0.0,0.0,1000.0,100.0,0.0
2017-10-11,0.0,166.0,5237.0,1026.0,0.0,180.0,5.0,4249.0,0.0,110.0,0.0
2017-10-12,5.0,75.0,3234.0,837.0,0.0,180.0,0.0,3019.0,0.0,100.0,0.0
2017-10-15,0.0,166.0,3618.0,945.0,0.0,216.0,6.0,177.0,0.0,100.0,0.0
2017-10-19,6.0,126.0,3358.0,909.0,0.0,144.0,4.0,2987.0,0.0,100.0,0.0
2017-10-21,60.0,186.0,3300.0,1077.0,0.0,144.0,4.0,0.0,0.0,90.0,0.0
2017-10-26,0.0,126.0,3608.0,909.0,0.0,144.0,3.0,3154.0,0.0,100.0,0.0
2017-10-31,0.0,119.0,3423.0,1134.0,0.0,108.0,5.0,3272.0,0.0,60.0,0.0
