DateTime,臺北市,嘉義市,新竹市,基隆市,新北市,桃園市,臺中市,彰化縣,高雄市,臺南市,金門縣,澎湖縣,雲林縣,連江縣,新竹縣,苗栗縣,屏東縣,嘉義縣,宜蘭縣,南投縣,花蓮縣,臺東縣
2012-01-01,110843.0,0,0,0,0.0,1309.0,8341.0,0.0,23941.0,0,0,0,0,0,0,0,6043.0,0,0.0,0,12052.0,0.0
2012-01-08,109596.0,0,0,0,0.0,3528.0,10511.0,0.0,20614.0,0,0,0,0,0,0,0,7049.0,0,0.0,0,9906.0,0.0
2012-01-15,82779.0,0,0,0,0.0,3231.0,8322.0,0.0,32892.0,0,0,0,0,0,0,0,6530.0,0,0.0,0,11308.0,0.0
2012-01-22,12783.0,0,0,0,0.0,0.0,969.0,0.0,4633.0,0,0,0,0,0,0,0,986.0,0,0.0,0,2152.0,0.0
2012-01-29,80767.0,0,0,0,0.0,1608.0,5185.0,1030.0,20725.0,0,0,0,0,0,0,0,4187.0,0,0.0,0,9338.5,0.0
2012-02-05,66279.0,0,0,0,0.0,1782.0,4166.0,0.0,22139.0,0,0,0,0,0,0,0,4082.0,0,0.0,0,8261.0,0.0
2012-02-12,80638.0,0,0,0,0.0,795.0,6943.0,0.0,25121.0,0,0,0,0,0,0,0,2652.0,0,0.0,0,12660.0,0.0
2012-02-19,66690.0,0,0,0,0.0,723.0,3948.0,604.0,21567.0,0,0,0,0,0,0,0,3435.0,0,0.0,0,14187.0,0.0
2012-02-26,60946.0,0,0,0,0.0,1039.0,4476.0,0.0,15774.0,0,0,0,0,0,0,0,4903.0,0,0.0,0,14752.0,0.0
2012-03-04,63386.0,0,0,0,0.0,714.0,4917.0,0.0,15812.0,0,0,0,0,0,0,0,3333.0,0,0.0,0,15940.0,0.0
2012-03-11,76584.0,0,0,0,0.0,74.0,2585.0,0.0,16334.0,0,0,0,0,0,0,0,1062.0,0,0.0,0,12257.5,0.0
2012-03-18,75441.0,0,0,0,0.0,90.0,2418.0,0.0,15533.0,0,0,0,0,0,0,0,1028.0,0,0.0,0,21263.0,0.0
2012-03-25,51319.0,0,0,0,0.0,164.0,5790.0,0.0,9980.0,0,0,0,0,0,0,0,1407.0,0,0.0,0,14296.0,0.0
2012-04-01,47509.0,0,0,0,0.0,479.0,3982.0,0.0,6811.0,0,0,0,0,0,0,0,2474.0,0,0.0,0,13579.0,0.0
2012-04-08,89304.0,0,0,0,0.0,1277.0,8846.0,0.0,20080.0,0,0,0,0,0,0,0,4903.0,0,0.0,0,19121.0,0.0
2012-04-15,96512.0,0,0,0,0.0,2069.0,11078.0,0.0,24603.0,0,0,0,0,0,0,0,8027.0,0,0.0,0,20359.0,0.0
2012-04-22,100304.0,0,0,0,0.0,2333.0,9424.0,0.0,31015.0,0,0,0,0,0,0,0,8107.0,0,0.0,0,16869.0,0.0
2012-04-29,90118.0,0,0,0,0.0,4188.0,9141.0,337.0,22932.0,0,0,0,0,0,0,0,8007.0,0,0.0,0,17701.0,0.0
2012-05-06,122070.0,0,0,0,0.0,2274.0,13206.0,1434.0,40843.0,0,0,0,0,0,0,0,8732.0,0,0.0,0,11528.5,0.0
2012-05-13,122468.0,0,0,0,0.0,0.0,14460.0,2340.0,35485.0,0,0,0,0,0,0,0,12233.0,0,0.0,0,0.0,0.0
2012-05-20,128058.0,0,0,0,0.0,0.0,11150.0,10301.0,34529.0,0,0,0,0,0,0,0,11438.0,0,0.0,0,0.0,0.0
2012-05-27,127323.0,0,0,0,0.0,0.0,13473.0,0.0,35094.0,0,0,0,0,0,0,0,10310.0,0,0.0,0,0.0,0.0
2012-06-03,114085.0,0,0,0,0.0,1518.0,11693.0,6025.0,26171.0,0,0,0,0,0,0,0,11197.0,0,0.0,0,0.0,0.0
2012-06-10,86955.0,0,0,0,0.0,12.0,7707.0,10460.0,27266.0,0,0,0,0,0,0,0,3911.0,0,0.0,0,1062.0,0.0
2012-06-17,140812.0,0,0,0,0.0,235.0,7050.0,4645.0,24518.0,0,0,0,0,0,0,0,4810.0,0,0.0,0,0.0,0.0
2012-06-24,139379.0,0,0,0,0.0,4728.0,7641.0,14075.0,27529.0,0,0,0,0,0,0,0,10053.0,0,0.0,0,3173.0,0.0
2012-07-01,117299.0,0,0,0,0.0,1413.0,5697.0,4548.0,28235.0,0,0,0,0,0,0,0,8869.0,0,0.0,0,0.0,0.0
2012-07-08,72371.0,0,0,0,0.0,1621.0,4071.0,13180.0,19232.0,0,0,0,0,0,0,0,6836.0,0,0.0,0,0.0,0.0
2012-07-15,55161.0,0,0,0,0.0,730.0,2243.0,900.0,19035.0,0,0,0,0,0,0,0,1670.0,0,0.0,0,0.0,0.0
2012-07-22,65455.0,0,0,0,0.0,503.0,1024.0,0.0,10271.0,0,0,0,0,0,0,0,2684.0,0,0.0,0,0.0,0.0
2012-07-29,57733.0,0,0,0,0.0,147.0,1040.0,1595.0,7063.0,0,0,0,0,0,0,0,2097.0,0,0.0,0,0.0,0.0
2012-08-05,77857.0,0,0,0,0.0,474.0,1180.0,2690.0,15143.0,0,0,0,0,0,0,0,1619.0,0,0.0,0,0.0,0.0
2012-08-12,63344.0,0,0,0,0.0,509.0,3379.0,390.0,16776.0,0,0,0,0,0,0,0,5941.0,0,0.0,0,0.0,0.0
2012-08-19,48698.0,0,0,0,0.0,525.0,2336.0,0.0,9937.0,0,0,0,0,0,0,0,5594.0,0,0.0,0,0.0,0.0
2012-08-26,49608.0,0,0,0,0.0,880.0,1898.0,0.0,10658.0,0,0,0,0,0,0,0,6443.0,0,0.0,0,0.0,0.0
2012-09-02,56007.0,0,0,0,0.0,1389.0,4585.0,0.0,11789.0,0,0,0,0,0,0,0,8297.0,0,0.0,0,7521.0,0.0
2012-09-09,58404.0,0,0,0,0.0,1147.0,2668.0,0.0,17140.0,0,0,0,0,0,0,0,7907.0,0,0.0,0,3611.0,0.0
2012-09-16,77405.0,0,0,0,0.0,3042.0,4235.0,0.0,21008.0,0,0,0,0,0,0,0,11202.0,0,0.0,0,3652.0,0.0
2012-09-23,63068.0,0,0,0,0.0,3520.0,5425.0,1070.0,19436.0,0,0,0,0,0,0,0,9769.0,0,0.0,0,6073.0,0.0
2012-09-30,46241.0,0,0,0,0.0,5478.0,5471.0,3453.0,17794.0,0,0,0,0,0,0,0,6865.0,0,0.0,0,4845.0,0.0
2012-10-07,70615.0,0,0,0,0.0,2063.0,5145.0,4380.0,20157.0,0,0,0,0,0,0,0,10009.0,0,0.0,0,4789.5,0.0
2012-10-14,95473.0,0,0,0,0.0,2327.0,7707.0,3501.0,23868.0,0,0,0,0,0,0,0,10893.0,0,0.0,0,5602.0,0.0
2012-10-21,78110.0,0,0,0,0.0,3429.0,7756.0,380.0,19236.0,0,0,0,0,0,0,0,7308.0,0,0.0,0,6403.0,0.0
2012-10-28,117354.0,0,0,0,0.0,5431.0,8990.0,1414.0,29670.0,0,0,0,0,0,0,0,11632.0,0,0.0,0,10555.5,0.0
2012-11-04,118746.0,0,0,0,0.0,2726.0,7566.0,6075.0,35062.0,0,0,0,0,0,0,0,7998.0,0,0.0,0,11041.0,0.0
2012-11-11,113079.0,0,0,0,0.0,3959.0,10505.0,8197.0,38447.0,0,0,0,0,0,0,0,11851.0,0,0.0,0,7995.0,0.0
2012-11-18,122591.0,0,0,0,0.0,1840.0,12318.0,3819.0,17980.0,0,0,0,0,0,0,0,6092.0,0,0.0,0,6214.0,0.0
2012-11-25,128502.0,0,0,0,0.0,1896.0,8429.0,5960.0,23849.0,0,0,0,0,0,0,0,8228.0,0,0.0,0,3728.0,0.0
2012-12-02,161981.0,0,0,0,0.0,3032.0,14242.0,6607.0,33343.0,0,0,0,0,0,0,0,13484.0,0,0.0,0,3030.5,0.0
2012-12-09,217560.0,0,0,0,0.0,6709.0,14730.0,8729.0,37201.0,0,0,0,0,0,0,0,13652.0,0,0.0,0,10794.5,0.0
2012-12-16,209122.0,0,0,0,0.0,5084.0,24779.0,0.0,29456.0,0,0,0,0,0,0,0,13241.0,0,0.0,0,11099.0,0.0
2012-12-23,180768.0,0,0,0,0.0,3456.0,15250.0,3579.0,38216.0,0,0,0,0,0,0,0,12475.0,0,0.0,0,1809.0,0.0
2012-12-30,127974.0,0,0,0,0.0,1708.0,11491.0,1607.0,25407.0,0,0,0,0,0,0,0,9894.0,0,0.0,0,5787.0,0.0
2013-01-06,138695.0,0,0,0,0.0,2383.0,18921.0,855.0,33190.0,0,0,0,0,0,0,0,10353.0,0,0.0,0,9548.0,0.0
2013-01-13,149452.0,0,0,0,0.0,1246.0,14756.0,0.0,27498.0,0,0,0,0,0,0,0,8850.0,0,0.0,0,0.0,0.0
2013-01-20,161560.0,0,0,0,0.0,1475.0,10899.0,0.0,22861.0,0,0,0,0,0,0,0,9132.0,0,0.0,0,0.0,0.0
2013-01-27,127483.0,0,0,0,0.0,1171.0,12970.0,0.0,32928.0,0,0,0,0,0,0,0,7617.0,0,0.0,0,3060.0,0.0
2013-02-03,129737.0,0,0,0,0.0,3651.0,17317.0,0.0,26045.0,0,0,0,0,0,0,0,6208.0,0,0.0,0,8163.0,0.0
2013-02-10,29579.0,0,0,0,0.0,168.0,2510.0,0.0,12763.0,0,0,0,0,0,0,0,259.0,0,0.0,0,8791.0,0.0
2013-02-17,159003.0,0,0,0,0.0,3870.0,17281.0,0.0,38261.0,0,0,0,0,0,0,0,9257.0,0,0.0,0,19397.0,0.0
2013-02-24,110435.0,0,0,0,0.0,4806.0,10867.0,0.0,26872.0,0,0,0,0,0,0,0,7096.0,0,0.0,0,16317.0,0.0
