DateTime,臺北市,嘉義市,新竹市,基隆市,新北市,桃園市,臺中市,彰化縣,高雄市,臺南市,金門縣,澎湖縣,雲林縣,連江縣,新竹縣,苗栗縣,屏東縣,嘉義縣,宜蘭縣,南投縣,花蓮縣,臺東縣
2012-01-01,34713.0,0,0,0,0.0,0.0,0.0,0,2176.0,0,0,0,28762.0,0,0,0,256.0,0,0,0,0,0
2012-01-08,32187.0,0,0,0,0.0,0.0,0.0,0,2503.0,0,0,0,23586.0,0,0,0,0.0,0,0,0,0,0
2012-01-15,47650.0,0,0,0,0.0,0.0,0.0,0,2510.0,0,0,0,28658.0,0,0,0,0.0,0,0,0,0,0
2012-01-22,7158.0,0,0,0,0.0,0.0,0.0,0,420.0,0,0,0,8111.0,0,0,0,0.0,0,0,0,0,0
2012-01-29,29801.0,0,0,0,0.0,0.0,0.0,0,2460.0,0,0,0,25315.0,0,0,0,0.0,0,0,0,0,0
2012-02-05,30286.0,0,0,0,0.0,0.0,0.0,0,2220.0,0,0,0,24019.0,0,0,0,0.0,0,0,0,0,0
2012-02-12,31867.0,0,0,0,0.0,0.0,0.0,0,1940.0,0,0,0,25465.0,0,0,0,0.0,0,0,0,0,0
2012-02-19,30657.0,0,0,0,0.0,0.0,0.0,0,2430.0,0,0,0,26986.0,0,0,0,0.0,0,0,0,0,0
2012-02-26,27856.0,0,0,0,0.0,0.0,0.0,0,2170.0,0,0,0,25563.0,0,0,0,0.0,0,0,0,0,0
2012-03-04,30736.0,0,0,0,0.0,0.0,0.0,0,2340.0,0,0,0,26920.0,0,0,0,0.0,0,0,0,0,0
2012-03-11,31578.0,0,0,0,0.0,0.0,0.0,0,2370.0,0,0,0,26834.0,0,0,0,0.0,0,0,0,0,0
2012-03-18,30120.0,0,0,0,0.0,20.0,0.0,0,2370.0,0,0,0,29819.0,0,0,0,0.0,0,0,0,0,0
2012-03-25,29310.0,0,0,0,0.0,0.0,0.0,0,2930.0,0,0,0,30104.0,0,0,0,0.0,0,0,0,0,0
2012-04-01,27619.0,0,0,0,0.0,0.0,0.0,0,1115.0,0,0,0,25295.0,0,0,0,0.0,0,0,0,0,0
2012-04-08,30609.0,0,0,0,0.0,0.0,0.0,0,2130.0,0,0,0,26593.0,0,0,0,0.0,0,0,0,0,0
2012-04-15,30875.0,0,0,0,0.0,0.0,0.0,0,2740.0,0,0,0,25711.0,0,0,0,0.0,0,0,0,0,0
2012-04-22,29033.0,0,0,0,0.0,22.0,0.0,0,2870.0,0,0,0,25370.0,0,0,0,0.0,0,0,0,0,0
2012-04-29,31558.0,0,0,0,0.0,286.0,0.0,0,2350.0,0,0,0,25974.0,0,0,0,0.0,0,0,0,0,0
2012-05-06,32808.0,0,0,0,0.0,145.0,2354.0,0,2280.0,0,0,0,14482.0,0,0,0,0.0,0,0,0,0,0
2012-05-13,30260.0,0,0,0,0.0,0.0,0.0,0,2025.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-05-20,27805.0,0,0,0,0.0,0.0,776.0,0,2050.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-05-27,29593.0,0,0,0,0.0,0.0,847.0,0,2440.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-06-03,31146.0,0,0,0,0.0,0.0,712.0,0,2050.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-06-10,30666.0,0,0,0,0.0,0.0,0.0,0,2180.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-06-17,32794.0,0,0,0,0.0,0.0,0.0,0,1630.0,0,0,0,0.0,0,0,0,73.0,0,0,0,0,0
2012-06-24,22061.0,0,0,0,0.0,0.0,0.0,0,1450.0,0,0,0,5592.0,0,0,0,0.0,0,0,0,0,0
2012-07-01,31368.0,0,0,0,0.0,0.0,1210.0,0,1950.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-07-08,26313.0,0,0,0,0.0,0.0,0.0,0,2380.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-07-15,30154.0,0,0,0,0.0,0.0,0.0,0,2580.0,0,0,0,0.0,0,0,0,20.0,0,0,0,0,0
2012-07-22,30022.0,0,0,0,0.0,0.0,0.0,0,2355.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-07-29,30620.0,0,0,0,0.0,0.0,524.0,0,2960.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-08-05,27611.0,0,0,0,0.0,20.0,595.0,0,2300.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-08-12,29236.0,0,0,0,0.0,10.0,623.0,0,1995.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-08-19,28870.0,0,0,0,0.0,0.0,543.0,0,1785.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
2012-08-26,28419.0,0,0,0,0.0,15.0,567.0,0,1768.0,0,0,0,4176.0,0,0,0,0.0,0,0,0,0,0
2012-09-02,28404.0,0,0,0,0.0,10.0,624.0,0,1923.0,0,0,0,31292.0,0,0,0,100.0,0,0,0,0,0
2012-09-09,27866.0,0,0,0,0.0,0.0,0.0,0,1992.0,0,0,0,30920.0,0,0,0,21.0,0,0,0,0,0
2012-09-16,29000.0,0,0,0,0.0,0.0,0.0,0,1642.0,0,0,0,32742.0,0,0,0,0.0,0,0,0,0,0
2012-09-23,29696.0,0,0,0,0.0,0.0,0.0,0,1955.0,0,0,0,32612.0,0,0,0,100.0,0,0,0,0,0
2012-09-30,28569.0,0,0,0,0.0,0.0,0.0,0,1505.0,0,0,0,32868.0,0,0,0,0.0,0,0,0,0,0
2012-10-07,29820.0,0,0,0,0.0,0.0,0.0,0,1455.0,0,0,0,34668.0,0,0,0,0.0,0,0,0,0,0
