DateTime,臺北市,嘉義市,新竹市,基隆市,新北市,桃園市,臺中市,彰化縣,高雄市,臺南市,金門縣,澎湖縣,雲林縣,連江縣,新竹縣,苗栗縣,屏東縣,嘉義縣,宜蘭縣,南投縣,花蓮縣,臺東縣
2012-01-01,245978.0,16970.0,0,0,0.0,1345.0,152307.0,0,74153.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-08,207417.0,13460.0,0,0,0.0,722.0,100391.0,0,88914.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-15,292110.0,27400.0,0,0,0.0,1092.0,139173.0,0,67184.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-22,31031.0,1980.0,0,0,0.0,0.0,27030.0,0,16685.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-29,205264.0,17444.0,0,0,0.0,216.0,114415.0,0,60949.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-05,136132.0,12100.0,0,0,0.0,48.0,84123.0,0,60375.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-12,205126.0,14620.0,0,0,0.0,360.0,112577.0,0,81133.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-19,235785.0,13190.0,0,0,0.0,2088.0,146711.0,0,96149.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-26,291652.0,18460.0,0,0,0.0,1440.0,158339.0,0,82458.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-04,319660.0,25160.0,0,0,0.0,1866.0,200912.0,0,90415.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-11,235521.0,26300.0,0,0,0.0,0.0,164218.0,0,100220.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-18,413635.0,24770.0,0,0,0.0,336.0,297104.0,0,134866.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-25,323970.0,26250.0,0,0,0.0,288.0,238486.0,0,70665.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-01,390881.0,18950.0,0,0,0.0,67.0,309442.0,0,87656.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-08,522252.0,34660.0,0,0,0.0,780.0,345990.0,0,116938.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-15,460796.0,30870.0,0,0,0.0,1956.0,417783.0,0,100300.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-22,406674.0,17770.0,0,0,0.0,1644.0,348546.0,0,99756.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-29,518103.0,20860.0,0,0,0.0,1452.0,475166.0,0,103842.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-05-06,458412.0,17800.0,0,0,0.0,458.0,420107.0,0,104458.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
