DateTime,臺北市,嘉義市,新竹市,基隆市,新北市,桃園市,臺中市,彰化縣,高雄市,臺南市,金門縣,澎湖縣,雲林縣,連江縣,新竹縣,苗栗縣,屏東縣,嘉義縣,宜蘭縣,南投縣,花蓮縣,臺東縣
2012-01-01,46716.0,9950.0,0,0,0.0,0.0,22647.0,0,36876.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-08,32017.0,9520.0,0,0,0.0,0.0,10417.0,0,18521.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-15,43748.0,19220.0,0,0,0.0,170.0,19941.0,0,13454.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-22,1899.0,500.0,0,0,0.0,0.0,1340.0,0,7939.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-29,22850.0,4070.0,0,0,0.0,90.0,5631.0,0,35829.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-05,6407.0,1570.0,0,0,0.0,0.0,5803.0,0,24372.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-12,13943.0,2850.0,0,0,0.0,0.0,8317.0,0,1000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-19,13964.0,2230.0,0,0,0.0,0.0,16709.0,0,34981.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-26,9830.0,1920.0,0,0,0.0,0.0,8574.0,0,23508.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-04,25439.0,15020.0,0,0,0.0,0.0,23396.0,0,21580.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-11,23908.0,13290.0,0,0,0.0,0.0,15889.0,0,14080.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-18,56736.0,33110.0,0,0,0.0,0.0,67445.0,0,43161.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-25,98044.0,32090.0,0,0,0.0,0.0,66610.0,0,42781.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-01,75339.0,27380.0,0,0,0.0,0.0,95544.0,0,58411.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
