DateTime,臺北市,嘉義市,新竹市,基隆市,新北市,桃園市,臺中市,彰化縣,高雄市,臺南市,金門縣,澎湖縣,雲林縣,連江縣,新竹縣,苗栗縣,屏東縣,嘉義縣,宜蘭縣,南投縣,花蓮縣,臺東縣
2012-01-01,1742.0,0,0,0,0.0,0,0.0,0,1170.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-08,1491.0,0,0,0,0.0,0,0.0,0,1064.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-15,1614.0,0,0,0,0.0,0,0.0,0,2862.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-22,490.0,0,0,0,0.0,0,0.0,0,260.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-29,1515.0,0,0,0,0.0,0,0.0,0,1480.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-05,1448.0,0,0,0,0.0,0,0.0,0,1240.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-12,1374.0,0,0,0,0.0,0,0.0,0,1940.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-19,1706.0,0,0,0,0.0,0,0.0,0,1440.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-26,1480.0,0,0,0,0.0,0,0.0,0,1752.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-04,1369.0,0,0,0,0.0,0,0.0,0,1680.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-11,1515.0,0,0,0,0.0,0,0.0,0,1440.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-18,1715.0,0,0,0,0.0,0,0.0,0,1552.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-25,1314.0,0,0,0,0.0,0,0.0,0,1344.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,1505.0,0,0,0,0.0,0,0.0,0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-08,1358.0,0,0,0,0.0,0,0.0,0,1370.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-15,1370.0,0,0,0,0.0,0,0.0,0,1160.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-22,1705.0,0,0,0,0.0,0,0.0,0,1616.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-29,1373.0,0,0,0,0.0,0,0.0,0,1480.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-06,1608.0,0,0,0,0.0,0,0.0,0,2048.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-13,1488.0,0,0,0,0.0,0,0.0,0,1470.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-20,1528.0,0,0,0,0.0,0,0.0,0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-27,1353.0,0,0,0,0.0,0,0.0,0,1490.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-03,1516.0,0,0,0,0.0,0,0.0,0,1942.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-10,1382.0,0,0,0,0.0,0,0.0,0,1380.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-17,1584.0,0,0,0,0.0,0,0.0,0,1050.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-24,1450.0,0,0,0,0.0,0,0.0,0,1100.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,1415.0,0,0,0,0.0,0,0.0,0,936.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-08,1350.0,0,0,0,0.0,0,0.0,0,1010.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-15,1670.0,0,0,0,0.0,0,0.0,0,1160.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-22,6579.0,0,0,0,0.0,0,0.0,0,1864.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-29,6954.0,0,0,0,0.0,0,0.0,0,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-05,7001.0,0,0,0,0.0,0,0.0,0,1626.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-12,6802.0,0,0,0,0.0,0,0.0,0,1516.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-19,7188.0,0,0,0,0.0,0,0.0,0,1590.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-26,6700.0,0,0,0,0.0,0,0.0,0,1262.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-02,5787.0,0,0,0,0.0,0,0.0,0,1080.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-09,6281.0,0,0,0,0.0,0,0.0,0,1740.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-16,6405.0,0,0,0,0.0,0,0.0,0,1316.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-23,6532.0,0,0,0,0.0,0,0.0,0,3106.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-30,5320.0,0,0,0,0.0,0,0.0,0,1030.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-07,6413.0,0,0,0,0.0,0,0.0,0,1170.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-14,6366.0,0,0,0,0.0,0,180.0,0,1594.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-21,6425.0,0,0,0,0.0,0,0.0,0,1720.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-28,6093.0,0,0,0,0.0,0,0.0,0,1720.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-04,6197.0,0,0,0,0.0,0,0.0,0,1870.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-11,6411.0,0,0,0,0.0,0,0.0,0,1474.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-18,6154.0,0,0,0,0.0,0,0.0,0,1640.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-25,6170.0,0,0,0,0.0,0,0.0,0,1600.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-02,6081.0,0,0,0,0.0,0,0.0,0,2010.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-09,6341.0,0,0,0,0.0,0,0.0,0,1646.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-16,6446.0,0,0,0,0.0,0,0.0,0,1988.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-23,6147.0,0,0,0,0.0,0,0.0,0,1356.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-30,5952.0,0,0,0,0.0,0,0.0,0,1574.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-06,5994.0,0,0,0,0.0,0,0.0,0,2030.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-13,6206.0,0,0,0,0.0,0,0.0,0,2066.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,5828.0,0,0,0,0.0,0,0.0,0,1736.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-27,6398.0,0,0,0,0.0,0,0.0,0,2062.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-03,6891.0,0,0,0,0.0,0,0.0,0,2638.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-10,1264.0,0,0,0,0.0,0,0.0,0,580.0,0,0,0,0,0,0,0,0,0,0,0,0,0
