DateTime,臺北市,嘉義市,新竹市,基隆市,新北市,桃園市,臺中市,彰化縣,高雄市,臺南市,金門縣,澎湖縣,雲林縣,連江縣,新竹縣,苗栗縣,屏東縣,嘉義縣,宜蘭縣,南投縣,花蓮縣,臺東縣
2012-01-01,178046.0,8690.0,0,0,0.0,2695.0,200359.0,0,206828.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-08,194034.0,7240.0,0,0,0.0,3479.0,232135.0,0,134080.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-15,195064.0,11290.0,0,0,0.0,4530.0,221303.0,0,162296.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-22,69180.0,2200.0,0,0,0.0,1725.0,118533.0,0,68285.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-29,190687.0,8160.0,0,0,0.0,3900.0,213667.4,0,174275.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-05,178342.0,6210.0,0,0,0.0,1260.0,214214.0,0,106439.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-12,192681.0,7460.0,0,0,0.0,2640.0,216777.0,0,150891.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-19,218592.0,6390.0,0,0,0.0,1582.0,269274.0,0,152895.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-26,166450.0,8520.0,0,0,0.0,1440.0,191596.0,0,154482.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-04,209663.0,9140.0,0,0,0.0,1140.0,259515.0,0,132299.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-11,199135.0,8990.0,0,0,0.0,1650.0,213818.0,0,126798.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-18,251871.0,8180.0,0,0,0.0,2250.0,304354.0,0,149139.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-25,234901.0,9670.0,0,0,0.0,2625.0,232152.0,0,101464.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-01,229729.0,6240.0,0,0,0.0,705.0,283534.0,0,80068.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-08,239078.0,9130.0,0,0,0.0,975.0,274550.0,0,105624.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-15,252509.0,9350.0,0,0,0.0,495.0,290757.8,0,145310.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-22,251242.0,7500.0,0,0,0.0,1140.0,269541.0,0,108235.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-29,265027.0,8140.0,0,0,0.0,1440.0,296986.6,0,149963.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-05-06,226392.0,6730.0,0,0,0.0,675.0,263609.0,0,137861.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-05-13,219996.0,8350.0,0,0,0.0,0.0,252825.0,0,140573.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-05-20,227550.0,6100.0,0,0,0.0,0.0,260354.0,0,110020.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-05-27,200780.0,7940.0,0,0,0.0,0.0,206986.0,0,91206.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-06-03,215081.0,4680.0,0,0,0.0,420.0,277012.0,0,153568.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-06-10,198136.0,7240.0,0,0,0.0,975.0,242536.0,0,123011.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-06-17,223642.0,4950.0,0,0,0.0,1080.0,324146.0,0,136526.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-06-24,153204.0,7950.0,0,0,0.0,1950.0,228328.0,0,106116.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-07-01,191965.0,5370.0,0,0,0.0,1780.0,268951.0,0,98973.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-07-08,181060.0,6330.0,0,0,0.0,2085.0,200555.0,0,116809.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-07-15,198193.0,6700.0,0,0,0.0,2325.0,214149.0,0,128730.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-07-22,156130.0,8900.0,0,0,0.0,2010.0,206598.0,0,115530.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-07-29,149989.0,6190.0,0,0,0.0,675.0,165897.2,0,110953.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-08-05,127709.0,6760.0,0,0,0.0,789.0,166868.8,0,113593.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-08-12,134081.0,7150.0,0,0,0.0,678.0,166420.0,0,90103.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-08-19,120599.0,6390.0,0,0,0.0,1215.0,118674.0,0,74743.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-08-26,135467.0,6100.0,0,0,0.0,1869.0,130397.4,0,38372.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-09-02,103254.0,8030.0,0,0,0.0,1620.0,108241.0,0,53898.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-09-09,117681.0,8210.0,0,0,0.0,1502.0,188467.6,0,83769.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-09-16,136966.0,5900.0,0,0,0.0,3127.0,144189.0,0,78761.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-09-23,130246.0,8570.0,0,0,0.0,2715.0,157015.0,0,64312.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
