DateTime,臺北市,嘉義市,新竹市,基隆市,新北市,桃園市,臺中市,彰化縣,高雄市,臺南市,金門縣,澎湖縣,雲林縣,連江縣,新竹縣,苗栗縣,屏東縣,嘉義縣,宜蘭縣,南投縣,花蓮縣,臺東縣
2012-01-01,65008.0,15580.0,0,0,0.0,0.0,95720.0,0,116724.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-08,63663.0,11980.0,0,0,0.0,482.0,76916.0,0,130508.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-15,107540.0,45560.0,0,0,0.0,0.0,151419.0,0,126748.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-22,37925.0,4340.0,0,0,0.0,0.0,80176.0,0,44376.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-01-29,156548.0,23720.0,0,0,0.0,0.0,199436.0,0,111664.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-05,123928.0,11080.0,0,0,0.0,0.0,106969.0,0,82905.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-12,141151.0,11540.0,0,0,0.0,327.0,113107.0,0,103840.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-19,193489.0,15400.0,0,0,0.0,0.0,240108.0,0,153953.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-02-26,249660.0,12340.0,0,0,0.0,296.0,212663.0,0,170196.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-04,396659.0,21880.0,0,0,0.0,1909.0,458357.0,0,160399.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-11,298237.0,20970.0,0,0,0.0,380.0,302221.0,0,172846.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-18,461205.0,16740.0,0,0,0.0,0.0,527999.0,0,181609.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-03-25,425282.0,18100.0,0,0,0.0,0.0,569020.0,0,175774.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-01,424645.0,12440.0,0,0,0.0,0.0,620454.0,0,142797.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-08,531894.0,28660.0,0,0,0.0,465.0,678181.0,0,261676.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-15,574801.0,32750.0,0,0,0.0,1001.0,728541.0,0,228755.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-22,445010.0,30600.0,0,0,0.0,161.0,662531.0,0,205285.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-04-29,552230.0,27380.0,0,0,0.0,2014.0,647614.0,0,259467.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-05-06,442869.0,21900.0,0,0,0.0,390.0,536087.0,0,205878.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-05-13,479536.0,33500.0,0,0,0.0,0.0,557938.0,0,186623.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-05-20,543757.0,23240.0,0,0,0.0,0.0,634739.0,0,164658.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-05-27,409500.0,33980.0,0,0,0.0,0.0,460118.0,0,189483.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-06-03,378901.0,16950.0,0,0,0.0,195.0,531162.0,0,185593.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-06-10,344416.0,21050.0,0,0,0.0,1535.0,378500.0,0,166776.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-06-17,497345.0,22875.0,0,0,0.0,1716.0,511193.0,0,169645.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-06-24,383716.0,70000.0,0,0,0.0,6763.0,412543.0,0,165018.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-07-01,381574.0,31400.0,0,0,0.0,6560.0,433263.0,0,194655.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-07-08,294877.0,34200.0,0,0,0.0,4466.0,399703.0,0,162423.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-07-15,238062.0,28900.0,0,0,0.0,4955.0,419207.0,0,161553.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-07-22,149809.0,29800.0,0,0,0.0,2550.0,299096.0,0,127465.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-07-29,117314.0,31380.0,0,0,0.0,1310.0,207026.0,0,130904.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-08-05,93855.0,20700.0,0,0,0.0,1880.0,175759.0,0,125329.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-08-12,82223.0,31600.0,0,0,0.0,2617.0,159478.0,0,99627.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-08-19,86943.0,18750.0,0,0,0.0,1006.0,75829.0,0,75550.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-08-26,78692.0,7570.0,0,0,0.0,1002.0,65439.0,0,56849.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-09-02,77745.0,7450.0,0,0,0.0,481.0,55983.0,0,76111.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-09-09,109706.0,13050.0,0,0,0.0,1289.0,105297.0,0,96689.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-09-16,94752.0,10200.0,0,0,0.0,409.0,96806.0,0,73563.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-09-23,91693.0,14900.0,0,0,0.0,653.0,125479.0,0,77794.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-09-30,68796.0,10400.0,0,0,0.0,482.0,89790.0,0,71058.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-10-07,109210.0,23550.0,0,0,0.0,393.0,121993.0,0,82435.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-10-14,70865.0,13500.0,0,0,0.0,1111.0,109169.0,0,106275.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-10-21,77669.0,12300.0,0,0,0.0,392.0,137410.0,0,129699.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2012-10-28,78971.0,12200.0,0,0,0.0,195.0,128428.0,0,113505.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
