DateTime,市場名稱,平均價
2012-05-10,三重區,90.0
2012-05-24,三重區,65.0
2012-05-30,三重區,40.0
2012-06-07,三重區,35.0
2012-07-05,三重區,45.0
2012-08-04,三重區,80.0
2012-08-08,三重區,60.0
2012-08-16,三重區,50.0
2012-08-17,三重區,50.0
2012-08-19,三重區,50.0
2012-09-01,三重區,50.0
2012-09-06,三重區,35.0
2012-12-20,三重區,72.5
2013-06-02,三重區,45.0
2013-06-05,三重區,35.0
2013-06-19,三重區,50.0
2013-08-20,三重區,120.0
2013-10-29,三重區,30.0
2015-03-04,三重區,50.0
2015-06-04,三重區,40.0
2015-06-05,三重區,40.0
2015-06-09,三重區,50.0
2016-04-08,三重區,36.4
2016-05-04,三重區,12.0
2016-07-28,三重區,170.0
2016-08-13,三重區,220.0
2016-09-10,三重區,24.8
2016-10-11,三重區,30.0
2016-12-21,三重區,80.0
2017-07-02,三重區,30.0
2017-08-04,三重區,30.0
2017-09-02,三重區,40.0
2017-09-20,三重區,80.0
2017-09-23,三重區,55.0
2017-09-28,三重區,30.0
2017-10-04,三重區,30.0
2017-10-07,三重區,50.0
2017-10-12,三重區,30.0
2017-10-19,三重區,30.0
2017-10-21,三重區,20.0
2017-11-07,三重區,120.0
2017-11-08,三重區,30.0
2017-11-14,三重區,45.0
2017-12-01,三重區,10.0
2017-12-02,三重區,10.0
2018-01-09,三重區,10.0
2018-05-31,三重區,20.0
2018-06-16,三重區,50.0
2018-06-17,三重區,57.3
2018-06-22,三重區,50.0
2018-06-26,三重區,30.0
2018-08-02,三重區,40.0
2018-08-19,三重區,45.0
2018-11-06,三重區,45.0
2018-11-10,三重區,35.0
2018-11-17,三重區,50.0
2018-12-21,三重區,45.0
2018-12-25,三重區,60.0
2019-01-19,三重區,45.0
2019-02-14,三重區,30.0
2019-03-29,三重區,80.0
2019-03-30,三重區,70.0
2019-03-31,三重區,70.0
2019-04-02,三重區,65.0
2019-04-09,三重區,60.0
2019-04-11,三重區,52.5
2019-04-14,三重區,90.0
2019-04-16,三重區,70.0
2019-04-18,三重區,91.2
2019-04-19,三重區,90.0
2019-04-20,三重區,85.0
2019-04-21,三重區,80.0
2019-04-24,三重區,70.0
2019-04-28,三重區,70.0
2019-05-01,三重區,64.4
2019-05-02,三重區,70.0
2019-05-05,三重區,90.0
2019-05-07,三重區,81.5
2019-05-09,三重區,85.0
2019-05-10,三重區,3.0
2019-05-15,三重區,71.8
2019-05-17,三重區,20.0
2019-05-18,三重區,20.0
2019-05-19,三重區,45.0
2019-05-23,三重區,30.0
2019-05-26,三重區,20.0
2019-06-13,三重區,90.0
2019-06-19,三重區,30.0
2019-06-25,三重區,26.2
2019-06-27,三重區,20.0
2019-07-19,三重區,43.8
2019-07-26,三重區,20.0
2019-08-06,三重區,10.0
2019-08-14,三重區,65.0
2019-08-15,三重區,10.0
