平均價,交易量,DateTime
36.88,10093.0,2012-01-01
38.1,4778.0,2012-01-02
37.31666666666666,9303.0,2012-01-03
35.5,11428.0,2012-01-04
35.85,12969.0,2012-01-05
39.583333333333336,10136.0,2012-01-06
32.65,8760.0,2012-01-07
34.38333333333333,6261.0,2012-01-08
38.58,11319.0,2012-01-10
38.9,13458.0,2012-01-11
37.019999999999996,8409.0,2012-01-12
37.12,12518.0,2012-01-13
36.8,7811.0,2012-01-14
38.14,8025.0,2012-01-15
38.1,4506.0,2012-01-16
36.82000000000001,11511.0,2012-01-17
38.32000000000001,10652.0,2012-01-18
38.58,12240.0,2012-01-19
38.8,17917.0,2012-01-20
38.58,15947.0,2012-01-21
44.1,5217.0,2012-01-22
38.1,3968.0,2012-01-27
38.760000000000005,6864.0,2012-01-28
38.720000000000006,9051.0,2012-01-29
37.525,10187.0,2012-01-30
42.0,4510.0,2012-01-31
39.56,8836.0,2012-02-01
39.72,9532.0,2012-02-02
40.64,8276.0,2012-02-03
41.839999999999996,8024.0,2012-02-04
40.0,8225.0,2012-02-05
38.275,12254.0,2012-02-06
38.1,4075.0,2012-02-07
40.650000000000006,4627.0,2012-02-08
38.32,9511.0,2012-02-09
39.9,9887.0,2012-02-10
38.28,9490.0,2012-02-11
41.63333333333333,7422.0,2012-02-12
38.1,4327.0,2012-02-13
38.839999999999996,8247.0,2012-02-14
40.06,13615.0,2012-02-15
39.5,9414.0,2012-02-16
39.52,8623.0,2012-02-17
39.64,9497.0,2012-02-18
41.22,7465.0,2012-02-19
38.1,4432.0,2012-02-20
41.0,8255.0,2012-02-21
41.1,10813.0,2012-02-22
41.62,9789.0,2012-02-23
42.0,9205.0,2012-02-24
43.4,11947.0,2012-02-25
46.525,5589.0,2012-02-26
38.1,4306.0,2012-02-27
45.05999999999999,10224.0,2012-02-28
39.720000000000006,11354.0,2012-02-29
44.42,8421.0,2012-03-01
44.0,8728.0,2012-03-02
43.78,9503.0,2012-03-03
44.56,6723.0,2012-03-04
38.1,4383.0,2012-03-05
45.08,10931.0,2012-03-06
45.86,10908.0,2012-03-07
44.879999999999995,9809.0,2012-03-08
44.72,11714.0,2012-03-09
44.3,8147.0,2012-03-10
43.125,5657.0,2012-03-11
38.1,4439.0,2012-03-12
42.16,11716.0,2012-03-13
41.44,12021.0,2012-03-14
41.9,8993.0,2012-03-15
42.7,12519.0,2012-03-16
41.38,7939.0,2012-03-17
42.04,6851.0,2012-03-18
38.1,4809.0,2012-03-19
41.68,10824.0,2012-03-20
39.083333333333336,10867.0,2012-03-21
41.88,13351.0,2012-03-22
40.98,8355.0,2012-03-23
41.86,9847.0,2012-03-24
43.75,8046.0,2012-03-25
38.1,5026.0,2012-03-26
42.58,10988.0,2012-03-27
44.21999999999999,10062.0,2012-03-28
45.0,9816.0,2012-03-29
46.3,10294.0,2012-03-30
45.019999999999996,10466.0,2012-03-31
45.019999999999996,6398.0,2012-04-01
44.949999999999996,10458.0,2012-04-02
49.0,10957.0,2012-04-03
52.5,200.0,2012-04-04
53.1,4825.0,2012-04-05
51.650000000000006,12094.0,2012-04-06
57.64000000000001,10596.0,2012-04-07
56.14,7609.0,2012-04-08
69.0,4559.0,2012-04-09
53.56,10620.0,2012-04-10
56.36,10429.0,2012-04-11
57.660000000000004,10979.0,2012-04-12
59.42,9317.0,2012-04-13
58.67999999999999,7979.0,2012-04-14
57.58,11432.0,2012-04-15
78.5,4191.0,2012-04-16
57.86,8938.0,2012-04-17
58.620000000000005,11086.0,2012-04-18
59.67999999999999,8994.0,2012-04-19
59.459999999999994,8313.0,2012-04-20
61.44,8756.0,2012-04-21
55.425,5400.0,2012-04-22
78.5,4254.0,2012-04-23
62.239999999999995,11234.0,2012-04-24
64.03999999999999,10385.0,2012-04-25
65.52000000000001,9452.0,2012-04-26
69.18333333333334,11256.0,2012-04-27
70.88333333333334,7691.0,2012-04-28
67.38000000000001,9060.0,2012-04-29
84.25,4211.0,2012-04-30
75.23333333333333,8258.0,2012-05-01
73.8,11144.0,2012-05-02
