平均價,交易量,DateTime
18.324,25658.0,2012-01-01
15.6,16000.0,2012-01-02
18.453,44101.0,2012-01-03
18.119000000000003,46695.0,2012-01-04
16.974,36799.0,2012-01-05
17.802,49890.0,2012-01-06
16.238999999999997,37435.0,2012-01-07
16.805,31043.0,2012-01-08
18.561999999999998,46213.0,2012-01-10
18.254,37103.0,2012-01-11
15.898000000000001,42928.0,2012-01-12
13.681999999999999,45630.0,2012-01-13
12.870000000000001,48001.0,2012-01-14
11.69,37667.0,2012-01-15
10.3,17135.0,2012-01-16
13.158000000000001,42626.0,2012-01-17
9.335,52698.0,2012-01-18
9.272000000000002,56525.0,2012-01-19
10.131,42287.0,2012-01-20
10.399999999999999,40485.0,2012-01-21
11.780000000000001,18909.0,2012-01-22
13.9,11675.0,2012-01-27
16.148000000000003,29103.0,2012-01-28
14.782999999999998,24838.0,2012-01-29
14.050000000000002,30681.0,2012-01-30
16.945,19628.0,2012-01-31
15.538999999999998,41284.0,2012-02-01
11.954999999999998,41786.0,2012-02-02
12.58,42401.0,2012-02-03
11.284,38073.0,2012-02-04
11.615,33199.0,2012-02-05
10.43142857142857,28721.0,2012-02-06
10.2,13325.0,2012-02-07
14.149999999999999,19651.0,2012-02-08
14.583999999999998,41949.0,2012-02-09
12.883000000000001,45894.0,2012-02-10
10.312,41930.0,2012-02-11
10.54125,31185.0,2012-02-12
10.1,15264.0,2012-02-13
11.627,47210.0,2012-02-14
11.416,40132.0,2012-02-15
10.849,38248.0,2012-02-16
12.641,44918.0,2012-02-17
13.114999999999998,36743.0,2012-02-18
13.726666666666667,27158.0,2012-02-19
13.45,15137.0,2012-02-20
14.347,38382.0,2012-02-21
14.621999999999996,34202.0,2012-02-22
14.977999999999998,36063.0,2012-02-23
13.945555555555556,36062.0,2012-02-24
12.205,40690.0,2012-02-25
10.498750000000001,28611.0,2012-02-26
12.3,13849.0,2012-02-27
15.616,33094.0,2012-02-28
19.320999999999998,29417.0,2012-02-29
19.161,30921.0,2012-03-01
20.499999999999996,26563.0,2012-03-02
22.796666666666667,27779.0,2012-03-03
23.538888888888888,19276.0,2012-03-04
22.0,9516.0,2012-03-05
23.66,36362.0,2012-03-06
22.165555555555553,36244.0,2012-03-07
20.958888888888893,41057.0,2012-03-08
16.537777777777777,46125.0,2012-03-09
16.206999999999997,42170.0,2012-03-10
15.845,30763.0,2012-03-11
14.65,16475.0,2012-03-12
19.401,39346.0,2012-03-13
17.984,41102.0,2012-03-14
17.893,37383.0,2012-03-15
18.030000000000005,40572.0,2012-03-16
19.32888888888889,35539.0,2012-03-17
20.92111111111111,27039.0,2012-03-18
17.35,13860.0,2012-03-19
19.625999999999998,45045.0,2012-03-20
17.997,46421.0,2012-03-21
15.191999999999998,48745.0,2012-03-22
12.741999999999999,47239.0,2012-03-23
11.758,54016.0,2012-03-24
10.73125,41642.0,2012-03-25
9.25,19340.0,2012-03-26
11.968,53732.0,2012-03-27
12.685,38658.0,2012-03-28
13.251,39004.0,2012-03-29
13.572,39799.0,2012-03-30
13.494444444444444,43443.0,2012-03-31
12.261999999999999,39724.0,2012-04-01
10.185714285714285,43213.0,2012-04-02
8.875555555555556,64956.0,2012-04-03
12.56,7886.0,2012-04-04
11.8,20500.0,2012-04-05
8.562222222222223,63701.0,2012-04-06
7.878,75054.0,2012-04-07
8.967777777777776,31576.0,2012-04-08
6.8,22610.0,2012-04-09
9.623333333333333,50598.0,2012-04-10
8.396666666666668,41852.0,2012-04-11
9.527777777777779,47011.0,2012-04-12
9.008888888888889,49662.0,2012-04-13
9.214,49992.0,2012-04-14
11.70111111111111,27534.0,2012-04-15
6.2,22090.0,2012-04-16
11.215555555555556,56883.0,2012-04-17
11.132222222222222,51969.0,2012-04-18
9.368,55204.0,2012-04-19
8.436666666666666,57227.0,2012-04-20
8.654444444444444,41231.0,2012-04-21
12.205,21074.0,2012-04-22
7.3,21540.0,2012-04-23
