平均價,交易量,DateTime
14.8375,87122.0,2012-01-01
13.0,2300.0,2012-01-02
16.025,107689.0,2012-01-03
15.0,94381.0,2012-01-04
14.928571428571429,122073.0,2012-01-05
15.22857142857143,123611.0,2012-01-06
15.942857142857141,147051.0,2012-01-07
16.35,126781.0,2012-01-08
15.914285714285715,82188.0,2012-01-10
17.2,70193.0,2012-01-11
17.17142857142857,70492.0,2012-01-12
17.85,89730.0,2012-01-13
18.228571428571428,100071.0,2012-01-14
17.54285714285714,83065.0,2012-01-15
18.0,3560.0,2012-01-16
16.67142857142857,120091.0,2012-01-17
17.0,96008.0,2012-01-18
15.975000000000001,175975.0,2012-01-19
14.825000000000001,147990.0,2012-01-20
15.199999999999998,89812.0,2012-01-21
17.414285714285715,31710.0,2012-01-22
20.966666666666665,77937.0,2012-01-28
21.585714285714285,88558.0,2012-01-29
20.883333333333336,92649.0,2012-01-30
22.066666666666666,15411.0,2012-01-31
19.871428571428574,89475.0,2012-02-01
18.966666666666665,56298.0,2012-02-02
19.928571428571427,69385.0,2012-02-03
20.057142857142857,113087.0,2012-02-04
20.375,117599.0,2012-02-05
23.916666666666668,40473.0,2012-02-06
20.0,1460.0,2012-02-08
24.53333333333333,49814.0,2012-02-09
25.400000000000002,59795.0,2012-02-10
25.028571428571432,119647.0,2012-02-11
23.028571428571432,121523.0,2012-02-12
22.0,1940.0,2012-02-13
21.7625,119551.0,2012-02-14
21.157142857142855,84454.0,2012-02-15
20.87142857142857,66169.0,2012-02-16
21.4625,62831.0,2012-02-17
22.6875,81820.0,2012-02-18
23.185714285714287,95962.0,2012-02-19
18.0,2050.0,2012-02-20
21.75,226947.0,2012-02-21
23.0125,121812.0,2012-02-22
25.14285714285714,44015.0,2012-02-23
22.925,69225.0,2012-02-24
21.025000000000002,100629.0,2012-02-25
20.133333333333333,102271.0,2012-02-26
20.0,1980.0,2012-02-27
19.049999999999997,154224.0,2012-02-28
19.225,106515.0,2012-02-29
19.7125,104989.0,2012-03-01
19.525,121252.0,2012-03-02
20.175,138523.0,2012-03-03
20.6,104216.0,2012-03-04
18.4,5632.0,2012-03-05
20.487499999999997,272048.0,2012-03-06
21.337500000000002,167489.0,2012-03-07
21.45,96521.0,2012-03-08
19.950000000000003,93029.0,2012-03-09
20.342857142857138,137400.0,2012-03-10
20.88571428571429,95803.0,2012-03-11
16.0,3400.0,2012-03-12
21.157142857142862,112509.0,2012-03-13
22.02857142857143,83668.0,2012-03-14
21.88571428571429,125133.0,2012-03-15
21.58571428571429,133763.0,2012-03-16
21.414285714285715,134004.0,2012-03-17
21.871428571428567,101544.0,2012-03-18
20.0,6224.0,2012-03-19
21.4,271695.0,2012-03-20
20.725,266811.0,2012-03-21
19.928571428571427,218177.0,2012-03-22
20.650000000000002,159035.0,2012-03-23
20.971428571428568,132287.0,2012-03-24
20.757142857142856,112524.0,2012-03-25
18.0,2800.0,2012-03-26
19.8,174575.0,2012-03-27
20.837500000000002,147476.0,2012-03-28
17.314285714285717,128937.0,2012-03-29
19.633333333333336,143224.0,2012-03-30
20.557142857142857,163385.0,2012-03-31
20.7,154725.0,2012-04-01
18.400000000000002,145227.0,2012-04-02
22.128571428571426,278554.0,2012-04-03
25.8,7328.0,2012-04-04
20.0,2180.0,2012-04-05
22.139999999999997,247658.0,2012-04-06
21.3,219957.0,2012-04-07
20.8,184051.0,2012-04-08
18.0,4280.0,2012-04-09
18.91428571428571,294264.0,2012-04-10
17.685714285714287,225875.0,2012-04-11
17.3375,219573.0,2012-04-12
16.974999999999998,203848.0,2012-04-13
16.1625,226874.0,2012-04-14
15.25,193317.0,2012-04-15
13.0,6250.0,2012-04-16
16.174999999999997,241983.0,2012-04-17
16.0375,181489.0,2012-04-18
16.5,232583.0,2012-04-19
17.242857142857144,263412.0,2012-04-20
17.77142857142857,226723.0,2012-04-21
19.63333333333333,134749.0,2012-04-22
13.0,3620.0,2012-04-23
17.7625,237522.0,2012-04-24
18.15714285714286,200247.0,2012-04-25
16.85,219338.0,2012-04-26
16.414285714285715,166081.0,2012-04-27
16.7,196559.0,2012-04-28
17.314285714285713,192562.0,2012-04-29
12.0,2688.0,2012-04-30
17.45714285714286,218709.0,2012-05-01
18.150000000000002,191164.0,2012-05-02
17.025,289720.0,2012-05-03
17.714285714285715,348526.0,2012-05-04
17.5,243319.0,2012-05-05
18.599999999999998,186893.0,2012-05-06
17.0,3386.0,2012-05-07
17.583333333333332,276636.0,2012-05-08
17.6375,208419.0,2012-05-09
16.228571428571428,215286.0,2012-05-10
16.314285714285713,203317.0,2012-05-11
16.271428571428572,212799.0,2012-05-12
16.514285714285712,152860.0,2012-05-13
14.0,3250.0,2012-05-14
16.857142857142858,254566.0,2012-05-15
16.5,194357.0,2012-05-16
16.385714285714286,188319.0,2012-05-17
16.4,191918.0,2012-05-18
16.12857142857143,236093.0,2012-05-19
17.983333333333334,235173.0,2012-05-20
13.0,2800.0,2012-05-21
18.45,216325.0,2012-05-22
16.066666666666666,200924.0,2012-05-23
15.028571428571427,230343.0,2012-05-24
14.485714285714286,207543.0,2012-05-25
14.228571428571428,226262.0,2012-05-26
15.199999999999998,158685.0,2012-05-27
12.0,4100.0,2012-05-28
14.271428571428572,210411.0,2012-05-29
14.585714285714287,148427.0,2012-05-30
14.683333333333335,144804.0,2012-05-31
14.828571428571427,169158.0,2012-06-01
16.457142857142856,206765.0,2012-06-02
17.749999999999996,235897.0,2012-06-03
15.0,2300.0,2012-06-04
17.583333333333332,204690.0,2012-06-05
16.985714285714288,107358.0,2012-06-06
17.814285714285717,107682.0,2012-06-07
18.428571428571427,123564.0,2012-06-08
20.48333333333333,139751.0,2012-06-09
19.557142857142857,118530.0,2012-06-10
15.0,3300.0,2012-06-11
