平均價,交易量,DateTime
62.822,6688.0,2012-01-01
53.7,64.0,2012-01-02
65.408,3922.0,2012-01-03
59.83833333333334,5124.0,2012-01-04
66.91,4511.0,2012-01-05
61.214,3675.0,2012-01-06
54.875,4175.0,2012-01-07
66.26666666666667,3625.0,2012-01-08
34.6,108.0,2012-01-09
68.275,5538.0,2012-01-10
62.6,4963.0,2012-01-11
70.325,4393.0,2012-01-12
68.125,6049.0,2012-01-13
64.675,7068.0,2012-01-14
57.525000000000006,7847.0,2012-01-15
40.5,339.5,2012-01-16
55.23333333333333,5864.5,2012-01-17
61.42000000000001,4426.0,2012-01-18
77.94,5542.0,2012-01-19
74.36666666666667,7094.0,2012-01-20
76.94000000000001,12084.0,2012-01-21
84.3,6985.0,2012-01-22
52.8,109.0,2012-01-27
78.5,3293.0,2012-01-28
66.45,3320.5,2012-01-29
79.525,3183.0,2012-01-30
46.74999999999999,5181.5,2012-02-01
55.23,4114.5,2012-02-02
57.45,3924.0,2012-02-03
71.03333333333333,3856.0,2012-02-04
48.13333333333333,4811.5,2012-02-05
66.775,6140.0,2012-02-06
29.4,188.5,2012-02-08
61.050000000000004,4290.5,2012-02-09
70.125,3667.0,2012-02-10
84.53333333333333,4160.0,2012-02-11
82.23333333333333,5240.0,2012-02-12
34.0,147.0,2012-02-13
61.2,5122.5,2012-02-14
67.85,3986.5,2012-02-15
66.2,3621.0,2012-02-16
70.1,3903.0,2012-02-17
46.3,4757.5,2012-02-18
72.575,5180.0,2012-02-19
39.4,64.0,2012-02-20
70.8,4260.0,2012-02-21
55.800000000000004,4161.5,2012-02-22
67.60000000000001,4234.0,2012-02-23
67.775,3468.0,2012-02-24
70.2,3301.0,2012-02-25
79.86666666666667,4322.0,2012-02-26
45.0,42.0,2012-02-27
68.775,5051.0,2012-02-28
62.89999999999999,4674.0,2012-02-29
56.400000000000006,4921.0,2012-03-01
66.65,4525.0,2012-03-02
66.85,5669.0,2012-03-03
76.26666666666667,5945.0,2012-03-04
43.6,129.0,2012-03-05
63.080000000000005,6240.0,2012-03-06
65.1,4853.0,2012-03-07
62.050000000000004,4514.5,2012-03-08
63.875,4185.0,2012-03-09
50.0,5135.0,2012-03-10
55.74999999999999,4755.0,2012-03-11
42.5,138.0,2012-03-12
43.6,5975.5,2012-03-13
52.46666666666667,3752.5,2012-03-14
57.05,3959.0,2012-03-15
64.9,4437.0,2012-03-16
47.775,5416.0,2012-03-17
62.05,5682.0,2012-03-18
33.7,201.0,2012-03-19
56.04,5863.0,2012-03-20
52.56,5245.0,2012-03-21
51.11666666666667,7508.0,2012-03-22
48.48333333333334,6712.0,2012-03-23
42.7,5150.0,2012-03-24
57.199999999999996,5052.0,2012-03-25
41.8,144.5,2012-03-26
45.975,4756.5,2012-03-27
55.67999999999999,4505.5,2012-03-28
55.4,3902.0,2012-03-29
53.760000000000005,4109.5,2012-03-30
53.4,4516.0,2012-03-31
62.725,3680.0,2012-04-01
