DateTime,平均價,新北市_氣溫,臺中市_氣溫,臺南市_氣溫,高雄市_氣溫,桃園市_氣溫,新竹縣_氣溫,苗栗縣_氣溫,南投縣_氣溫,彰化縣_氣溫,雲林縣_氣溫,嘉義市_氣溫,屏東縣_氣溫,宜蘭縣_氣溫,花蓮縣_氣溫,臺東縣_氣溫,color,x,y
2012-01-01,36.88,11.5,16.8,16.9,19.2,14.4,14.2,15.5,15.4,16.6,14.0,16.5,20.2,15.1,14.7,18.4,"rgb(190,144,65)",111,65
2012-01-02,38.1,11.3,16.1,15.8,18.3,14.7,14.4,15.2,14.0,16.2,12.9,15.6,19.5,14.4,14.2,17.0,"rgb(189,143,66)",112,66
2012-01-03,37.316666666666656,12.5,16.599999999999998,17.0,19.1,15.2,15.0,15.6,15.5,16.7,13.0,16.599999999999998,21.0,15.7,16.900000000000002,19.5,"rgb(182,142,73)",113,73
2012-01-04,35.5,7.3,12.6,13.9,16.8,9.2,9.2,10.5,12.2,12.5,12.3,13.2,18.9,11.8,13.0,17.099999999999998,"rgb(193,146,62)",109,62
2012-01-05,35.85,9.3,12.3,12.6,15.5,11.2,10.7,11.4,10.9,12.4,11.3,12.3,18.0,11.7,12.5,15.2,"rgb(197,132,58)",123,58
2012-01-06,39.583333333333336,13.1,15.2,15.9,18.3,14.5,13.7,14.3,14.2,15.2,14.1,15.4,20.6,15.7,15.5,18.4,"rgb(205,113,50)",142,50
2012-01-07,32.65,13.2,17.3,17.099999999999998,18.4,14.7,16.2,16.5,15.8,17.0,16.3,16.8,21.4,15.9,17.0,20.2,"rgb(194,140,61)",115,61
2012-01-08,34.38333333333333,14.7,17.900000000000006,18.2,19.6,15.7,16.2,16.599999999999998,17.099999999999998,18.0,16.400000000000002,18.2,21.4,18.2,18.5,21.4,"rgb(187,138,68)",117,68
2012-01-10,38.58,13.7,18.4,17.9,20.1,16.7,17.0,17.9,17.0,18.2,16.7,17.7,21.7,16.8,17.3,20.6,"rgb(186,140,69)",115,69
2012-01-11,38.9,11.4,17.0,17.3,19.4,14.7,14.7,15.9,15.6,16.9,15.3,17.0,20.1,14.9,15.2,18.7,"rgb(192,145,63)",110,63
2012-01-12,37.02,12.4,17.4,17.1,18.9,15.9,16.1,16.6,16.3,17.3,14.9,17.1,20.0,14.8,15.7,18.7,"rgb(194,138,61)",117,61
2012-01-13,37.12,15.0,18.4,18.1,20.1,16.9,16.9,17.5,16.6,18.1,15.6,18.0,22.3,17.1,17.1,20.7,"rgb(177,140,78)",115,78
2012-01-14,36.8,17.6,19.0,19.5,21.1,17.3,17.4,17.5,18.8,18.7,17.3,19.0,22.9,20.1,18.8,21.6,"rgb(159,128,96)",127,96
2012-01-15,38.14,15.8,18.9,21.0,23.2,16.1,16.1,16.6,19.2,18.6,18.6,20.3,24.4,18.9,19.3,22.2,"rgb(181,113,74)",142,74
2012-01-16,38.1,13.2,15.6,17.0,19.3,14.1,14.0,14.9,14.7,15.5,11.9,16.5,21.3,18.5,18.2,20.2,"rgb(200,114,55)",141,55
2012-01-17,36.82000000000001,13.5,16.4,16.6,18.5,16.6,16.9,17.1,15.5,16.2,14.3,16.2,21.3,17.0,17.2,20.0,"rgb(164,130,91)",125,91
2012-01-18,38.32000000000001,15.6,19.2,18.9,20.9,16.7,17.7,17.5,17.7,18.6,16.6,18.7,22.1,18.7,16.9,20.0,"rgb(158,129,97)",126,97
2012-01-19,38.58,14.8,18.9,19.1,22.1,16.5,17.2,17.6,17.3,18.7,16.5,18.5,22.5,18.9,19.0,21.6,"rgb(160,125,95)",130,95
2012-01-20,38.8,13.5,17.9,18.0,20.4,15.4,16.2,16.8,16.8,17.8,15.9,17.7,22.1,17.1,18.1,21.1,"rgb(164,131,91)",124,91
2012-01-21,38.58,13.1,17.9,18.1,20.1,14.7,15.5,16.2,17.2,17.6,14.8,17.8,21.5,16.1,17.4,20.6,"rgb(166,129,89)",126,89
2012-01-22,44.1,10.800000000000002,14.5,16.2,19.8,11.6,11.9,12.699999999999998,14.0,14.199999999999998,13.9,15.1,20.6,14.4,15.300000000000002,19.1,"rgb(204,114,51)",141,51
2012-01-27,38.1,13.9,17.0,16.8,19.9,14.6,15.3,15.5,15.8,16.8,15.8,16.8,21.5,17.9,16.5,20.0,"rgb(162,134,93)",121,93
2012-01-28,38.76000000000001,13.4,17.2,17.4,21.8,14.9,15.2,15.7,17.1,17.2,16.6,17.3,22.7,18.0,19.7,21.4,"rgb(160,130,95)",125,95
2012-01-29,38.72000000000001,13.6,17.7,17.1,20.2,15.2,14.8,15.9,16.7,17.6,15.9,17.5,22.2,17.6,17.8,20.9,"rgb(169,135,86)",120,86
2012-01-30,37.525,13.5,17.0,16.6,18.9,14.8,14.5,15.6,16.1,16.8,15.2,16.9,21.4,17.7,16.4,19.9,"rgb(180,142,75)",113,75
2012-01-31,42.0,11.4,15.7,16.0,18.6,13.3,12.8,13.8,14.8,15.9,14.6,15.9,20.2,16.2,15.3,19.2,"rgb(180,143,75)",112,75
2012-02-01,39.56,12.8,15.7,15.5,18.2,14.9,15.1,15.1,13.9,15.6,13.0,15.5,20.5,16.0,17.4,20.2,"rgb(176,141,79)",114,79
2012-02-02,39.72,10.4,16.5,16.6,18.8,12.5,13.7,14.9,15.6,16.3,14.1,16.4,20.5,14.1,15.7,19.5,"rgb(193,145,62)",110,62
2012-02-03,40.64,9.8,14.2,14.6,17.4,11.5,11.8,12.7,13.1,14.2,12.6,14.5,20.4,12.7,14.5,18.1,"rgb(197,135,58)",120,58
2012-02-04,41.84,14.3,17.0,16.9,19.6,16.8,16.7,16.1,16.4,17.1,15.4,17.0,22.3,16.4,17.7,20.7,"rgb(176,139,79)",116,79
2012-02-05,40.0,16.7,19.6,19.6,22.0,16.1,17.9,16.7,18.3,18.6,16.8,19.2,22.4,19.4,19.7,22.6,"rgb(161,132,94)",123,94
2012-02-06,38.275,18.8,22.2,23.4,24.9,18.6,19.7,18.9,20.0,21.3,19.3,23.3,24.6,21.5,20.9,23.9,"rgb(161,112,94)",143,94
2012-02-07,38.1,10.1,15.8,17.2,21.3,11.2,11.6,12.9,14.5,15.2,16.1,16.2,22.1,15.1,15.3,20.4,"rgb(199,117,56)",138,56
2012-02-08,40.65000000000001,7.2,11.2,11.0,14.1,9.4,9.1,10.0,10.0,10.7,11.9,10.8,18.0,11.0,12.6,15.5,"rgb(194,133,61)",122,61
2012-02-09,38.32,9.9,13.1,13.9,17.2,12.0,11.6,12.4,12.2,12.9,12.8,13.1,19.7,12.5,13.3,16.3,"rgb(192,140,63)",115,63
2012-02-10,39.9,13.0,15.8,16.0,18.7,13.2,13.1,13.3,15.5,15.4,15.6,15.4,21.6,18.2,18.5,20.9,"rgb(177,142,78)",113,78
2012-02-11,38.28,13.0,16.8,16.0,18.5,13.9,14.3,14.7,15.8,16.2,16.8,15.9,21.5,16.7,18.1,21.3,"rgb(180,141,75)",114,75
2012-02-12,41.63333333333333,17.2,16.7,16.4,18.8,18.1,15.9,15.1,16.8,15.699999999999998,16.9,16.0,22.3,19.7,19.0,20.4,"rgb(174,138,81)",117,81
2012-02-13,38.1,17.9,20.5,20.1,22.4,17.1,19.3,18.3,18.8,19.4,17.4,19.8,23.6,20.5,21.2,22.2,"rgb(167,129,88)",126,88
2012-02-14,38.84,19.6,21.5,22.1,24.8,15.8,18.6,16.6,21.1,19.2,19.2,20.5,24.5,22.1,21.2,23.1,"rgb(157,119,98)",136,98
2012-02-15,40.06,15.6,19.1,20.4,24.7,14.6,16.2,15.6,20.1,17.7,18.9,19.1,24.9,19.9,21.1,23.3,"rgb(157,118,98)",137,98
2012-02-16,39.5,12.5,16.8,17.0,19.6,12.4,13.1,13.7,16.3,15.7,18.1,16.3,22.5,16.8,17.2,20.4,"rgb(183,130,72)",125,72
2012-02-17,39.52,10.3,14.6,14.9,17.9,11.2,11.6,12.5,13.8,14.0,15.5,14.3,21.4,13.8,15.5,18.9,"rgb(188,144,67)",111,67
2012-02-18,39.64,8.0,13.9,14.5,17.2,10.8,10.7,12.0,13.2,13.8,14.4,14.0,19.4,12.3,14.0,17.3,"rgb(192,145,63)",110,63
2012-02-19,41.22,9.0,14.4,14.5,17.2,12.1,12.0,13.0,13.4,14.2,12.9,14.1,19.2,12.5,13.8,16.8,"rgb(194,141,61)",114,61
2012-02-20,38.1,14.7,16.3,15.9,17.5,17.2,16.2,14.8,15.8,15.8,14.7,15.7,18.9,15.9,16.2,18.2,"rgb(173,139,82)",116,82
2012-02-21,41.0,18.8,18.3,17.1,18.7,16.0,16.8,16.3,17.4,16.6,16.1,16.5,20.6,19.6,17.3,18.8,"rgb(156,117,99)",138,99
2012-02-22,41.1,19.9,22.2,21.4,23.6,16.7,18.9,18.1,21.3,20.4,19.0,21.4,22.9,22.5,19.8,20.9,"rgb(156,113,99)",142,99
2012-02-23,41.62,17.8,22.6,24.0,25.4,17.2,18.8,18.9,22.2,22.1,19.8,23.3,24.6,21.9,20.9,23.8,"rgb(201,110,54)",145,54
2012-02-24,42.0,16.1,17.9,20.5,25.0,14.5,15.9,15.0,18.3,17.5,18.9,18.9,24.5,20.1,20.5,23.2,"rgb(211,97,44)",158,44
2012-02-25,43.4,12.8,16.2,18.9,23.8,12.4,13.4,13.8,16.6,15.9,19.1,17.5,23.8,17.3,18.8,22.0,"rgb(201,115,54)",140,54
2012-02-26,46.525,10.2,13.3,14.8,18.8,10.3,10.8,11.3,12.2,12.6,16.1,13.5,20.9,13.9,15.4,18.6,"rgb(200,120,55)",135,55
2012-02-27,38.1,10.9,13.4,14.4,18.0,11.8,12.2,12.3,12.2,13.0,14.4,13.2,20.8,13.9,15.2,18.4,"rgb(191,128,64)",127,64
2012-02-28,45.05999999999999,12.5,13.3,14.5,18.3,12.2,12.3,12.4,13.0,13.1,13.3,13.9,22.4,16.4,16.8,21.2,"rgb(203,110,52)",145,52
2012-02-29,39.72000000000001,14.6,15.8,16.9,19.7,14.7,15.5,14.1,16.5,15.6,19.0,16.4,22.9,16.8,17.5,20.5,"rgb(162,131,93)",124,93
2012-03-01,44.42,17.8,19.6,20.0,23.3,14.4,17.1,15.7,19.5,18.4,19.4,19.3,25.0,20.1,21.4,23.5,"rgb(158,122,97)",133,97
2012-03-02,44.0,18.0,21.7,22.0,25.1,15.2,19.1,17.7,20.9,20.4,20.1,21.3,25.4,21.8,22.9,24.6,"rgb(160,118,95)",137,95
2012-03-03,43.78,17.8,18.8,19.7,23.8,14.3,16.3,15.4,19.5,17.5,20.0,18.8,25.0,20.9,22.0,24.2,"rgb(159,124,96)",131,96
2012-03-04,44.56,19.9,21.0,21.5,25.0,13.9,18.0,15.8,20.6,19.1,18.9,20.1,25.7,23.5,23.8,25.2,"rgb(160,117,95)",138,95
2012-03-05,38.1,20.1,23.5,25.0,26.8,17.1,20.0,19.1,22.5,23.0,20.7,24.5,26.4,23.9,24.1,25.1,"rgb(162,112,93)",143,93
2012-03-06,45.08,18.5,23.2,24.5,26.0,18.1,21.2,19.7,22.8,22.1,20.0,23.3,25.4,21.5,22.8,25.0,"rgb(159,113,96)",142,96
2012-03-07,45.86,15.2,18.9,21.6,25.5,12.6,14.1,14.8,19.7,18.6,19.4,20.2,25.8,21.6,22.0,24.8,"rgb(160,115,95)",140,95
2012-03-08,44.88,15.0,17.6,20.2,24.2,12.4,13.4,14.3,18.5,17.7,19.5,18.7,25.4,20.0,21.3,24.5,"rgb(160,119,95)",136,95
2012-03-09,44.72,11.3,14.9,16.3,22.0,10.5,11.0,11.9,14.5,14.2,17.6,15.2,23.3,16.4,17.8,21.1,"rgb(198,118,57)",137,57
2012-03-10,44.3,10.0,13.1,15.3,19.4,10.4,10.1,11.0,12.3,12.7,16.4,13.9,21.5,14.7,16.0,19.1,"rgb(191,128,64)",127,64
2012-03-11,43.125,9.8,13.6,14.6,18.6,12.1,12.0,12.5,12.5,13.0,14.9,13.6,20.5,13.6,14.4,18.1,"rgb(190,131,65)",124,65
2012-03-12,38.1,10.6,14.1,14.5,17.4,12.6,13.5,13.7,13.3,13.8,13.6,14.1,19.6,13.2,14.3,17.1,"rgb(197,133,58)",122,58
2012-03-13,42.16,12.1,14.9,14.5,19.4,12.8,13.7,13.1,14.9,15.0,14.7,15.7,21.8,15.1,17.2,19.8,"rgb(197,129,58)",126,58
2012-03-15,41.9,18.6,18.3,20.5,22.2,14.1,15.3,14.8,19.4,17.7,18.7,18.1,25.2,21.2,22.1,24.3,"rgb(159,125,96)",130,96
2012-03-16,42.7,20.5,22.6,24.2,25.9,18.9,20.7,20.0,21.8,21.9,19.1,22.7,26.3,22.6,24.1,24.8,"rgb(161,113,94)",142,94
2012-03-17,41.38,21.2,25.5,26.6,27.7,23.3,24.0,23.8,24.1,25.9,20.5,25.8,27.1,24.3,24.4,25.3,"rgb(164,109,91)",146,91
2012-03-18,42.04,20.4,25.4,26.4,27.3,20.2,22.1,24.1,24.4,25.6,20.6,25.5,26.6,23.5,25.3,25.6,"rgb(164,111,91)",144,91
2012-03-19,38.1,15.7,22.3,23.7,25.9,15.8,17.8,18.1,22.0,21.8,18.5,22.5,26.1,19.5,22.3,24.8,"rgb(160,120,95)",135,95
2012-03-20,41.68,15.3,21.4,23.0,25.5,14.9,16.3,17.4,21.6,21.1,17.8,21.8,26.0,19.9,21.6,24.4,"rgb(160,117,95)",138,95
2012-03-21,39.083333333333336,14.6,19.6,20.5,23.2,16.099999999999998,17.099999999999998,17.8,19.4,19.5,17.8,19.6,23.7,17.2,17.900000000000006,21.4,"rgb(174,132,81)",123,81
2012-03-22,41.88,21.2,22.4,22.7,24.7,18.4,20.1,20.4,21.8,21.9,18.4,21.6,25.2,22.4,21.8,24.2,"rgb(165,119,90)",136,90
2012-03-23,40.98,18.4,23.9,25.5,27.0,19.1,20.5,22.1,23.3,24.0,19.1,24.2,26.9,22.0,23.5,25.1,"rgb(162,115,93)",140,93
2012-03-24,41.86,8.2,14.2,15.4,18.5,11.5,11.2,12.6,13.6,14.0,11.9,14.1,19.3,12.7,13.8,17.4,"rgb(191,145,64)",110,64
2012-03-25,43.75,11.0,18.5,19.3,21.3,15.9,15.7,16.6,16.8,17.7,12.9,18.2,19.8,15.3,15.2,18.2,"rgb(185,139,70)",116,70
2012-03-26,38.1,15.9,19.8,21.3,22.5,19.2,18.3,18.5,19.0,19.7,13.9,19.9,21.4,17.9,16.2,20.0,"rgb(178,129,77)",126,77
2012-03-27,42.58,18.0,21.2,22.6,23.3,20.9,20.1,21.0,19.7,21.5,15.0,21.0,22.1,19.8,17.7,20.4,"rgb(177,125,78)",130,78
2012-03-28,44.21999999999999,18.8,21.7,23.1,24.0,21.2,20.9,21.9,20.2,21.8,15.3,21.2,22.9,21.1,18.6,21.6,"rgb(177,124,78)",131,78
2012-03-29,45.0,18.9,21.6,23.2,24.3,20.1,20.8,21.8,20.1,21.9,14.7,21.3,23.6,20.9,18.7,21.6,"rgb(175,124,80)",131,80
2012-03-30,46.3,19.2,23.1,24.3,24.9,20.8,21.7,22.6,21.6,23.5,17.4,22.7,24.6,21.8,20.0,22.2,"rgb(171,119,84)",136,84
2012-03-31,45.02,13.2,21.4,23.0,25.4,16.9,17.2,19.2,20.8,21.2,17.4,21.1,22.1,17.5,16.4,20.1,"rgb(184,136,71)",119,71
2012-04-01,45.02,15.9,22.1,23.0,24.3,18.8,19.2,20.6,21.0,21.8,15.8,21.7,21.9,18.9,16.9,20.2,"rgb(176,125,79)",130,79
2012-04-02,44.95,19.8,23.5,24.9,25.1,21.2,21.6,22.8,22.0,23.2,17.7,22.8,25.0,21.4,19.2,21.6,"rgb(169,119,86)",136,86
2012-04-03,49.0,17.0,24.6,25.9,26.7,20.7,21.0,23.4,23.3,24.5,18.3,24.3,25.3,20.2,20.2,24.0,"rgb(171,120,84)",135,84
2012-04-04,52.5,16.9,23.9,24.0,25.1,20.8,20.4,21.4,22.9,22.9,17.8,22.8,22.2,19.2,18.0,19.5,"rgb(175,119,80)",136,80
2012-04-05,53.1,15.7,23.1,24.6,25.7,18.2,18.7,20.9,22.3,23.2,16.9,23.2,24.3,20.1,21.1,22.5,"rgb(208,80,47)",175,47
2012-04-06,51.65000000000001,14.0,21.5,22.5,23.6,17.6,17.3,18.5,20.7,20.7,16.6,21.4,23.2,17.6,18.5,21.2,"rgb(180,120,75)",135,75
2012-04-07,57.64000000000001,16.4,22.1,23.1,23.7,20.3,19.1,20.8,20.6,21.7,15.9,22.0,23.0,18.6,17.8,20.9,"rgb(176,120,79)",135,79
2012-04-08,56.14,18.2,22.7,24.5,25.0,21.3,20.4,22.5,20.8,23.4,16.1,23.0,23.8,20.5,19.0,21.6,"rgb(175,120,80)",135,80
2012-04-09,69.0,19.0,23.6,25.2,25.8,20.5,20.1,21.7,22.3,24.1,18.0,23.5,25.3,21.0,19.9,22.9,"rgb(235,60,20)",195,20
2012-04-10,53.56,22.0,26.1,27.0,27.4,23.6,24.3,25.3,25.3,26.5,19.6,26.2,26.3,23.8,23.1,24.8,"rgb(169,106,86)",149,86
2012-04-11,56.36,22.3,27.1,27.7,27.6,25.1,25.1,27.2,26.3,27.5,20.5,26.9,27.1,24.4,25.6,26.4,"rgb(194,59,61)",196,61
2012-04-12,57.66,22.4,26.4,27.2,27.5,24.2,24.5,25.8,25.6,26.8,19.8,26.3,26.9,24.8,25.5,26.8,"rgb(198,60,57)",195,57
2012-04-13,59.42,23.3,26.8,27.8,28.1,24.9,25.2,27.1,25.5,26.8,20.8,26.4,27.6,25.2,25.4,27.1,"rgb(197,61,58)",194,58
2012-04-14,58.67999999999999,19.3,26.5,27.6,28.1,22.3,23.5,25.8,25.2,26.5,19.7,25.9,27.0,22.1,23.4,25.8,"rgb(197,61,58)",194,58
2012-04-15,57.58,21.0,26.8,27.9,28.1,22.6,23.9,26.3,25.5,26.8,19.6,26.6,26.8,24.4,25.2,26.9,"rgb(199,61,56)",194,56
2012-04-16,78.5,17.3,24.4,26.4,27.7,19.1,19.4,21.2,23.9,24.5,18.7,25.0,27.1,20.7,21.6,24.7,"rgb(211,96,44)",159,44
2012-04-17,57.86,16.0,21.7,22.5,24.4,19.5,19.3,20.9,21.4,21.4,17.2,21.2,22.8,20.3,19.0,21.1,"rgb(155,110,100)",145,100
2012-04-18,58.62000000000001,19.8,23.7,25.6,26.5,21.5,21.5,23.1,23.5,24.0,18.1,24.5,25.5,22.3,22.0,23.5,"rgb(187,42,68)",213,68
2012-04-19,59.67999999999999,21.2,24.9,26.0,27.2,22.8,23.1,24.5,24.0,24.8,19.0,25.0,26.5,23.9,23.6,25.8,"rgb(197,58,58)",197,58
2012-04-20,59.46,21.9,25.4,26.9,27.7,23.7,23.9,25.1,23.8,25.3,18.7,26.0,27.3,24.0,24.0,25.9,"rgb(184,39,71)",216,71
2012-04-21,61.44,22.8,24.9,26.9,26.0,24.1,24.6,26.6,23.6,25.1,18.4,26.4,27.0,24.6,24.6,26.1,"rgb(181,39,74)",216,74
2012-04-22,55.425,18.6,25.4,26.5,26.4,22.1,22.5,25.1,23.9,25.5,18.2,25.3,26.1,21.1,21.0,24.4,"rgb(196,59,59)",196,59
2012-04-23,78.5,22.1,26.4,28.4,28.2,24.5,25.2,26.4,24.2,26.6,19.0,26.1,27.4,23.6,24.2,26.0,"rgb(202,40,53)",215,53
2012-04-24,62.24,22.1,28.3,29.5,29.2,26.5,26.2,28.3,26.3,28.0,21.6,28.6,28.6,25.5,25.9,27.6,"rgb(183,47,72)",208,72
2012-04-25,64.03999999999999,23.4,28.0,28.5,28.1,26.4,27.2,29.6,26.2,28.4,21.2,29.1,28.5,26.2,27.7,29.3,"rgb(208,77,47)",178,47
2012-04-26,65.52000000000001,16.1,23.6,26.2,26.5,18.5,18.2,20.4,23.5,23.1,19.2,24.8,25.5,18.9,20.0,23.0,"rgb(208,94,47)",161,47
2012-04-27,69.18333333333334,18.2,22.4,25.1,26.2,19.2,19.0,20.7,21.9,22.0,17.8,23.2,25.6,19.7,20.3,21.9,"rgb(209,94,46)",161,46
2012-04-28,70.88333333333334,20.6,22.8,24.7,25.5,22.4,22.7,23.4,22.4,23.4,19.0,23.4,25.2,23.0,21.3,23.7,"rgb(180,40,75)",215,75
2012-04-29,67.38000000000001,22.0,24.7,28.3,28.4,23.8,24.0,26.0,24.3,25.0,20.9,26.5,27.9,24.5,25.5,27.2,"rgb(185,46,70)",209,70
2012-04-30,84.25,23.6,24.9,26.4,28.1,26.8,26.9,28.6,23.8,25.7,20.0,26.5,28.7,25.8,24.1,26.7,"rgb(156,29,99)",226,99
2012-05-01,75.23333333333333,24.5,28.3,28.8,29.0,27.4,28.2,30.7,26.8,28.2,21.8,29.1,29.1,26.8,25.8,29.2,"rgb(187,16,68)",239,68
2012-05-02,73.8,24.1,27.4,28.8,29.1,26.5,27.5,28.6,26.3,27.4,20.9,28.1,29.0,25.9,26.4,29.1,"rgb(209,96,46)",159,46
2012-05-03,72.58333333333333,19.8,26.7,27.7,27.3,22.9,23.4,25.6,25.9,27.3,19.4,26.8,26.0,22.3,22.2,24.9,"rgb(163,12,92)",243,92
2012-05-04,75.4,18.0,24.6,25.7,26.3,20.5,20.9,23.0,23.6,24.4,18.8,24.6,25.4,20.6,21.9,24.3,"rgb(154,26,101)",229,101
2012-05-05,74.25,20.2,25.1,25.8,27.0,22.1,23.1,24.0,24.2,24.7,20.2,24.7,26.3,22.4,21.2,24.1,"rgb(202,46,53)",209,53
2012-05-06,69.74000000000001,19.9,26.5,27.3,27.6,22.7,24.1,25.1,25.4,25.5,20.4,26.3,26.0,22.9,21.8,24.0,"rgb(200,49,55)",206,55
2012-05-07,81.8,21.0,26.4,27.6,27.9,27.7,25.5,26.3,25.1,26.3,19.3,26.9,26.8,24.3,23.2,25.6,"rgb(203,39,52)",216,52
2012-05-08,78.96666666666665,23.6,27.9,28.4,28.6,28.2,27.3,29.3,26.7,27.6,20.9,28.1,27.6,26.0,25.1,27.4,"rgb(187,15,68)",240,68
2012-05-09,73.91666666666667,22.7,28.4,28.2,28.8,25.2,25.7,28.0,26.8,28.5,21.7,28.6,28.7,25.3,26.1,28.1,"rgb(184,53,71)",202,71
2012-05-10,72.67999999999998,19.8,26.7,28.5,29.3,21.7,22.4,24.4,25.9,26.1,20.3,27.2,27.9,22.7,22.8,25.7,"rgb(197,50,58)",205,58
