DateTime,平均價,新北市_降水量,臺中市_降水量,臺南市_降水量,高雄市_降水量,桃園市_降水量,新竹縣_降水量,苗栗縣_降水量,南投縣_降水量,彰化縣_降水量,雲林縣_降水量,嘉義市_降水量,屏東縣_降水量,宜蘭縣_降水量,花蓮縣_降水量,臺東縣_降水量,color,x,y
2014-01-01,78.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(57,224,198)",31,198
2014-01-02,78.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(59,222,196)",33,196
2014-01-03,77.67999999999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,"rgb(62,214,193)",41,193
2014-01-04,77.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(63,230,192)",25,192
2014-01-05,76.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(59,235,196)",20,196
2014-01-06,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(56,229,199)",26,199
2014-01-07,77.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(59,224,196)",31,196
2014-01-08,76.125,11.0,0.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,"rgb(64,233,191)",22,191
2014-01-09,75.67999999999998,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.5,0.0,"rgb(57,251,198)",4,198
2014-01-10,75.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,19.5,0.0,0.0,"rgb(50,245,205)",10,205
2014-01-11,76.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,"rgb(49,239,206)",16,206
2014-01-12,73.75,5.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.5,5.7,"rgb(49,243,206)",12,206
2014-01-13,83.4,9.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,1.0,0.0,"rgb(63,247,192)",8,192
2014-01-14,76.74,17.5,0.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.5,0.0,"rgb(66,250,189)",5,189
2014-01-15,80.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(57,255,198)",0,198
2014-01-16,81.61999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,"rgb(51,242,204)",13,204
2014-01-17,82.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(51,240,204)",15,204
2014-01-18,84.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(55,253,200)",2,200
2014-01-19,84.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(51,252,204)",3,204
2014-01-20,83.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(50,240,205)",15,205
2014-01-21,82.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.5,0.0,"rgb(55,253,200)",2,200
2014-01-22,82.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(54,253,201)",2,201
2014-01-23,83.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(50,241,205)",14,205
2014-01-24,83.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(54,231,201)",24,201
2014-01-25,84.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(54,226,201)",29,201
2014-01-26,84.58,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"rgb(62,241,193)",14,193
2014-01-27,83.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(58,239,197)",16,197
2014-01-28,85.46000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,"rgb(52,227,203)",28,203
2014-01-29,87.96000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,"rgb(52,225,203)",30,203
2014-01-30,86.66666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(52,224,203)",31,203
2014-02-04,90.7,7.0,6.6,0.0,0.0,3.5,5.5,7.0,5.0,4.0,0.5,0.3,0.0,18.1,1.5,0.0,"rgb(72,235,183)",20,183
2014-02-05,87.75999999999998,11.0,3.7,0.0,0.0,10.5,6.5,8.5,2.5,1.0,0.0,0.0,0.0,44.8,0.0,0.0,"rgb(72,236,183)",19,183
2014-02-06,88.76,0.0,0.0,0.0,0.0,5.5,5.5,2.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.4,"rgb(63,214,192)",41,192
2014-02-07,89.72,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(64,217,191)",38,191
2014-02-08,89.22,14.0,5.3,0.0,0.0,16.0,18.5,11.0,0.5,0.0,0.0,0.0,0.0,4.8,4.5,0.0,"rgb(77,236,178)",19,178
