DateTime,平均價,新北市_氣溫,臺中市_氣溫,臺南市_氣溫,高雄市_氣溫,桃園市_氣溫,新竹縣_氣溫,苗栗縣_氣溫,南投縣_氣溫,彰化縣_氣溫,雲林縣_氣溫,嘉義市_氣溫,屏東縣_氣溫,宜蘭縣_氣溫,花蓮縣_氣溫,臺東縣_氣溫,color,x,y
2014-01-01,19.125,14.199999999999998,17.099999999999998,17.5,20.2,16.599999999999998,15.800000000000002,16.099999999999998,15.400000000000004,16.199999999999996,13.699999999999998,16.300000000000004,21.699999999999992,17.5,16.5,20.0,"rgb(219,136,36)",119,36
2014-01-02,17.983333333333334,16.800000000000004,19.300000000000004,20.0,21.699999999999992,18.4,18.7,18.5,17.300000000000004,18.0,15.300000000000002,18.4,23.0,19.2,18.9,21.9,"rgb(212,132,43)",123,43
2014-01-03,16.19272727272727,16.699999999999996,20.9,22.1,24.0,17.800000000000004,17.599999999999994,19.300000000000004,19.300000000000004,20.0,16.400000000000002,21.2,23.9,20.2,20.9,23.0,"rgb(179,95,76)",160,76
2014-01-04,16.080000000000002,13.599999999999996,18.300000000000004,19.2,22.0,16.0,15.599999999999996,17.599999999999994,16.5,17.699999999999996,14.0,18.2,21.699999999999992,17.099999999999998,16.400000000000002,20.0,"rgb(227,119,28)",136,28
2014-01-05,15.4225,11.2,16.599999999999998,16.900000000000002,19.2,14.699999999999998,14.0,15.900000000000004,14.099999999999996,15.800000000000002,12.2,15.400000000000004,20.0,15.199999999999998,14.5,18.300000000000004,"rgb(239,127,16)",128,16
2014-01-06,14.0,15.0,16.4,17.7,20.7,17.0,14.8,14.8,14.2,15.4,13.4,16.1,20.6,16.8,15.1,18.8,"rgb(227,133,28)",122,28
2014-01-07,15.29,17.5,17.599999999999994,19.7,21.2,16.900000000000002,16.400000000000002,17.199999999999996,16.199999999999996,17.300000000000004,14.400000000000004,18.2,21.699999999999992,18.6,17.5,19.800000000000004,"rgb(219,132,36)",123,36
2014-01-08,12.359166666666665,14.0,18.4,20.2,22.300000000000008,15.900000000000004,15.199999999999998,17.300000000000004,16.699999999999996,17.900000000000006,14.5,18.6,22.6,18.1,18.4,21.5,"rgb(231,115,24)",140,24
2014-01-09,10.265833333333333,10.5,14.800000000000002,15.800000000000002,18.6,12.099999999999996,10.7,13.0,14.0,14.599999999999996,12.599999999999996,15.099999999999996,20.4,13.800000000000002,14.199999999999998,18.2,"rgb(250,128,5)",127,5
2014-01-10,9.4825,11.900000000000004,16.300000000000004,16.300000000000004,18.6,15.5,13.599999999999996,15.5,14.699999999999998,15.599999999999996,11.900000000000004,16.0,20.0,13.400000000000004,15.199999999999998,18.2,"rgb(239,139,16)",116,16
