DateTime,平均價,新北市_降水量,臺中市_降水量,臺南市_降水量,高雄市_降水量,桃園市_降水量,新竹縣_降水量,苗栗縣_降水量,南投縣_降水量,彰化縣_降水量,雲林縣_降水量,嘉義市_降水量,屏東縣_降水量,宜蘭縣_降水量,花蓮縣_降水量,臺東縣_降水量,color,x,y
2016-01-01,12.449230769230768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,"rgb(182,199,73)",56,73
2016-01-02,13.173333333333336,0.5,0.2,3.5,11.5,1.0,0.0,0.0,1.5,0.0,3.5,2.0,40.0,0.0,13.0,17.5,"rgb(172,182,83)",73,83
2016-01-03,16.014166666666668,12.5,27.800000000000008,96.5,20.5,12.0,19.0,13.5,54.5,23.0,64.5,52.600000000000016,33.0,8.700000000000001,34.5,55.5,"rgb(109,76,146)",179,146
2016-01-04,11.25,17.0,0.5,0.0,0.0,1.0,2.0,4.5,19.5,1.0,0.5,0.0,0.0,7.6,1.0,0.1,"rgb(138,189,117)",66,117
2016-01-05,15.403076923076926,2.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,"rgb(136,188,119)",67,119
2016-01-06,12.720769230769232,19.0,17.699999999999996,7.5,11.5,40.5,41.5,41.0,28.0,15.0,36.5,10.5,1.0,11.099999999999996,6.5,1.5,"rgb(154,113,101)",142,101
2016-01-07,14.163846153846151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,2.0,0.0,"rgb(178,193,77)",62,77
2016-01-08,13.933846153846153,3.0,2.2,2.5,5.5,2.5,5.0,1.5,4.5,0.5,10.5,1.5,0.5,3.2999999999999994,11.5,4.200000000000001,"rgb(185,179,70)",76,70
2016-01-09,14.156153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(180,191,75)",64,75
2016-01-10,15.975833333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"rgb(159,186,96)",69,96
2016-01-11,14.5,8.5,29.1,5.5,0.0,49.0,56.0,55.0,8.5,17.5,11.5,4.0,0.0,2.0,6.5,0.0,"rgb(154,116,101)",139,101
2016-01-12,21.154545454545453,8.0,1.4,0.0,0.0,3.5,5.0,4.5,1.0,0.0,0.0,0.0,1.0,1.4,6.5,0.0,"rgb(186,175,69)",80,69
2016-01-13,20.056666666666672,8.0,0.0,1.5,4.5,5.0,1.5,0.0,1.0,0.5,1.5,0.1,4.0,1.5,2.5,5.0,"rgb(187,177,68)",78,68
2016-01-14,19.441666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,"rgb(187,176,68)",79,68
2016-01-15,20.9475,2.5,7.700000000000002,3.0,17.5,3.0,3.0,3.5,8.0,3.5,6.0,3.0,0.0,1.6,2.5,11.0,"rgb(167,169,88)",86,88
2016-01-16,23.48583333333333,0.5,0.7000000000000001,0.0,0.0,0.0,1.5,1.0,1.5,0.5,1.5,1.1,0.0,0.5999999999999999,6.0,3.2,"rgb(155,173,100)",82,100
2016-01-17,26.45454545454545,12.5,32.60000000000001,5.5,78.5,44.0,63.0,42.0,30.5,25.0,28.5,8.0,4.0,2.5,10.0,9.7,"rgb(150,108,105)",147,105
2016-01-18,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10.0,0.0,"rgb(192,176,63)",79,63
2016-01-19,27.125,8.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999995,2.5,0.0,"rgb(204,171,51)",84,51
2016-01-20,28.836923076923078,4.5,0.1,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,"rgb(207,174,48)",81,48
2016-01-21,26.94,9.5,2.6000000000000005,0.0,0.0,18.0,16.0,11.0,0.5,3.5,0.0,0.2,0.5,0.7000000000000001,1.0,0.0,"rgb(170,155,85)",100,85
2016-01-22,29.50909090909091,28.5,5.799999999999998,3.0,0.0,45.0,30.0,26.0,5.0,2.5,2.0,1.5,0.0,14.099999999999996,2.5,0.29999999999999993,"rgb(166,133,89)",122,89
2016-01-23,34.24166666666667,53.5,14.5,1.5,4.5,27.5,37.5,18.5,21.0,13.0,18.5,6.5,3.5,25.0,14.5,10.2,"rgb(185,144,70)",111,70
2016-01-24,41.57,12.5,3.2,3.5,5.5,2.0,7.5,4.0,11.0,3.5,16.0,3.0,1.0,2.0,4.5,2.0,"rgb(255,167,0)",88,0
2016-01-25,46.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"rgb(252,165,3)",90,3
2016-01-26,48.30909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(249,166,6)",89,6
2016-01-27,40.50666666666667,0.0,0.0,0.5,2.0,0.5,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,1.0,5.299999999999999,"rgb(224,171,31)",84,31
2016-01-28,35.78333333333333,2.5,10.5,4.0,0.5,7.5,7.0,8.0,4.0,11.0,7.5,4.0,1.5,2.2,3.5,4.0,"rgb(184,156,71)",99,71
2016-01-29,41.36363636363637,18.0,27.800000000000008,42.0,17.5,41.0,47.0,48.5,38.0,32.5,51.5,33.0,8.0,5.0,22.5,21.5,"rgb(154,108,101)",147,101
2016-01-30,38.690909090909095,17.0,20.5,2.0,0.0,10.5,11.0,9.0,19.0,33.0,14.5,8.0,0.0,19.5,10.0,0.5,"rgb(188,153,67)",102,67
2016-01-31,40.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000001,0.5,0.0,"rgb(216,169,39)",86,39
2016-02-01,35.65000000000001,26.0,6.0,0.0,0.0,35.0,19.5,6.0,11.0,5.5,1.0,0.5999999999999999,0.0,13.5,2.0,6.1000000000000005,"rgb(182,142,73)",113,73
2016-02-02,32.8675,20.5,1.0,0.0,0.0,7.5,3.5,3.5,12.0,0.5,3.0,1.5,0.0,8.900000000000002,0.0,0.0,"rgb(202,159,53)",96,53
2016-02-03,32.91818181818182,3.5,0.7999999999999999,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,"rgb(213,165,42)",90,42
