DateTime,平均價,新北市_風速,臺中市_風速,臺南市_風速,高雄市_風速,桃園市_風速,新竹縣_風速,苗栗縣_風速,南投縣_風速,彰化縣_風速,雲林縣_風速,嘉義市_風速,屏東縣_風速,宜蘭縣_風速,花蓮縣_風速,臺東縣_風速,color,x,y
2018-01-01,13.45,2.3,1.3,3.4,2.1,3.3,1.2,1.3,0.4,0.7,1.3,1.9,7.0,1.7,1.0,2.1,"rgb(29,245,226)",10,226
2018-01-02,15.995714285714287,2.3000000000000003,0.8,2.1000000000000005,1.9,2.5,1.0,0.9000000000000002,0.5,0.4,1.3000000000000005,1.0,6.1,1.3000000000000005,0.9000000000000002,1.8000000000000005,"rgb(22,245,233)",10,233
2018-01-03,15.2,2.2,0.8,1.4,1.9,1.6999999999999995,0.9000000000000002,0.9000000000000002,0.5,0.5999999999999999,1.1,0.9000000000000002,4.0,1.6999999999999995,1.0,1.6,"rgb(17,240,238)",15,238
2018-01-04,14.614285714285714,0.7,0.9000000000000002,2.1000000000000005,2.1000000000000005,1.1,1.0,1.1,0.4,0.7,1.6999999999999995,1.3000000000000005,3.100000000000001,1.5,0.8,0.9000000000000002,"rgb(16,234,239)",21,239
2018-01-05,15.667333333333335,1.1,1.3999999999999997,3.299999999999999,2.1000000000000005,2.7000000000000006,1.3000000000000005,2.2,0.4000000000000001,0.6999999999999998,1.3000000000000005,2.2,3.0,2.2,1.0,1.8000000000000005,"rgb(29,231,226)",24,226
2018-01-06,16.42142857142857,2.3999999999999995,0.7,2.3999999999999995,1.8000000000000005,2.899999999999999,1.1999999999999995,1.1,0.29999999999999993,0.4,1.6,1.0,4.200000000000001,2.3000000000000003,0.5999999999999999,1.0,"rgb(52,226,203)",29,203
2018-01-07,18.663636363636364,1.1999999999999995,0.7999999999999999,2.3999999999999995,1.9,2.7,1.1999999999999995,1.6,0.29999999999999993,0.4,2.3999999999999995,1.5,3.8,1.8000000000000005,0.9000000000000002,1.5,"rgb(53,225,202)",30,202
2018-01-08,16.5,1.2,1.0,3.4,2.7,2.5,1.1,1.5,0.3,0.7,2.0,2.4,2.5,2.6,0.7,1.2,"rgb(50,226,205)",29,205
2018-01-09,20.930769230769233,0.9000000000000002,2.3999999999999995,5.0,3.600000000000001,2.1000000000000005,1.1999999999999995,2.3000000000000003,0.4,1.1,1.8000000000000005,3.2,5.200000000000001,2.3999999999999995,1.3000000000000005,2.899999999999999,"rgb(49,230,206)",25,206
2018-01-10,25.60833333333333,1.0,2.3000000000000003,4.9,3.100000000000001,2.1000000000000005,1.6,2.8000000000000003,0.4,1.1,1.4,3.100000000000001,6.1000000000000005,2.7,0.9000000000000002,1.3000000000000005,"rgb(42,254,213)",1,213
2018-01-11,26.0,1.5,2.5,5.0,3.100000000000001,2.6000000000000005,2.1000000000000005,2.899999999999999,0.29999999999999993,1.1999999999999995,1.4,3.0,7.400000000000001,2.3000000000000003,0.5999999999999999,1.4,"rgb(42,253,213)",2,213
2018-01-12,25.76923076923077,1.3000000000000005,2.8,4.4,2.7,2.899999999999999,2.3000000000000003,3.0,0.4,1.1999999999999995,1.5,2.6000000000000005,7.900000000000001,2.6000000000000005,1.1999999999999995,2.0,"rgb(42,253,213)",2,213
2018-01-13,25.97692307692307,1.1999999999999995,0.7,2.3000000000000003,2.2,3.2,1.5,1.5,0.4,0.5999999999999999,1.4,0.9000000000000002,7.200000000000002,2.1000000000000005,1.0,2.1000000000000005,"rgb(39,255,216)",0,216
2018-01-14,25.38083333333333,1.3000000000000005,0.7999999999999999,2.3000000000000003,2.2,2.1000000000000005,1.0,1.0,0.4,0.5999999999999999,1.4,1.4,5.0,1.8000000000000005,1.1,1.9,"rgb(34,254,221)",1,221
2018-01-15,30.55,1.4,0.8,3.0,2.2,1.5,1.2,1.3,0.4,0.5,1.3,1.6,4.0,1.5,1.2,1.6,"rgb(20,242,235)",13,235
2018-01-16,27.36785714285714,0.5999999999999999,0.5,2.7,2.0,1.0,1.0,0.9000000000000002,0.4,0.4,1.1,1.4,1.5,1.6,1.1,1.3000000000000005,"rgb(18,223,237)",32,237
2018-01-17,27.735714285714288,1.1999999999999995,0.7,2.5,1.5,2.2,1.1999999999999995,1.0,0.5,0.5999999999999999,1.1999999999999995,1.5,2.0,1.8000000000000005,0.9000000000000002,1.6,"rgb(18,221,237)",34,237
2018-01-18,25.978666666666665,1.8999999999999997,0.9000000000000002,2.7999999999999994,1.5,3.399999999999999,1.1999999999999995,1.1999999999999995,0.5999999999999999,0.5999999999999999,1.1,1.3999999999999997,3.100000000000001,1.3000000000000005,0.9000000000000002,1.1,"rgb(57,207,198)",48,198
2018-01-19,26.075714285714287,0.8,1.4,2.8,1.6999999999999995,2.899999999999999,1.3000000000000005,2.3000000000000003,0.29999999999999993,0.7,1.1999999999999995,1.6,3.600000000000001,1.1,1.0,1.1999999999999995,"rgb(39,226,216)",29,216
