DateTime,平均價,新北市_氣溫,臺中市_氣溫,臺南市_氣溫,高雄市_氣溫,桃園市_氣溫,新竹縣_氣溫,苗栗縣_氣溫,南投縣_氣溫,彰化縣_氣溫,雲林縣_氣溫,嘉義市_氣溫,屏東縣_氣溫,宜蘭縣_氣溫,花蓮縣_氣溫,臺東縣_氣溫,color,x,y
2014-01-01,29.377777777777773,14.2,17.099999999999998,17.5,20.2,16.599999999999998,15.8,16.099999999999998,15.400000000000002,16.2,13.7,16.3,21.7,17.5,16.5,20.0,"rgb(123,239,132)",16,132
2014-01-02,29.825,16.8,19.3,20.0,21.7,18.4,18.7,18.5,17.3,18.0,15.3,18.4,23.0,19.2,18.9,21.9,"rgb(115,238,140)",17,140
2014-01-03,30.655555555555548,16.7,20.9,22.1,24.0,17.8,17.599999999999994,19.3,19.3,20.0,16.400000000000002,21.2,23.9,20.2,20.9,23.0,"rgb(68,222,187)",33,187
2014-01-04,31.83333333333333,13.599999999999998,18.3,19.2,22.0,16.0,15.599999999999998,17.599999999999994,16.5,17.7,14.0,18.2,21.7,17.099999999999998,16.400000000000002,20.0,"rgb(115,217,140)",38,140
2014-01-05,32.06666666666667,11.2,16.599999999999998,16.900000000000002,19.2,14.7,14.0,15.900000000000002,14.099999999999998,15.8,12.2,15.400000000000002,20.0,15.2,14.5,18.3,"rgb(130,216,125)",39,125
2014-01-06,33.0,15.0,16.4,17.7,20.7,17.0,14.8,14.8,14.2,15.4,13.4,16.1,20.6,16.8,15.1,18.8,"rgb(128,234,127)",21,127
2014-01-07,29.944444444444446,17.5,17.599999999999994,19.7,21.2,16.900000000000002,16.400000000000002,17.2,16.2,17.3,14.400000000000002,18.2,21.7,18.6,17.5,19.8,"rgb(121,240,134)",15,134
2014-01-08,28.711111111111112,14.0,18.4,20.2,22.300000000000004,15.900000000000002,15.2,17.3,16.7,17.900000000000006,14.5,18.6,22.6,18.1,18.4,21.5,"rgb(116,211,139)",44,139
2014-01-09,28.355555555555554,10.5,14.8,15.8,18.6,12.099999999999998,10.7,13.0,14.0,14.599999999999998,12.599999999999998,15.099999999999998,20.4,13.8,14.2,18.2,"rgb(134,201,121)",54,121
2014-01-10,27.73333333333333,11.900000000000002,16.3,16.3,18.6,15.5,13.599999999999998,15.5,14.7,15.599999999999998,11.900000000000002,16.0,20.0,13.400000000000002,15.2,18.2,"rgb(137,214,118)",41,118
2014-01-11,29.02222222222223,17.0,16.8,18.2,19.7,18.2,15.599999999999998,16.400000000000002,15.099999999999998,16.099999999999998,13.599999999999998,16.400000000000002,19.8,16.8,16.3,18.5,"rgb(137,227,118)",28,118
2014-01-12,29.477777777777767,13.8,17.8,18.0,20.3,14.900000000000002,14.400000000000002,16.599999999999998,16.0,17.0,12.0,17.400000000000002,20.9,17.7,18.0,20.2,"rgb(135,214,120)",41,120
2014-01-13,26.0,12.9,16.2,16.6,18.8,14.0,12.9,14.8,15.3,15.7,12.3,16.2,20.4,15.4,16.0,19.1,"rgb(128,200,127)",55,127
2014-01-14,31.02222222222223,11.5,14.8,15.2,17.599999999999994,12.400000000000002,11.3,13.3,13.3,14.2,12.2,14.5,20.3,14.5,14.599999999999998,18.8,"rgb(114,196,141)",59,141
2014-01-15,33.05555555555556,11.0,15.3,15.900000000000002,17.400000000000002,13.5,12.3,14.5,13.599999999999998,15.099999999999998,10.4,15.400000000000002,18.7,13.900000000000002,13.8,17.7,"rgb(143,198,112)",57,112
2014-01-16,35.5625,11.0,16.0,16.3,18.6,14.5,13.8,14.900000000000002,14.099999999999998,15.0,10.3,15.5,19.5,14.3,13.400000000000002,17.400000000000002,"rgb(142,210,113)",45,113
2014-01-17,35.0,12.0,16.8,17.0,19.2,15.2,14.5,15.099999999999998,14.7,15.3,11.599999999999998,15.900000000000002,20.0,15.900000000000002,14.599999999999998,18.5,"rgb(139,215,116)",40,116
2014-01-18,35.6888888888889,10.0,15.0,15.2,17.8,11.7,12.400000000000002,14.3,11.8,14.599999999999998,11.0,14.099999999999998,19.2,14.099999999999998,13.8,17.7,"rgb(148,201,107)",54,107
2014-01-19,33.877777777777766,12.2,14.599999999999998,14.8,17.0,15.599999999999998,14.900000000000002,15.3,12.7,13.7,9.0,13.7,18.6,15.099999999999998,13.099999999999998,17.099999999999998,"rgb(146,204,109)",51,109
2014-01-20,33.0,12.1,15.3,15.7,18.3,13.8,14.0,15.3,13.5,14.1,9.8,14.6,20.0,16.6,14.4,18.8,"rgb(138,219,117)",36,117
2014-01-21,34.625,9.8,13.5,14.0,16.3,11.7,10.4,12.7,10.900000000000002,13.2,10.2,13.0,17.8,12.599999999999998,12.099999999999998,15.900000000000002,"rgb(145,200,110)",55,110
2014-01-22,33.2625,8.5,12.8,12.7,15.099999999999998,11.099999999999998,10.2,11.7,9.8,12.099999999999998,8.9,12.0,17.0,12.0,11.3,15.2,"rgb(145,200,110)",55,110
2014-01-23,30.425,11.0,13.5,14.3,16.599999999999998,13.900000000000002,12.8,12.5,10.8,12.8,8.799999999999997,13.2,18.6,14.7,12.400000000000002,16.5,"rgb(141,212,114)",43,114
2014-01-24,32.677777777777784,15.900000000000002,14.7,16.099999999999998,18.1,13.8,13.599999999999998,14.099999999999998,11.900000000000002,14.2,10.4,14.400000000000002,20.1,16.900000000000002,14.599999999999998,18.4,"rgb(132,232,123)",23,123
2014-01-25,32.544444444444444,14.3,17.0,18.6,20.8,16.099999999999998,16.5,16.8,14.400000000000002,16.8,12.599999999999998,16.3,21.2,18.5,16.099999999999998,19.9,"rgb(124,239,131)",16,131
2014-01-26,32.65555555555555,12.2,16.099999999999998,17.7,20.4,14.900000000000002,14.0,15.400000000000002,14.2,15.599999999999998,13.8,15.599999999999998,20.7,16.2,15.2,19.0,"rgb(131,208,124)",47,124
2014-01-27,31.375,13.3,16.8,16.900000000000002,19.0,15.8,15.2,15.8,15.099999999999998,15.900000000000002,13.2,16.099999999999998,20.6,16.3,15.900000000000002,19.4,"rgb(133,211,122)",44,122
2014-01-28,31.525,15.2,17.099999999999998,17.900000000000006,20.0,16.5,15.599999999999998,15.599999999999998,15.3,16.099999999999998,13.599999999999998,16.7,21.5,18.0,16.8,20.1,"rgb(129,237,126)",18,126
2014-01-29,33.833333333333336,15.8,17.5,18.7,20.8,16.7,15.8,15.900000000000002,16.099999999999998,16.099999999999998,14.5,17.099999999999998,21.800000000000004,18.4,17.599999999999994,20.4,"rgb(123,239,132)",16,132
2014-01-30,37.525,15.3,18.3,19.6,21.3,15.7,16.5,16.7,16.099999999999998,16.7,14.8,18.0,21.0,18.5,18.1,21.3,"rgb(121,238,134)",17,134
2014-02-05,32.15,15.900000000000002,18.6,20.0,22.0,16.099999999999998,15.7,17.2,17.8,17.900000000000006,14.599999999999998,18.9,22.1,16.900000000000002,17.2,19.9,"rgb(78,196,177)",59,177
2014-02-06,27.822222222222226,18.1,20.9,22.7,24.5,17.0,17.0,18.3,19.7,20.5,17.900000000000006,21.3,24.5,20.4,21.0,23.300000000000004,"rgb(63,220,192)",35,192
2014-02-07,25.73333333333333,16.2,20.4,22.1,23.800000000000004,16.0,15.599999999999998,17.900000000000006,19.3,20.2,15.900000000000002,21.0,24.0,19.8,21.1,23.4,"rgb(62,221,193)",34,193
2014-02-08,23.488888888888887,12.400000000000002,17.2,20.1,22.1,13.099999999999998,12.599999999999998,14.900000000000002,17.400000000000002,16.8,15.5,18.5,21.6,16.0,16.7,20.2,"rgb(105,202,150)",53,150
2014-02-09,21.466666666666672,11.900000000000002,14.400000000000002,18.0,21.6,11.7,10.900000000000002,12.7,14.2,13.599999999999998,15.2,16.0,22.6,14.3,15.400000000000002,19.3,"rgb(70,175,185)",80,185
2014-02-10,22.0,7.9,10.6,11.6,14.3,8.1,7.0,9.0,9.5,9.9,9.9,10.8,17.8,11.8,12.6,15.4,"rgb(118,195,137)",60,137
2014-02-11,22.23333333333333,6.4,9.7,11.2,13.900000000000002,7.799999999999999,5.799999999999999,8.1,8.700000000000001,9.3,7.700000000000001,10.2,16.8,10.7,11.400000000000002,13.900000000000002,"rgb(122,198,133)",57,133
2014-02-12,24.025,9.7,13.900000000000002,14.599999999999998,17.2,11.400000000000002,10.2,11.8,13.0,13.599999999999998,10.2,14.099999999999998,18.9,13.099999999999998,13.099999999999998,15.7,"rgb(112,199,143)",56,143
2014-02-13,24.36666666666667,11.8,14.8,15.599999999999998,18.0,12.3,11.0,12.7,13.599999999999998,14.099999999999998,11.400000000000002,14.8,19.8,14.7,14.8,18.4,"rgb(113,196,142)",59,142
2014-02-14,24.822222222222226,10.2,13.099999999999998,13.400000000000002,15.7,10.6,9.3,11.2,11.7,12.5,9.6,12.8,18.4,13.5,13.7,16.7,"rgb(115,196,140)",59,140
2014-02-16,20.0,15.5,17.1,17.9,19.8,16.1,14.9,16.3,15.9,16.3,12.5,17.2,20.9,16.3,14.5,16.9,"rgb(132,236,123)",19,123
2014-02-17,23.0,17.2,19.9,21.2,22.0,18.0,18.5,19.6,18.5,19.6,15.5,20.3,22.4,19.4,18.4,20.8,"rgb(118,245,137)",10,137
2014-02-18,25.2625,15.400000000000002,19.2,22.0,23.300000000000004,14.8,14.599999999999998,16.599999999999998,18.1,18.7,15.3,20.5,23.2,18.7,20.3,22.5,"rgb(108,208,147)",47,147
