DateTime,平均價,新北市_最大陣風,臺中市_最大陣風,臺南市_最大陣風,高雄市_最大陣風,桃園市_最大陣風,新竹縣_最大陣風,苗栗縣_最大陣風,南投縣_最大陣風,彰化縣_最大陣風,雲林縣_最大陣風,嘉義市_最大陣風,屏東縣_最大陣風,宜蘭縣_最大陣風,花蓮縣_最大陣風,臺東縣_最大陣風,color,x,y
2015-01-01,37.8125,8.799999999999997,10.1,10.1,5.700000000000001,13.7,18.0,14.5,3.3999999999999995,7.5,2.7,9.4,24.0,11.7,7.799999999999999,11.400000000000002,"rgb(205,183,50)",72,50
2015-01-02,33.371428571428574,8.799999999999997,5.3,6.299999999999999,5.799999999999999,12.0,12.0,7.200000000000001,2.8999999999999995,4.0,2.5,5.9,18.8,7.1000000000000005,3.0,7.700000000000001,"rgb(206,180,49)",75,49
2015-01-03,36.7,9.3,4.1000000000000005,6.0,7.5,7.700000000000001,4.9,4.7,2.8000000000000003,2.5,2.8000000000000003,5.4,17.2,5.3,4.2,7.799999999999999,"rgb(219,173,36)",82,36
2015-01-04,38.87777777777777,4.9,4.6000000000000005,6.5,7.0,4.7,5.3,5.1000000000000005,3.3999999999999995,2.6,3.1000000000000005,6.4,13.900000000000002,6.1000000000000005,5.6000000000000005,6.9,"rgb(233,154,22)",101,22
2015-01-05,35.0,3.5,4.8,6.5,5.3,5.3,5.5,4.6,4.1,3.3,4.1,6.2,11.7,5.4,4.4,5.8,"rgb(237,134,18)",121,18
2015-01-06,36.01666666666667,6.6000000000000005,7.399999999999999,8.5,6.1000000000000005,11.4,8.700000000000001,7.7,3.9,5.7,4.5,8.4,11.8,10.9,5.2,6.7,"rgb(239,130,16)",125,16
2015-01-07,37.6125,7.1000000000000005,9.7,12.0,8.1,12.400000000000002,12.400000000000002,12.5,2.5,6.4,3.1000000000000005,9.6,18.6,8.299999999999999,6.200000000000001,10.6,"rgb(212,160,43)",95,43
2015-01-08,39.766666666666666,6.0,8.9,12.0,6.1000000000000005,13.2,19.0,14.8,1.6,6.8,3.6,9.7,19.9,8.9,5.9,11.8,"rgb(205,183,50)",72,50
2015-01-09,37.46666666666667,8.799999999999997,6.1000000000000005,6.5,6.3,12.4,11.6,7.5,3.4,5.1000000000000005,2.4,7.3,18.5,6.3,3.8,9.1,"rgb(207,178,48)",77,48
2015-01-10,35.98571428571429,6.0,6.200000000000001,7.799999999999999,7.899999999999999,11.099999999999998,9.1,7.399999999999999,2.8000000000000003,4.3,2.5,7.5,17.3,4.6000000000000005,7.0,9.4,"rgb(210,176,45)",79,45
2015-01-11,32.475,7.700000000000001,5.799999999999999,8.700000000000001,7.700000000000001,13.5,10.0,6.9,4.2,3.5,3.3999999999999995,7.1000000000000005,19.4,6.0,6.4,10.6,"rgb(211,173,44)",82,44
2015-01-13,42.86666666666667,16.5,8.200000000000001,10.4,10.4,12.6,7.7,0.0,4.1000000000000005,4.9,4.0,10.2,27.2,11.7,4.8,7.7,"rgb(223,143,32)",112,32
2015-01-14,36.9625,7.1000000000000005,11.2,13.599999999999998,12.900000000000002,11.099999999999998,11.8,10.900000000000002,2.6,7.899999999999999,5.700000000000001,10.900000000000002,16.3,14.599999999999998,5.9,11.0,"rgb(216,150,39)",105,39
2015-01-15,34.7,4.1000000000000005,7.399999999999999,8.6,5.2,11.599999999999998,13.2,11.400000000000002,3.1000000000000005,5.6000000000000005,3.5,7.399999999999999,21.0,5.4,6.799999999999999,12.5,"rgb(210,174,45)",81,45
2015-01-16,41.27500000000001,7.1000000000000005,7.799999999999999,9.1,9.8,11.099999999999998,10.7,10.6,3.1000000000000005,5.4,3.3999999999999995,7.700000000000001,17.0,8.6,6.799999999999999,7.299999999999999,"rgb(216,174,39)",81,39
2015-01-17,41.8875,8.799999999999997,8.700000000000001,9.4,6.5,13.5,18.0,15.2,3.2,6.700000000000001,3.2,8.799999999999997,21.800000000000004,8.200000000000001,6.799999999999999,11.900000000000002,"rgb(207,183,48)",72,48
2015-01-18,39.9375,7.700000000000001,9.8,9.3,9.7,12.099999999999998,11.7,10.0,3.2,7.1000000000000005,3.3000000000000003,10.1,17.8,9.6,5.5,8.6,"rgb(212,176,43)",79,43
2015-01-19,44.5,11.5,8.3,5.9,4.6,16.1,21.2,12.1,0.0,5.6,3.1,8.3,25.2,11.4,9.1,11.9,"rgb(209,184,46)",71,46
2015-01-20,39.03333333333333,7.1000000000000005,6.1000000000000005,5.9,5.7,9.7,4.2,5.0,3.0,3.9,3.4,6.1000000000000005,21.4,3.5,4.6000000000000005,6.8,"rgb(225,164,30)",91,30
2015-01-21,35.9,6.0,8.4,11.7,9.6,7.399999999999999,6.6000000000000005,7.5,4.0,5.799999999999999,4.4,8.9,5.6000000000000005,11.2,5.0,9.6,"rgb(229,153,26)",102,26
2015-01-22,29.16666666666667,8.200000000000001,10.3,14.4,11.7,8.9,9.0,9.4,4.5,6.3,4.2,11.2,14.4,11.5,4.3,10.1,"rgb(213,169,42)",86,42
2015-01-23,40.86,8.8,6.6,8.0,8.6,8.5,7.7,7.0,3.8,4.3,3.6,7.3,16.1,6.1,5.1,7.8,"rgb(218,174,37)",81,37
2015-01-24,39.525,13.7,7.1,7.3,8.3,6.7,6.6,5.6,3.6,4.6,6.6,7.0,16.6,9.9,4.9,7.2,"rgb(218,172,37)",83,37
2015-01-25,52.53333333333333,12.6,6.5,7.3,5.8,6.4,5.0,5.2,3.3000000000000003,3.7,5.1000000000000005,5.5,16.400000000000002,4.9,4.1000000000000005,6.9,"rgb(242,181,13)",74,13
2015-01-27,68.35999999999999,7.7,6.8,6.8,8.1,12.2,15.5,10.8,2.0,5.2,3.5,5.3,18.3,8.9,7.3,12.2,"rgb(249,185,6)",70,6
2015-01-28,59.98,6.0,6.8,7.6,5.3,14.5,16.1,10.7,2.0,5.5,3.1,6.3,25.8,4.9,6.1,11.1,"rgb(246,185,9)",70,9
2015-01-29,59.38000000000001,7.1,6.5,8.3,8.0,10.1,6.9,7.7,3.8,5.4,3.7,7.8,18.5,6.6,5.2,7.8,"rgb(242,184,13)",71,13
2015-01-30,58.375,7.1,11.0,11.7,7.4,13.2,12.4,12.8,3.9,7.3,3.9,9.1,19.7,8.1,8.3,14.3,"rgb(238,187,17)",68,17
2015-01-31,73.24,8.2,11.0,8.9,8.3,12.9,13.6,11.4,3.7,6.3,3.8,7.7,24.0,6.9,7.7,11.6,"rgb(234,189,21)",66,21
2015-02-01,72.16666666666667,7.7,7.2,8.8,7.8,13.1,9.4,7.8,3.7000000000000006,6.400000000000001,2.9,7.8,20.5,4.4,6.8,10.5,"rgb(237,187,18)",68,18
2015-02-03,42.24,6.6,8.7,9.7,8.5,9.8,8.9,9.5,3.7,6.4,3.0,9.2,7.3,8.5,6.4,6.7,"rgb(207,170,48)",85,48
2015-02-04,48.4,7.1,11.0,10.8,8.1,11.4,11.1,11.3,3.3,8.1,2.9,10.7,15.4,7.5,7.0,10.4,"rgb(218,182,37)",73,37
2015-02-05,51.05,9.3,14.4,16.1,11.3,12.3,15.8,14.9,5.4,10.2,7.3,12.7,21.0,7.0,7.2,13.9,"rgb(212,185,43)",70,43
2015-02-06,63.35,0.0,6.0,6.6,7.0,10.8,15.0,10.0,0.0,5.0,4.3,5.0,20.8,6.4,4.5,7.7,"rgb(234,189,21)",66,21
2015-02-07,58.65000000000001,6.6,9.0,10.9,9.4,8.7,6.8,6.8,5.0,6.9,5.1,10.2,9.4,8.9,3.9,6.1,"rgb(241,187,14)",68,14
2015-02-08,49.2,0.0,10.3,12.2,10.3,0.0,0.0,0.0,2.2,8.1,5.0,11.6,23.0,10.8,7.0,14.9,"rgb(221,177,34)",78,34
2015-02-10,60.12000000000001,6.0,7.3,7.7,7.1,8.6,10.2,7.7,2.9,4.7,2.8,8.7,14.4,5.3,5.1,8.9,"rgb(239,187,16)",68,16
2015-02-11,67.7,3.2999999999999994,6.099999999999999,7.900000000000001,7.8,5.8,5.3,5.400000000000001,3.7000000000000006,4.0,3.5,7.099999999999999,7.5,4.5,4.0,5.599999999999999,"rgb(243,182,12)",73,12
2015-02-12,54.075,9.3,9.4,11.8,12.4,7.9,9.5,0.0,4.2,6.4,4.3,9.4,14.2,17.2,4.7,7.4,"rgb(243,182,12)",73,12
2015-02-13,56.975,12.1,6.1,7.7,8.1,6.4,7.0,4.4,4.4,2.8,3.4,10.1,18.0,11.6,5.4,8.1,"rgb(242,184,13)",71,13
2015-02-14,65.5,15.4,7.2,7.0,7.8,6.7,6.4,4.7,0.0,3.7,4.4,6.4,19.1,14.8,3.3,6.1,"rgb(245,181,10)",74,10
2015-02-15,59.28000000000001,8.8,5.7,6.3,7.2,7.0,6.5,6.1,0.0,3.9,4.2,4.5,14.4,7.6,3.5,5.4,"rgb(248,179,7)",76,7
2015-02-16,62.02857142857143,8.200000000000001,9.2,9.1,10.3,6.4,7.200000000000001,6.0,0.0,6.6000000000000005,3.8,8.5,11.7,7.6,5.6000000000000005,9.8,"rgb(220,144,35)",111,35
2015-02-17,56.96666666666666,8.200000000000001,7.899999999999999,7.6,7.2,10.4,9.7,6.8,2.7,5.9,3.2,7.5,18.7,9.3,4.9,8.6,"rgb(246,181,9)",74,9
2015-02-18,56.63333333333333,8.2,6.5,7.8,7.2,10.800000000000002,9.7,8.0,0.0,4.9,3.9,7.599999999999999,17.9,5.0,5.400000000000001,10.0,"rgb(243,183,12)",72,12
2015-02-24,59.88571428571429,7.700000000000001,7.6,8.6,9.3,6.299999999999999,8.1,6.0,3.9,4.4,5.1000000000000005,8.200000000000001,11.400000000000002,7.1000000000000005,4.6000000000000005,9.9,"rgb(209,142,46)",113,46
2015-02-25,60.16,8.8,5.7,6.9,5.5,7.0,6.1,9.5,3.2,3.7,4.4,4.8,8.1,5.8,5.9,5.3,"rgb(249,176,6)",79,6
2015-02-26,64.2,7.7,7.3,8.5,7.8,8.0,5.4,6.8,4.1,6.4,4.0,7.7,5.9,7.3,6.8,8.8,"rgb(249,176,6)",79,6
2015-02-28,73.69999999999997,6.599999999999999,5.8,7.900000000000001,6.5,8.0,6.099999999999999,6.400000000000001,3.7000000000000006,4.9,4.3,8.2,8.3,5.5,5.3,8.3,"rgb(247,177,8)",78,8
2015-03-01,57.13333333333333,7.7,10.5,11.699999999999998,9.3,11.1,0.0,0.0,5.1,0.0,3.7000000000000006,9.3,18.0,10.5,6.400000000000001,12.4,"rgb(241,183,14)",72,14
2015-03-03,36.73333333333333,9.3,6.0,10.5,6.3,11.5,9.1,7.8,5.8,6.4,5.0,10.1,10.0,10.9,8.4,10.1,"rgb(239,127,16)",128,16
2015-03-04,39.84,8.2,6.5,7.9,6.5,13.2,14.8,10.0,3.0,5.5,4.4,7.0,19.8,9.6,6.8,13.1,"rgb(219,147,36)",108,36
2015-03-05,46.6,7.1000000000000005,6.7,7.7,8.6,10.9,0.0,7.2,4.1000000000000005,5.8,3.9,7.399999999999999,14.8,5.3,5.8,7.3,"rgb(238,162,17)",93,17
2015-03-06,57.94,7.1,7.1,10.7,8.2,9.0,6.6,7.4,3.0,5.5,5.2,8.3,8.8,6.3,5.3,10.0,"rgb(245,176,10)",79,10
2015-03-10,41.38333333333335,9.3,6.3,7.1000000000000005,6.2,14.1,15.6,11.5,2.3000000000000003,5.8,4.5,5.8,23.9,7.0,4.9,6.7,"rgb(206,125,49)",130,49
2015-03-11,31.9,6.599999999999999,7.0,7.900000000000001,7.5,10.0,6.2,6.400000000000001,1.8,4.1,4.5,6.3,16.8,5.5,3.7000000000000006,6.3,"rgb(204,124,51)",131,51
2015-03-12,34.26,6.0,7.2,9.2,8.6,8.6,8.1,7.6,3.4,5.5,4.9,6.3,9.3,4.3,7.3,5.4,"rgb(212,137,43)",118,43
2015-03-13,38.45,7.1,6.6,7.2,6.6,6.5,7.2,6.8,4.0,3.7,4.3,6.2,11.3,6.3,6.4,7.3,"rgb(236,153,19)",102,19
2015-03-14,32.33333333333333,6.6000000000000005,5.4,7.3,5.7,5.6000000000000005,7.0,6.3,4.3,4.0,3.2,7.5,8.9,6.3,6.5,6.3,"rgb(247,141,8)",114,8
2015-03-15,43.65,3.8,6.3,12.9,11.7,6.7,6.7,5.8,4.6,4.0,3.7,8.8,9.2,5.9,5.1,7.9,"rgb(248,131,7)",124,7
2015-03-16,45.0,4.9,5.3,9.7,7.7,5.1,6.9,5.6,3.9,4.5,3.5,9.4,8.6,6.7,3.7,7.3,"rgb(243,99,12)",156,12
2015-03-17,36.1,5.5,7.1000000000000005,10.8,11.099999999999998,5.4,6.6000000000000005,5.5,3.7,5.700000000000001,3.8,9.7,8.700000000000001,6.700000000000001,7.1000000000000005,6.200000000000001,"rgb(238,80,17)",175,17
2015-03-18,38.24285714285714,6.0,8.1,13.599999999999998,9.1,13.0,8.5,12.599999999999998,4.9,6.700000000000001,5.0,10.8,8.799999999999997,6.700000000000001,7.1000000000000005,7.6,"rgb(239,67,16)",188,16
2015-03-19,36.975,8.200000000000001,7.399999999999999,8.700000000000001,7.5,10.900000000000002,7.799999999999999,9.5,5.3,3.3999999999999995,5.700000000000001,8.299999999999999,8.9,10.2,6.6000000000000005,8.299999999999999,"rgb(238,69,17)",186,17
2015-03-20,35.52857142857143,8.799999999999997,6.1000000000000005,6.799999999999999,6.9,6.700000000000001,8.9,0.0,3.8,4.6000000000000005,3.8,6.4,10.8,9.2,5.6000000000000005,6.299999999999999,"rgb(249,126,6)",129,6
2015-03-21,39.31428571428571,7.700000000000001,6.299999999999999,8.6,7.0,9.8,6.700000000000001,6.6000000000000005,3.3999999999999995,5.0,3.6000000000000005,7.700000000000001,11.900000000000002,7.200000000000001,5.6000000000000005,5.700000000000001,"rgb(245,131,10)",124,10
2015-03-22,35.9,0.0,7.1000000000000005,6.6000000000000005,5.6000000000000005,0.0,0.0,0.0,0.0,0.0,3.3999999999999995,5.700000000000001,24.7,7.299999999999999,6.799999999999999,11.099999999999998,"rgb(239,136,16)",119,16
2015-03-23,30.0,9.3,11.3,18.1,12.2,14.9,13.9,14.5,4.8,9.1,4.8,13.8,21.4,10.3,7.6,10.5,"rgb(202,117,53)",138,53
2015-03-24,34.5125,12.099999999999998,7.700000000000001,9.1,8.700000000000001,13.599999999999998,19.2,11.099999999999998,2.8000000000000003,5.799999999999999,4.2,8.0,26.1,8.1,5.799999999999999,12.400000000000002,"rgb(208,120,47)",135,47
2015-03-25,32.175000000000004,7.1000000000000005,7.799999999999999,9.7,6.6000000000000005,12.099999999999998,12.099999999999998,9.4,2.8999999999999995,6.1000000000000005,3.1000000000000005,8.6,21.1,8.5,4.8,9.8,"rgb(205,119,50)",136,50
2015-03-26,29.277777777777782,10.4,6.5,8.4,6.0,10.2,3.5,2.6,4.9,4.8,3.2,8.299999999999999,17.3,5.700000000000001,3.1000000000000005,5.9,"rgb(208,127,47)",128,47
2015-03-27,28.025,5.5,5.799999999999999,10.900000000000002,9.3,5.6000000000000005,5.5,6.4,2.2,4.8,3.3000000000000003,9.1,10.5,13.8,4.6000000000000005,10.1,"rgb(212,139,43)",116,43
2015-03-28,28.825,6.6000000000000005,6.6000000000000005,7.399999999999999,6.4,6.9,7.5,7.299999999999999,3.7,3.7,3.8,6.700000000000001,11.599999999999998,6.1000000000000005,4.0,9.9,"rgb(239,138,16)",117,16
2015-03-29,29.466666666666654,7.700000000000001,7.799999999999999,7.899999999999999,6.5,5.799999999999999,6.9,5.0,4.5,4.2,4.0,8.700000000000001,11.599999999999998,6.200000000000001,4.0,5.799999999999999,"rgb(243,129,12)",126,12
2015-03-30,30.0,5.5,6.1,8.9,5.8,5.0,7.3,5.5,4.2,3.1,3.9,8.7,11.0,6.5,4.0,4.2,"rgb(244,105,11)",150,11
2015-03-31,30.03333333333333,6.6000000000000005,7.200000000000001,12.7,8.6,9.1,9.3,10.6,4.0,6.9,3.8,9.1,8.799999999999997,6.700000000000001,5.700000000000001,7.700000000000001,"rgb(237,78,18)",177,18
2015-04-01,31.055555555555557,8.200000000000001,8.1,9.8,7.1000000000000005,7.399999999999999,8.1,10.5,5.799999999999999,3.9,4.3,9.0,8.799999999999997,7.700000000000001,5.1000000000000005,5.9,"rgb(237,67,18)",188,18
2015-04-02,31.744444444444447,4.9,7.700000000000001,11.900000000000002,8.1,10.4,7.700000000000001,12.400000000000002,5.6000000000000005,7.5,4.5,10.0,8.9,8.4,8.0,6.700000000000001,"rgb(234,30,21)",225,21
2015-04-03,31.68888888888889,6.6000000000000005,8.1,9.2,6.1000000000000005,12.7,8.299999999999999,13.3,5.3,7.5,5.2,10.900000000000002,6.1000000000000005,7.0,7.299999999999999,8.5,"rgb(228,30,27)",225,27
2015-04-04,31.73333333333333,4.1000000000000005,7.899999999999999,10.2,7.899999999999999,8.200000000000001,6.700000000000001,9.4,5.4,0.0,4.3,8.9,9.0,7.5,6.1000000000000005,6.0,"rgb(240,32,15)",223,15
2015-04-05,29.966666666666665,6.0,6.7,8.4,9.2,6.5,6.900000000000001,5.2,5.900000000000001,3.6,5.7,8.1,14.4,8.2,7.3,6.8,"rgb(242,31,13)",224,13
2015-04-07,33.042857142857144,8.200000000000001,9.0,9.7,8.1,13.2,13.099999999999998,11.400000000000002,4.7,7.5,4.4,7.899999999999999,18.3,9.0,6.299999999999999,11.099999999999998,"rgb(231,117,24)",138,24
2015-04-08,32.1,7.1000000000000005,10.3,10.0,6.0,11.7,13.8,12.0,4.9,6.700000000000001,3.7,9.5,20.9,7.899999999999999,7.5,11.599999999999998,"rgb(214,145,41)",110,41
2015-04-09,31.314285714285717,7.700000000000001,6.799999999999999,9.0,8.1,9.0,7.0,7.299999999999999,4.1000000000000005,5.9,3.7,7.299999999999999,17.3,4.1000000000000005,6.299999999999999,7.700000000000001,"rgb(220,136,35)",119,35
2015-04-10,29.05,7.700000000000001,8.299999999999999,10.0,8.799999999999997,10.6,9.2,8.9,3.3999999999999995,0.0,4.5,7.899999999999999,18.4,7.200000000000001,6.200000000000001,10.1,"rgb(215,139,40)",116,40
2015-04-11,26.575,6.0,6.1000000000000005,9.2,10.900000000000002,9.5,16.099999999999998,8.299999999999999,2.7,4.9,5.5,6.6000000000000005,23.7,4.5,5.5,8.4,"rgb(181,52,74)",203,74
2015-04-12,22.3625,5.5,9.2,10.8,9.8,5.3,5.2,7.200000000000001,3.0,5.6000000000000005,3.3000000000000003,10.3,12.099999999999998,6.6000000000000005,4.2,6.200000000000001,"rgb(238,138,17)",117,17
2015-04-13,25.0,7.7,10.1,13.7,10.6,8.9,8.2,10.1,5.4,0.0,4.9,11.1,14.8,10.4,8.3,10.0,"rgb(237,138,18)",117,18
2015-04-14,23.985714285714288,9.9,7.899999999999999,12.099999999999998,14.099999999999998,11.7,9.3,8.0,5.5,3.8,5.3,10.2,9.6,13.400000000000002,6.6000000000000005,7.299999999999999,"rgb(237,139,18)",116,18
2015-04-15,23.9625,6.0,7.1000000000000005,13.0,12.5,6.5,8.299999999999999,8.1,7.399999999999999,4.4,6.6000000000000005,9.4,11.2,8.299999999999999,5.2,6.799999999999999,"rgb(236,136,19)",119,19
