DateTime,平均價,新北市_最大陣風,臺中市_最大陣風,臺南市_最大陣風,高雄市_最大陣風,桃園市_最大陣風,新竹縣_最大陣風,苗栗縣_最大陣風,南投縣_最大陣風,彰化縣_最大陣風,雲林縣_最大陣風,嘉義市_最大陣風,屏東縣_最大陣風,宜蘭縣_最大陣風,花蓮縣_最大陣風,臺東縣_最大陣風,color,x,y
2014-01-01,21.725,6.8,5.7,6.1,4.9,0.0,5.9,4.4,4.0,3.4,3.6,6.2,13.8,5.3,4.9,9.1,"rgb(123,45,132)",210,132
2014-01-02,20.575,10.7,4.6,6.1,5.4,0.0,5.9,3.7,4.5,3.2,6.5,5.9,15.0,5.8,3.7,7.3,"rgb(134,61,121)",194,121
2014-01-03,21.7,5.2,6.2,7.6,7.3,0.0,5.5,3.9,4.5,3.8,5.5,7.3,9.6,8.0,3.9,9.3,"rgb(161,149,94)",106,94
2014-01-04,21.875,6.3,8.4,10.6,7.4,11.8,14.4,10.2,3.4,5.1,3.7,9.0,16.3,5.4,5.4,8.2,"rgb(111,71,144)",184,144
2014-01-05,21.67,7.4,6.0,7.3,7.2,11.8,14.2,7.6,3.6,6.5,4.0,5.3,20.6,7.6,6.4,10.2,"rgb(85,34,170)",221,170
2014-01-07,20.64,9.3,6.9,5.6,6.4,5.6,6.6,5.0,3.2,4.0,4.1,5.8,15.3,6.2,4.6,7.7,"rgb(123,53,132)",202,132
2014-01-08,21.32,8.5,9.1,11.0,10.5,12.7,15.7,11.1,4.3,6.3,5.6,9.7,11.1,9.8,6.6,11.2,"rgb(106,70,149)",185,149
2014-01-09,21.34,6.0,12.1,11.7,7.6,0.0,17.3,11.8,3.4,7.5,4.0,10.0,20.3,8.2,6.1,11.0,"rgb(69,15,186)",240,186
2014-01-10,21.32,7.1,8.9,9.2,8.2,0.0,13.5,6.7,3.3,5.8,4.2,7.8,19.6,4.0,6.7,11.3,"rgb(91,10,164)",245,164
2014-01-11,21.58,9.9,8.0,7.2,5.7,5.9,6.8,5.3,3.3,4.6,5.1,7.6,11.9,7.1,4.8,8.8,"rgb(106,19,149)",236,149
2014-01-12,21.85,5.7,11.7,11.6,8.5,13.0,13.8,10.9,4.1,7.9,6.6,10.9,8.7,9.6,5.0,8.1,"rgb(88,21,167)",234,167
2014-01-14,21.9,8.2,12.8,14.9,9.7,12.8,16.7,11.6,4.0,8.6,6.5,12.5,28.4,5.6,8.5,15.9,"rgb(94,98,161)",157,161
2014-01-15,21.65,8.0,8.0,11.5,6.9,12.1,23.0,16.5,3.1,6.7,4.4,9.2,25.8,7.2,6.3,16.3,"rgb(70,4,185)",251,185
2014-01-16,21.825,6.0,5.7,8.2,7.2,12.3,13.1,4.7,3.7,5.2,5.6,8.0,16.1,6.4,7.2,9.6,"rgb(87,11,168)",244,168
2014-01-17,21.725,7.7,7.2,8.9,7.2,12.2,12.1,7.6,4.8,5.8,6.0,8.2,16.1,10.5,4.8,9.0,"rgb(90,19,165)",236,165
2014-01-18,21.6,8.0,13.2,14.5,9.3,9.7,19.1,14.8,4.0,11.2,4.4,13.8,22.0,11.5,8.1,12.6,"rgb(70,2,185)",253,185
2014-01-19,21.46,12.6,6.8,8.4,7.7,13.7,18.7,6.4,3.4,7.3,3.5,11.0,19.2,13.1,6.8,12.2,"rgb(80,2,175)",253,175
