DateTime,平均價,新北市_氣壓,臺中市_氣壓,臺南市_氣壓,高雄市_氣壓,桃園市_氣壓,新竹縣_氣壓,苗栗縣_氣壓,南投縣_氣壓,彰化縣_氣壓,雲林縣_氣壓,嘉義市_氣壓,屏東縣_氣壓,宜蘭縣_氣壓,花蓮縣_氣壓,臺東縣_氣壓,color,x,y
2014-01-01,21.725,984.3,1008.1,1016.8,1017.2,1010.2,1002.3,1010.3,995.0,1014.5,890.6,1014.7,1015.0,1018.6,1002.3,1018.0,"rgb(123,45,132)",210,132
2014-01-02,20.575,982.2,1006.5,1015.1,1015.7,1008.4,1000.6,1008.8,993.7,1012.9,889.9,1013.0,1013.8,1015.9,1000.3,1016.2,"rgb(134,61,121)",194,121
2014-01-03,21.7,980.3,1004.6,1012.9,1013.3,1007.0,999.2,1007.1,991.9,1011.2,888.6,1011.0,1011.1,1013.0,996.9,1012.4,"rgb(161,149,94)",106,94
2014-01-04,21.875,982.8,1005.4,1013.9,1014.2,1009.6,1001.0,1008.6,992.4,1012.0,888.2,1012.0,1012.4,1016.9,999.9,1015.1,"rgb(111,71,144)",184,144
2014-01-05,21.67,985.1,1007.4,1016.2,1016.6,1011.4,1002.7,1010.4,994.3,1013.9,889.3,1014.1,1014.7,1020.0,1002.8,1018.3,"rgb(85,34,170)",221,170
2014-01-07,20.64,982.4,1007.1,1015.7,1016.4,1008.7,1001.1,1009.2,994.1,1013.4,890.0,1013.6,1014.5,1016.8,1001.2,1017.4,"rgb(123,53,132)",202,132
2014-01-08,21.32,983.4,1007.4,1015.6,1016.0,1010.4,1002.5,1010.2,994.4,1013.8,890.2,1013.8,1013.9,1017.0,1000.1,1015.9,"rgb(106,70,149)",185,149
2014-01-09,21.34,989.2,1011.2,1019.8,1019.8,1016.5,1007.8,1015.2,997.9,1017.8,891.9,1017.9,1017.5,1024.3,1006.1,1021.4,"rgb(69,15,186)",240,186
2014-01-10,21.32,990.1,1013.0,1022.0,1022.4,1015.3,1007.6,1015.6,999.8,1019.6,893.8,1019.9,1020.0,1025.7,1008.1,1023.9,"rgb(91,10,164)",245,164
2014-01-11,21.58,988.3,1012.9,1021.8,1022.5,1014.1,1007.0,1015.1,999.8,1019.4,894.4,1019.7,1020.6,1023.2,1007.3,1023.5,"rgb(106,19,149)",236,149
2014-01-12,21.85,988.1,1012.3,1020.8,1021.0,1015.8,1007.6,1015.3,999.1,1018.8,893.3,1018.9,1018.9,1021.8,1005.0,1021.0,"rgb(88,21,167)",234,167
2014-01-14,21.9,987.9,1009.9,1018.1,1018.1,1015.7,1006.7,1014.1,996.4,1016.4,890.4,1016.3,1015.7,1022.6,1003.8,1018.7,"rgb(94,98,161)",157,161
2014-01-15,21.65,990.8,1011.4,1020.4,1020.8,1017.7,1007.8,1014.9,998.1,1017.9,891.7,1018.3,1018.7,1026.2,1007.8,1023.0,"rgb(70,4,185)",251,185
2014-01-16,21.825,988.9,1012.0,1021.1,1021.4,1015.5,1006.6,1014.6,998.8,1018.4,892.8,1018.8,1019.6,1024.1,1006.9,1022.6,"rgb(87,11,168)",244,168
2014-01-17,21.725,987.5,1011.1,1019.8,1020.4,1014.3,1005.9,1013.7,997.8,1017.5,892.3,1017.7,1018.0,1022.4,1005.0,1020.9,"rgb(90,19,165)",236,165
2014-01-18,21.6,992.3,1014.2,1022.9,1022.9,1020.9,1010.7,1017.8,1000.6,1020.7,894.0,1020.9,1020.7,1027.5,1008.7,1024.4,"rgb(70,2,185)",253,185
2014-01-19,21.46,990.5,1014.3,1023.5,1023.8,1016.9,1008.2,1016.4,1000.9,1020.5,894.1,1021.1,1022.0,1026.1,1009.5,1025.3,"rgb(80,2,175)",253,175
2014-01-21,21.825000000000006,990.2,1011.6,1020.3,1020.1,1018.1,1008.7,1015.8,998.0,1018.0,891.2,1018.2,1017.9,1025.9,1006.5,1021.6,"rgb(69,0,186)",255,186
2014-01-22,21.65,990.2,1012.6,1021.7,1021.7,1017.7,1008.4,1016.1,998.9,1019.0,891.7,1019.5,1019.3,1026.1,1007.5,1023.2,"rgb(71,1,184)",254,184
2014-01-23,21.65,987.3,1012.0,1021.0,1021.3,1014.0,1005.8,1014.0,998.5,1018.2,891.8,1018.6,1019.1,1023.0,1006.2,1022.2,"rgb(92,14,163)",241,163
2014-01-24,21.34,984.2,1009.8,1018.4,1018.7,1011.3,1003.7,1011.8,996.4,1015.9,890.4,1016.2,1016.7,1019.0,1003.6,1019.6,"rgb(110,39,145)",216,145
2014-01-25,21.62,983.6,1008.4,1016.8,1017.0,1010.2,1002.7,1010.5,995.2,1014.6,890.1,1014.7,1014.9,1017.5,1001.5,1017.4,"rgb(115,48,140)",207,140
2014-01-26,21.8,986.2,1008.8,1017.3,1017.5,1013.5,1004.6,1012.1,995.5,1015.1,890.6,1015.3,1015.7,1020.8,1003.0,1018.5,"rgb(82,34,173)",221,173
2014-01-27,21.7,985.9,1009.4,1018.3,1018.8,1012.4,1003.9,1012.0,996.1,1015.8,891.0,1016.2,1016.5,1020.9,1003.6,1019.3,"rgb(86,30,169)",225,169
2014-01-28,21.875,985.2,1009.4,1018.3,1018.8,1011.5,1003.6,1011.8,996.3,1015.8,891.6,1016.1,1016.7,1019.8,1003.3,1019.3,"rgb(117,41,138)",214,138
2014-01-29,21.85,984.2,1008.9,1017.7,1018.3,1010.9,1003.0,1011.2,995.9,1015.3,891.4,1015.6,1016.2,1018.5,1002.4,1018.5,"rgb(119,48,136)",207,136
2014-01-30,22.0,984.3,1008.9,1017.5,1018.3,1010.8,1003.0,1011.1,996.0,1015.3,891.8,1015.5,1016.4,1018.1,1002.3,1018.3,"rgb(119,51,136)",204,136
2014-02-05,21.4,980.5,1003.7,1012.2,1012.8,1006.4,998.1,1006.2,990.7,1010.1,886.8,1010.3,1010.9,1015.2,999.2,1015.0,"rgb(99,129,156)",126,156
2014-02-06,21.65,977.4,1001.8,1010.0,1010.8,1004.2,996.4,1004.3,989.0,1008.2,886.2,1008.2,1009.1,1010.1,994.1,1009.7,"rgb(163,155,92)",100,92
2014-02-07,21.5,976.0,1000.7,1009.0,1009.5,1003.1,995.3,1003.2,988.0,1007.1,884.9,1007.1,1007.4,1008.7,992.5,1008.1,"rgb(164,155,91)",100,91
2014-02-08,21.44,979.0,1001.3,1009.7,1010.2,1005.9,997.2,1004.7,988.3,1007.8,884.7,1007.9,1008.2,1012.9,995.6,1011.0,"rgb(100,84,155)",171,155
