DateTime,平均價,新北市_風速,臺中市_風速,臺南市_風速,高雄市_風速,桃園市_風速,新竹縣_風速,苗栗縣_風速,南投縣_風速,彰化縣_風速,雲林縣_風速,嘉義市_風速,屏東縣_風速,宜蘭縣_風速,花蓮縣_風速,臺東縣_風速,color,x,y
2014-01-01,21.725,1.2,0.5,2.2,1.6,0.0,1.4,0.8,0.4,0.4,1.0,1.1,3.8,1.4,0.5,2.3,"rgb(123,45,132)",210,132
2014-01-02,20.575,0.6,0.7,1.5,1.5,0.0,1.3,0.9,0.4,0.4,1.6,1.1,3.2,1.5,0.3,1.4,"rgb(134,61,121)",194,121
2014-01-03,21.7,0.5,0.9,2.5,2.1,0.0,0.9,0.8,0.5,0.4,1.1,1.8,1.6,1.5,0.6,1.6,"rgb(161,149,94)",106,94
2014-01-04,21.875,0.7,1.9,3.9,2.3,0.0,4.6,2.1,0.5,0.7,1.1,2.2,5.3,1.3,0.4,2.0,"rgb(111,71,144)",184,144
2014-01-05,21.67,1.7,1.1,2.7,1.6,0.0,4.4,2.0,0.4,0.7,1.7,1.4,7.0,1.7,0.6,2.5,"rgb(85,34,170)",221,170
2014-01-07,20.64,1.3,0.6,1.2,1.8,0.0,1.0,0.9,0.5,0.4,1.3,0.9,4.7,1.3,0.6,1.4,"rgb(123,53,132)",202,132
2014-01-08,21.32,0.9,1.6,3.7,2.5,0.0,2.8,1.6,0.7,0.7,1.5,2.7,2.1,2.3,0.6,1.6,"rgb(106,70,149)",185,149
2014-01-09,21.34,0.6,2.9,5.2,2.3,0.0,6.3,3.2,0.6,1.1,1.3,3.6,7.7,1.0,0.9,2.2,"rgb(69,15,186)",240,186
2014-01-10,21.32,2.4,1.3,3.1,2.3,0.0,4.0,1.8,0.5,0.6,1.5,2.0,6.5,0.9,0.8,2.4,"rgb(91,10,164)",245,164
2014-01-11,21.58,1.7,1.0,2.0,2.3,0.0,1.2,1.0,0.4,0.5,1.2,1.3,3.4,1.1,0.3,1.7,"rgb(106,19,149)",236,149
2014-01-12,21.85,0.5,2.2,4.1,2.6,0.0,3.7,2.3,0.6,0.8,1.4,2.9,2.3,2.3,0.5,1.6,"rgb(88,21,167)",234,167
2014-01-14,21.9,1.1,3.3,6.0,3.2,0.0,6.7,3.3,0.6,1.3,1.5,4.3,5.3,1.3,0.9,3.2,"rgb(94,98,161)",157,161
2014-01-15,21.65,1.3,2.1,3.4,2.1,0.0,8.0,3.3,0.4,1.0,1.2,2.5,8.2,2.1,0.6,3.1,"rgb(70,4,185)",251,185
2014-01-16,21.825,1.6,0.8,2.3,2.1,0.0,3.7,0.9,0.4,0.5,1.3,1.1,5.5,1.8,0.6,2.5,"rgb(87,11,168)",244,168
2014-01-17,21.725,1.6,1.3,2.6,2.0,0.0,3.2,1.3,0.5,0.7,1.3,2.0,5.1,2.5,0.5,2.4,"rgb(90,19,165)",236,165
2014-01-18,21.6,0.7,3.1,5.4,2.7,0.0,6.3,3.4,0.5,1.2,1.4,3.6,7.2,2.8,0.8,3.0,"rgb(70,2,185)",253,185
2014-01-19,21.46,2.1,1.0,2.4,2.2,0.0,3.8,1.0,0.4,0.6,1.3,1.5,4.9,2.1,0.9,2.3,"rgb(80,2,175)",253,175
2014-01-21,21.825000000000006,1.7,3.1,5.6,2.8,0.0,7.1,3.3,0.4,1.2,1.2,3.5,6.2,2.2,0.7,2.2,"rgb(69,0,186)",255,186
2014-01-22,21.65,0.7,2.6,4.4,2.3,0.0,6.2,2.7,0.4,1.0,1.3,2.8,7.8,1.9,0.8,2.5,"rgb(71,1,184)",254,184
2014-01-23,21.65,2.0,0.8,2.1,1.9,0.0,1.6,1.0,0.4,0.5,1.4,1.2,5.1,2.0,0.9,2.5,"rgb(92,14,163)",241,163
2014-01-24,21.34,1.3,0.8,1.9,2.1,0.0,1.5,1.0,0.5,0.6,1.2,1.6,4.4,2.4,0.9,2.4,"rgb(110,39,145)",216,145
2014-01-25,21.62,0.9,1.1,3.1,2.1,0.0,1.8,0.9,0.5,0.5,1.2,2.6,3.1,2.6,0.8,1.7,"rgb(115,48,140)",207,140
2014-01-26,21.8,1.0,1.9,3.5,1.7,0.0,5.5,2.3,0.6,0.8,1.1,2.2,4.5,1.7,0.7,2.4,"rgb(82,34,173)",221,173
2014-01-27,21.7,1.5,1.4,2.6,1.9,0.0,3.9,1.8,0.5,0.7,1.3,1.4,4.9,1.9,0.7,2.3,"rgb(86,30,169)",225,169
2014-01-28,21.875,1.5,0.8,1.9,1.6,0.0,1.4,0.9,0.5,0.5,1.5,1.1,3.7,1.6,0.8,2.2,"rgb(117,41,138)",214,138
2014-01-29,21.85,1.0,0.8,1.7,1.7,0.0,1.1,0.9,0.6,0.4,1.1,0.9,2.9,1.5,0.8,1.8,"rgb(119,48,136)",207,136
2014-01-30,22.0,0.6,0.7,1.1,1.4,0.0,1.2,0.8,0.5,0.4,1.4,1.1,1.3,1.2,0.7,1.3,"rgb(119,51,136)",204,136
2014-02-05,21.4,1.8,1.0,2.7,1.6,0.0,1.7,1.0,0.5,0.6,1.5,1.5,6.5,1.5,0.6,1.5,"rgb(99,129,156)",126,156
2014-02-06,21.65,0.3,0.9,2.7,2.2,0.0,1.4,1.1,0.4,0.6,1.7,1.3,2.5,1.1,0.6,1.9,"rgb(163,155,92)",100,92
2014-02-07,21.5,0.3,1.1,2.7,2.2,0.0,1.1,0.9,0.5,0.6,1.5,1.9,1.8,1.0,0.9,1.4,"rgb(164,155,91)",100,91
2014-02-08,21.44,1.6,1.7,3.3,2.1,0.0,4.4,2.3,0.6,0.8,1.4,2.1,4.2,2.2,1.1,2.0,"rgb(100,84,155)",171,155
2014-02-09,21.725,1.4,1.9,3.8,2.1,0.0,5.0,2.3,0.6,0.8,2.3,2.5,2.9,0.9,1.0,1.8,"rgb(79,146,176)",109,176
2014-02-11,21.44,0.1,2.1,5.0,3.0,0.0,4.3,2.3,0.5,0.9,1.1,3.3,2.7,1.8,0.6,1.9,"rgb(87,86,168)",169,168
2014-02-12,21.575,0.1,1.7,3.6,1.9,0.0,2.6,1.7,0.6,0.8,1.3,2.6,2.4,0.6,0.4,1.7,"rgb(93,90,162)",165,162
2014-02-13,21.6,0.4,2.2,4.1,2.6,0.0,3.6,2.1,0.7,1.0,1.5,3.0,2.1,1.1,0.6,1.7,"rgb(92,96,163)",159,163
2014-02-14,21.625,0.6,2.5,4.8,2.7,0.0,5.2,2.6,0.5,1.1,1.3,3.4,3.0,1.5,0.6,1.8,"rgb(90,92,165)",163,165
2014-02-18,21.0,0.7,1.5,3.1,2.3,0.0,1.9,1.4,0.6,0.8,1.4,2.6,1.9,1.9,0.6,2.2,"rgb(104,76,151)",179,151
2014-02-19,21.65,0.8,3.0,6.7,3.6,0.0,4.0,2.5,0.6,1.3,1.5,4.4,1.9,2.1,1.1,2.9,"rgb(85,99,170)",156,170
2014-02-20,21.75,1.2,3.1,5.9,2.9,0.0,5.3,2.9,0.6,1.3,1.5,4.1,5.3,3.8,0.5,2.2,"rgb(71,2,184)",253,184
2014-02-21,21.26,1.6,1.2,2.0,2.1,0.0,3.9,1.5,0.5,0.7,1.2,1.5,6.0,2.6,0.5,2.4,"rgb(79,4,176)",251,176
2014-02-22,21.925,1.3,1.0,3.0,2.6,0.0,1.3,0.9,0.6,0.5,1.2,1.7,3.9,1.6,0.7,1.9,"rgb(96,11,159)",244,159
2014-02-23,21.34,1.5,1.1,3.3,2.1,0.0,1.1,0.9,0.6,0.5,1.2,1.7,4.1,0.9,0.6,2.0,"rgb(103,20,152)",235,152
2014-02-25,21.825,1.1,0.8,2.0,1.7,0.0,1.1,0.9,0.5,0.6,1.2,1.6,3.7,1.5,0.5,1.4,"rgb(121,51,134)",204,134
