DateTime,平均價,新北市_氣溫,臺中市_氣溫,臺南市_氣溫,高雄市_氣溫,桃園市_氣溫,新竹縣_氣溫,苗栗縣_氣溫,南投縣_氣溫,彰化縣_氣溫,雲林縣_氣溫,嘉義市_氣溫,屏東縣_氣溫,宜蘭縣_氣溫,花蓮縣_氣溫,臺東縣_氣溫,color,x,y
2019-01-01,21.8,14.199999999999998,18.8,18.7,21.3,15.699999999999998,17.1,17.9,16.7,18.0,16.3,18.3,22.5,16.2,17.8,20.8,"rgb(71,200,184)",55,184
2019-01-02,21.7,14.9,18.9,19.1,21.2,16.5,17.3,18.0,17.6,18.4,15.9,19.1,21.5,16.7,17.2,19.1,"rgb(70,200,185)",55,185
2019-01-03,21.7,16.6,19.3,20.3,22.5,17.6,18.3,18.5,18.6,19.2,16.7,20.0,23.3,18.3,18.9,21.600000000000005,"rgb(71,201,184)",54,184
2019-01-04,21.7,20.1,20.9,20.7,22.899999999999995,18.8,18.2,18.6,20.3,19.8,17.9,21.0,24.5,21.399999999999995,21.1,23.2,"rgb(91,254,164)",1,164
2019-01-05,21.766666666666666,17.9,22.2,22.600000000000005,24.899999999999995,18.0,18.6,18.9,21.8,21.1,18.5,22.399999999999995,25.399999999999995,21.399999999999995,21.8,23.5,"rgb(79,255,176)",0,176
2019-01-06,21.73333333333333,15.9,20.1,21.0,23.899999999999995,16.5,17.2,17.6,19.5,19.3,17.8,20.9,23.8,19.0,19.1,22.0,"rgb(89,226,166)",29,166
2019-01-08,21.7,16.8,21.1,21.7,23.399999999999995,18.0,19.1,19.2,20.5,20.2,17.9,21.8,23.600000000000005,19.3,19.5,22.899999999999995,"rgb(90,238,165)",17,165
2019-01-09,21.7,16.3,20.9,21.3,23.399999999999995,18.6,19.5,19.5,19.9,19.8,18.2,21.1,24.0,18.1,19.3,22.5,"rgb(72,203,183)",52,183
2019-01-10,21.7,20.8,21.5,21.2,24.0,19.0,19.6,19.1,20.9,20.0,18.6,21.2,24.3,22.0,20.9,23.7,"rgb(86,251,169)",4,169
2019-01-11,21.7,20.2,22.600000000000005,21.8,24.8,18.8,20.5,19.3,21.1,20.5,17.7,21.7,24.8,22.899999999999995,22.399999999999995,25.0,"rgb(73,251,182)",4,182
2019-01-12,21.66666666666667,17.1,22.3,22.2,25.100000000000005,17.7,18.8,19.3,21.0,20.2,18.0,21.5,24.600000000000005,20.7,21.1,24.2,"rgb(73,247,182)",8,182
2019-01-13,21.73333333333333,15.9,20.6,20.5,23.5,17.2,17.8,18.2,19.8,19.5,18.0,20.6,23.5,18.8,18.9,22.2,"rgb(85,240,170)",15,170
2019-01-15,21.7,18.4,20.4,20.7,22.8,18.3,18.9,18.7,19.7,19.2,17.0,20.5,22.899999999999995,21.3,19.6,21.600000000000005,"rgb(73,247,182)",8,182
2019-01-16,21.066666666666666,14.199999999999998,17.5,18.0,20.8,15.0,15.699999999999998,16.0,16.8,16.6,14.300000000000002,17.6,21.899999999999995,17.2,17.7,20.8,"rgb(94,223,161)",32,161
2019-01-17,21.7,12.800000000000002,16.3,17.0,19.9,13.9,13.9,14.6,15.5,15.6,14.699999999999998,16.6,21.899999999999995,16.6,17.2,20.0,"rgb(100,230,155)",25,155
2019-01-18,21.7,15.0,18.4,17.8,20.2,17.1,16.9,17.0,17.3,17.2,14.199999999999998,18.0,21.2,17.9,17.1,19.6,"rgb(101,240,154)",15,154
2019-01-19,21.66666666666667,18.0,19.6,19.3,21.899999999999995,16.8,17.8,17.4,18.0,17.9,14.0,19.2,22.100000000000005,19.8,17.4,20.2,"rgb(92,251,163)",4,163
2019-01-20,21.7,15.199999999999998,20.1,20.3,22.5,16.6,17.3,17.4,19.3,18.6,14.800000000000002,20.0,22.8,19.1,17.9,20.3,"rgb(88,234,167)",21,167
2019-01-22,21.7,11.1,15.0,15.800000000000002,18.5,13.1,12.800000000000002,13.6,13.699999999999998,14.800000000000002,12.0,15.300000000000002,20.4,14.9,15.300000000000002,19.3,"rgb(103,238,152)",17,152
2019-01-23,21.7,12.5,16.4,16.2,18.7,15.1,14.9,14.699999999999998,15.199999999999998,15.699999999999998,13.0,15.9,20.7,15.9,15.199999999999998,18.5,"rgb(101,242,154)",13,154
2019-01-24,21.7,13.800000000000002,17.6,17.7,20.6,16.2,16.3,15.699999999999998,15.699999999999998,16.7,14.300000000000002,17.2,21.899999999999995,16.8,16.7,20.0,"rgb(98,247,157)",8,157
2019-01-25,21.7,15.199999999999998,17.8,18.0,21.1,17.2,16.6,15.9,16.1,16.9,14.9,17.4,21.899999999999995,18.8,17.9,20.6,"rgb(93,248,162)",7,162
2019-01-26,21.66666666666667,11.199999999999998,16.7,16.3,19.2,13.699999999999998,14.300000000000002,15.0,14.5,16.0,14.0,16.0,20.0,15.199999999999998,15.199999999999998,18.6,"rgb(105,238,150)",17,150
2019-01-27,21.7,11.199999999999998,16.8,16.6,19.0,14.6,14.6,15.300000000000002,15.199999999999998,16.1,12.800000000000002,16.5,19.7,14.5,14.699999999999998,17.4,"rgb(105,239,150)",16,150
2019-01-29,21.7,15.9,18.3,18.4,21.8,18.2,18.6,16.7,16.9,17.1,15.199999999999998,17.9,20.6,17.3,17.5,19.4,"rgb(94,253,161)",2,161
2019-01-30,21.7,17.3,20.6,19.7,22.5,17.3,18.3,17.5,18.6,18.6,15.699999999999998,19.3,22.899999999999995,19.7,19.6,21.600000000000005,"rgb(93,253,162)",2,162
2019-01-31,21.7,16.6,22.399999999999995,22.8,24.2,18.1,19.4,19.6,20.5,21.1,16.7,22.100000000000005,23.899999999999995,20.4,20.7,22.7,"rgb(75,246,180)",9,180
2019-02-01,21.8,11.699999999999998,17.1,18.3,22.100000000000005,13.800000000000002,14.0,14.4,16.5,16.1,15.6,17.7,21.5,15.199999999999998,15.699999999999998,19.2,"rgb(104,239,151)",16,151
2019-02-02,21.66666666666667,18.0,18.8,19.9,22.8,16.0,16.5,16.4,18.0,17.9,16.0,19.2,22.899999999999995,18.9,18.3,20.5,"rgb(90,248,165)",7,165
