DateTime,平均價,新北市_氣溫,臺中市_氣溫,臺南市_氣溫,高雄市_氣溫,桃園市_氣溫,新竹縣_氣溫,苗栗縣_氣溫,南投縣_氣溫,彰化縣_氣溫,雲林縣_氣溫,嘉義市_氣溫,屏東縣_氣溫,宜蘭縣_氣溫,花蓮縣_氣溫,臺東縣_氣溫,color,x,y
2013-01-01,53.20000000000001,11.6,14.5,15.4,18.3,13.1,10.9,12.6,13.9,13.4,10.9,14.1,20.3,13.0,12.7,17.099999999999998,"rgb(225,169,30)",86,30
2013-01-02,49.31428571428571,15.2,17.599999999999994,18.2,20.6,16.3,15.0,16.8,16.8,17.2,14.2,17.599999999999994,22.7,17.8,17.0,20.7,"rgb(228,137,27)",118,27
2013-01-03,50.14285714285714,12.599999999999998,16.099999999999998,16.599999999999998,19.4,13.0,12.599999999999998,15.099999999999998,15.599999999999998,15.599999999999998,14.7,16.099999999999998,22.0,15.099999999999998,16.400000000000002,19.9,"rgb(251,142,4)",113,4
2013-01-04,48.14285714285714,13.5,16.599999999999998,16.7,18.6,14.3,14.3,15.900000000000002,15.400000000000002,16.3,13.599999999999998,16.3,21.6,14.900000000000002,16.3,19.6,"rgb(174,134,81)",121,81
2013-01-05,49.085714285714296,14.900000000000002,17.599999999999994,17.8,19.9,14.8,14.3,16.099999999999998,17.099999999999998,17.2,14.900000000000002,17.400000000000002,23.1,17.3,17.400000000000002,21.2,"rgb(226,122,29)",133,29
2013-01-06,48.94285714285714,16.099999999999998,18.1,18.3,20.4,16.5,15.7,17.099999999999998,17.900000000000006,17.400000000000002,16.2,18.2,23.800000000000004,18.2,18.8,22.2,"rgb(220,128,35)",127,35
2013-01-07,48.0,17.0,19.2,19.8,21.5,16.2,15.7,17.6,19.2,18.8,16.7,19.4,24.4,19.9,20.5,23.3,"rgb(210,121,45)",134,45
2013-01-08,47.02857142857143,15.099999999999998,17.8,18.7,20.6,14.7,13.900000000000002,16.0,17.099999999999998,17.5,14.400000000000002,17.900000000000006,22.9,17.900000000000006,18.3,22.0,"rgb(211,72,44)",183,44
2013-01-09,48.28333333333334,12.7,15.5,16.0,18.1,12.8,11.9,14.2,14.7,15.4,13.0,15.4,22.0,15.3,16.3,19.9,"rgb(217,74,38)",181,38
2013-01-10,49.1625,11.900000000000002,16.0,16.099999999999998,17.5,13.400000000000002,12.900000000000002,15.2,14.900000000000002,16.0,12.8,15.900000000000002,21.3,14.0,15.900000000000002,18.8,"rgb(177,135,78)",120,78
2013-01-11,50.814285714285724,15.3,16.599999999999998,16.3,18.4,16.7,16.5,16.7,15.8,16.5,14.099999999999998,15.900000000000002,21.5,16.5,16.099999999999998,19.4,"rgb(238,140,17)",115,17
2013-01-12,46.885714285714286,16.400000000000002,18.9,18.7,20.3,16.8,15.900000000000002,18.0,18.1,18.4,15.400000000000002,18.7,22.300000000000004,18.3,17.599999999999994,20.7,"rgb(215,72,40)",183,40
2013-01-13,49.18333333333333,14.5,16.8,17.400000000000002,19.7,14.6,13.5,15.4,16.7,16.2,13.4,17.0,21.3,18.5,18.4,21.5,"rgb(204,67,51)",188,51
2013-01-14,47.0,11.4,15.1,15.5,17.6,12.9,12.3,14.3,13.7,14.7,13.0,14.9,19.5,14.9,15.2,18.7,"rgb(233,132,22)",123,22
2013-01-15,51.95,13.1,15.6,16.2,18.6,15.3,14.2,15.4,14.0,15.7,11.5,15.5,20.3,16.599999999999998,15.8,18.6,"rgb(228,163,27)",92,27
2013-01-16,49.7,14.3,16.3,17.099999999999998,19.2,15.0,14.599999999999998,16.599999999999998,14.400000000000002,16.599999999999998,11.8,16.2,19.8,17.7,16.3,19.7,"rgb(229,156,26)",99,26
2013-01-17,48.957142857142856,11.0,14.900000000000002,15.400000000000002,18.2,12.7,11.3,13.900000000000002,13.400000000000002,15.0,12.0,14.5,19.7,14.099999999999998,14.2,18.5,"rgb(252,151,3)",104,3
2013-01-18,49.4,9.2,13.900000000000002,14.099999999999998,16.2,12.099999999999998,10.7,13.0,12.7,14.099999999999998,10.6,13.5,18.2,12.2,11.599999999999998,15.599999999999998,"rgb(246,159,9)",96,9
2013-01-19,48.11428571428571,14.7,16.0,15.599999999999998,18.0,16.3,14.599999999999998,15.7,14.2,15.3,11.8,15.2,20.3,16.3,14.900000000000002,18.3,"rgb(227,160,28)",95,28
2013-01-20,48.96666666666667,18.4,17.2,17.8,19.8,15.7,14.9,16.3,15.6,16.7,14.1,17.400000000000002,21.3,18.6,16.5,19.5,"rgb(213,146,42)",109,42
2013-01-21,50.0,18.7,19.2,19.8,22.5,18.1,17.7,17.8,17.7,18.0,16.3,18.6,22.8,19.7,18.2,20.7,"rgb(212,149,43)",106,43
2013-01-22,50.98333333333333,15.9,19.7,19.8,23.2,16.7,17.2,18.6,18.5,18.8,16.3,19.0,23.2,19.0,19.7,22.4,"rgb(213,139,42)",116,42
