DateTime,平均價,新北市_氣壓,臺中市_氣壓,臺南市_氣壓,高雄市_氣壓,桃園市_氣壓,新竹縣_氣壓,苗栗縣_氣壓,南投縣_氣壓,彰化縣_氣壓,雲林縣_氣壓,嘉義市_氣壓,屏東縣_氣壓,宜蘭縣_氣壓,花蓮縣_氣壓,臺東縣_氣壓,color,x,y
2016-01-01,50.91666666666666,991.4,1014.0,1022.3,1023.1,1016.9,1008.4,1017.2,1001.7,1020.5,896.6000000000001,1020.7,1020.8,1025.9,1008.3,1024.4,"rgb(196,149,59)",106,59
2016-01-02,50.49444444444444,987.6,1011.9,1020.1,1021.0,1014.2,1006.4,1014.9,999.8,1018.3,894.8999999999999,1018.6,1018.8,1020.9,1004.6,1021.1,"rgb(207,129,48)",126,48
2016-01-03,50.6425,986.1,1009.8,1017.8,1018.5,1012.1,1004.3,1012.8,997.7,1016.1,893.3999999999999,1016.3,1016.3,1019.4,1002.4,1018.7,"rgb(187,26,68)",229,68
2016-01-04,47.0,984.4,1008.5,1016.7,1017.6,1010.5,1002.9,1011.5,996.8,1015.0,893.3,1015.1,1015.7,1017.6,1000.9,1017.3,"rgb(209,97,46)",158,46
2016-01-05,50.86,983.4,1006.8,1015.0,1015.9,1009.4,1001.6,1010.1,995.2,1013.2,891.8999999999999,1013.4,1014.1,1016.2,999.3,1015.7,"rgb(208,95,47)",160,47
2016-01-06,49.401111111111106,985.1,1007.6,1015.4,1016.1,1011.5,1003.2,1011.5,995.6,1014.0,891.6000000000001,1014.1,1014.0,1018.0,1000.3,1016.3,"rgb(253,104,2)",151,2
2016-01-07,49.131111111111096,987.6,1009.7,1018.1,1018.8,1013.7,1005.1,1013.5,997.7,1016.2,892.6999999999998,1016.5,1016.4,1021.4,1003.6,1019.3,"rgb(205,134,50)",121,50
2016-01-08,51.42777777777778,986.4,1009.3,1017.2,1017.7,1013.1,1004.8,1013.1,997.0,1015.7,891.6000000000001,1015.8,1015.4,1020.1,1001.8,1017.6,"rgb(224,131,31)",124,31
2016-01-09,51.87000000000001,987.4,1009.9,1018.3,1019.0,1013.3,1005.0,1013.5,997.8,1016.5,892.6000000000001,1016.7,1016.8,1021.7,1003.9,1019.9,"rgb(206,135,49)",120,49
2016-01-10,50.415,984.2,1008.0,1016.2,1016.9,1010.4,1002.7,1011.3,996.0,1014.5,891.6000000000001,1014.7,1014.7,1017.8,1001.0,1017.1,"rgb(207,117,48)",138,48
2016-01-11,50.0,982.5,1006.2,1014.0,1014.4,1009.2,1001.4,1009.8,993.9,1012.5,889.5,1012.7,1012.1,1015.1,997.6,1013.6,"rgb(251,103,4)",152,4
2016-01-12,51.68125,985.9,1007.8,1016.1,1016.7,1012.3,1003.8,1012.1,995.6,1014.4,890.6000000000001,1014.6,1014.5,1019.7,1001.5,1017.4,"rgb(218,131,37)",124,37
2016-01-13,50.67111111111112,986.7,1009.4,1017.6,1018.1,1013.5,1004.8,1013.3,997.0,1015.9,890.8000000000002,1016.2,1015.7,1020.8,1002.1,1017.9,"rgb(216,133,39)",122,39
