DateTime,平均價,新北市_氣溫,臺中市_氣溫,臺南市_氣溫,高雄市_氣溫,桃園市_氣溫,新竹縣_氣溫,苗栗縣_氣溫,南投縣_氣溫,彰化縣_氣溫,雲林縣_氣溫,嘉義市_氣溫,屏東縣_氣溫,宜蘭縣_氣溫,花蓮縣_氣溫,臺東縣_氣溫,color,x,y
2012-01-01,62.821999999999996,11.5,16.8,16.9,19.2,14.4,14.2,15.5,15.4,16.6,14.0,16.5,20.2,15.1,14.7,18.4,"rgb(87,71,168)",184,168
2012-01-02,53.7,11.3,16.1,15.8,18.3,14.7,14.4,15.2,14.0,16.2,12.9,15.6,19.5,14.4,14.2,17.0,"rgb(87,80,168)",175,168
2012-01-03,65.408,12.5,16.6,17.0,19.1,15.2,15.0,15.6,15.5,16.7,13.0,16.6,21.0,15.7,16.9,19.5,"rgb(79,68,176)",187,176
2012-01-04,59.83833333333334,7.3,12.6,13.9,16.8,9.2,9.2,10.5,12.2,12.5,12.3,13.2,18.9,11.8,13.0,17.099999999999998,"rgb(96,70,159)",185,159
2012-01-05,66.91,9.3,12.3,12.6,15.5,11.2,10.7,11.4,10.9,12.4,11.3,12.3,18.0,11.7,12.5,15.2,"rgb(101,81,154)",174,154
2012-01-06,61.214,13.1,15.2,15.9,18.3,14.5,13.7,14.3,14.2,15.2,14.1,15.4,20.6,15.7,15.5,18.4,"rgb(105,139,150)",116,150
2012-01-07,54.875,13.2,17.3,17.1,18.4,14.7,16.2,16.5,15.8,17.0,16.3,16.8,21.4,15.9,17.0,20.2,"rgb(98,77,157)",178,157
2012-01-08,66.26666666666667,14.699999999999998,17.9,18.2,19.6,15.699999999999998,16.2,16.6,17.1,18.0,16.4,18.2,21.399999999999995,18.2,18.5,21.399999999999995,"rgb(98,76,157)",179,157
2012-01-09,34.6,13.7,18.2,18.2,19.9,15.2,16.3,16.7,16.7,17.9,17.8,18.2,21.6,17.5,17.4,20.8,"rgb(79,84,176)",171,176
2012-01-10,68.275,13.7,18.4,17.9,20.1,16.7,17.0,17.9,17.0,18.2,16.7,17.7,21.7,16.8,17.3,20.6,"rgb(85,68,170)",187,170
2012-01-11,62.6,11.4,17.0,17.3,19.4,14.699999999999998,14.699999999999998,15.9,15.6,16.9,15.300000000000002,17.0,20.1,14.9,15.199999999999998,18.7,"rgb(92,70,163)",185,163
2012-01-12,70.325,12.4,17.4,17.1,18.9,15.9,16.1,16.6,16.3,17.3,14.9,17.1,20.0,14.8,15.7,18.7,"rgb(85,73,170)",182,170
2012-01-13,68.125,15.0,18.4,18.1,20.1,16.9,16.9,17.5,16.6,18.1,15.6,18.0,22.3,17.1,17.1,20.7,"rgb(76,70,179)",185,179
2012-01-14,64.675,17.6,19.0,19.5,21.1,17.3,17.4,17.5,18.8,18.7,17.3,19.0,22.9,20.1,18.8,21.6,"rgb(52,98,203)",157,203
2012-01-15,57.52500000000001,15.8,18.9,21.0,23.2,16.1,16.1,16.6,19.2,18.6,18.6,20.3,24.4,18.9,19.3,22.2,"rgb(82,127,173)",128,173
2012-01-16,40.5,13.2,15.6,17.0,19.3,14.1,14.0,14.9,14.7,15.5,11.9,16.5,21.3,18.5,18.2,20.2,"rgb(96,143,159)",112,159
2012-01-17,55.23333333333333,13.5,16.4,16.6,18.5,16.6,16.9,17.1,15.5,16.2,14.300000000000002,16.2,21.3,17.0,17.2,20.0,"rgb(62,98,193)",157,193
2012-01-18,61.42000000000001,15.6,19.2,18.9,20.9,16.7,17.7,17.5,17.7,18.6,16.599999999999998,18.7,22.1,18.7,16.900000000000002,20.0,"rgb(57,99,198)",156,198
2012-01-19,77.94,14.8,18.9,19.1,22.1,16.5,17.2,17.6,17.3,18.7,16.5,18.5,22.5,18.9,19.0,21.6,"rgb(60,69,195)",186,195
2012-01-20,74.36666666666667,13.5,17.9,18.0,20.4,15.4,16.2,16.8,16.8,17.8,15.9,17.7,22.100000000000005,17.1,18.1,21.1,"rgb(62,70,193)",185,193
2012-01-21,76.94000000000003,13.1,17.9,18.1,20.1,14.7,15.5,16.2,17.2,17.6,14.8,17.8,21.5,16.1,17.4,20.6,"rgb(61,70,194)",185,194
2012-01-22,84.3,10.800000000000002,14.5,16.2,19.8,11.6,11.9,12.699999999999998,14.0,14.199999999999998,13.9,15.1,20.6,14.4,15.300000000000002,19.1,"rgb(103,133,152)",122,152
2012-01-27,52.8,13.9,17.0,16.8,19.9,14.6,15.3,15.5,15.8,16.8,15.8,16.8,21.5,17.9,16.5,20.0,"rgb(62,100,193)",155,193
2012-01-28,78.5,13.4,17.2,17.4,21.8,14.9,15.2,15.7,17.1,17.2,16.6,17.3,22.7,18.0,19.7,21.4,"rgb(62,68,193)",187,193
2012-01-29,66.45,13.6,17.7,17.1,20.2,15.2,14.8,15.9,16.7,17.6,15.9,17.5,22.2,17.6,17.8,20.9,"rgb(67,68,188)",187,188
2012-01-30,79.525,13.5,17.0,16.6,18.9,14.8,14.5,15.6,16.1,16.8,15.2,16.9,21.4,17.7,16.4,19.9,"rgb(71,62,184)",193,184
2012-02-01,46.74999999999999,12.8,15.7,15.5,18.2,14.9,15.1,15.1,13.9,15.6,13.0,15.5,20.5,16.0,17.4,20.2,"rgb(81,93,174)",162,174
2012-02-02,55.23,10.4,16.5,16.6,18.8,12.5,13.7,14.9,15.6,16.3,14.1,16.4,20.5,14.1,15.7,19.5,"rgb(96,73,159)",182,159
2012-02-03,57.45,9.8,14.2,14.6,17.4,11.5,11.8,12.7,13.1,14.2,12.6,14.5,20.4,12.7,14.5,18.1,"rgb(99,80,156)",175,156
2012-02-04,71.03333333333333,14.300000000000002,17.0,16.9,19.6,16.8,16.7,16.1,16.4,17.1,15.4,17.0,22.3,16.4,17.7,20.7,"rgb(71,68,184)",187,184
2012-02-05,48.13333333333333,16.7,19.6,19.6,22.0,16.1,17.9,16.7,18.3,18.6,16.8,19.2,22.399999999999995,19.4,19.7,22.600000000000005,"rgb(60,105,195)",150,195
2012-02-06,66.775,18.8,22.2,23.4,24.9,18.6,19.7,18.9,20.0,21.3,19.3,23.3,24.6,21.5,20.9,23.9,"rgb(30,113,225)",142,225
2012-02-08,29.4,7.2,11.2,11.0,14.1,9.4,9.1,10.0,10.0,10.7,11.9,10.8,18.0,11.0,12.6,15.5,"rgb(100,86,155)",169,155
2012-02-09,61.05,9.9,13.1,13.9,17.2,12.0,11.6,12.4,12.2,12.9,12.8,13.1,19.7,12.5,13.3,16.3,"rgb(91,74,164)",181,164
2012-02-10,70.125,13.0,15.8,16.0,18.7,13.2,13.1,13.3,15.5,15.4,15.6,15.4,21.6,18.2,18.5,20.9,"rgb(73,65,182)",190,182
2012-02-11,84.53333333333333,13.0,16.8,16.0,18.5,13.9,14.300000000000002,14.699999999999998,15.800000000000002,16.2,16.8,15.9,21.5,16.7,18.1,21.3,"rgb(72,64,183)",191,183
2012-02-12,82.23333333333333,17.2,16.7,16.4,18.8,18.1,15.9,15.1,16.8,15.699999999999998,16.9,16.0,22.3,19.7,19.0,20.4,"rgb(72,63,183)",192,183
