DateTime,平均價,新北市_氣壓,臺中市_氣壓,臺南市_氣壓,高雄市_氣壓,桃園市_氣壓,新竹縣_氣壓,苗栗縣_氣壓,南投縣_氣壓,彰化縣_氣壓,雲林縣_氣壓,嘉義市_氣壓,屏東縣_氣壓,宜蘭縣_氣壓,花蓮縣_氣壓,臺東縣_氣壓,color,x,y
2015-01-01,48.90833333333333,993.4,1012.8,1021.1,1021.9,1020.1,1009.3,1016.1,999.9,1019.1,893.4,1019.5,1020.6,1027.9,1009.0,1024.5,"rgb(23,6,232)",249,232
2015-01-02,46.23833333333334,992.1,1013.5,1022.2,1022.9,1018.5,1008.3,1015.9,1000.7,1019.8,893.6999999999998,1020.4,1021.0,1026.9,1009.1,1024.8,"rgb(27,11,228)",244,228
2015-01-03,48.76666666666666,988.1,1011.4,1020.0,1020.8,1014.6,1005.4,1013.2,998.7,1017.5,892.5,1018.1,1018.5,1022.5,1005.5,1021.6,"rgb(24,19,231)",236,231
2015-01-04,55.04600000000001,983.7,1007.5,1015.7,1016.4,1010.6,1001.7,1009.4,995.1,1013.6,889.9,1014.1,1014.4,1017.3,1001.1,1017.0,"rgb(30,51,225)",204,225
2015-01-05,36.7,981.9,1005.2,1013.2,1014.3,1008.4,999.4,1007.1,992.8,1011.3,889.0,1011.7,1012.5,1015.1,999.1,1014.8,"rgb(15,76,240)",179,240
2015-01-06,49.82833333333333,982.1,1004.5,1012.6,1013.6,1008.5,999.2,1006.7,992.3,1010.9,888.8000000000002,1011.2,1011.7,1014.8,998.1,1013.8,"rgb(34,67,221)",188,221
2015-01-07,47.73666666666666,987.5,1008.4,1016.5,1017.0,1014.8,1004.9,1012.0,995.9,1015.0,890.9,1015.2,1014.9,1020.9,1002.7,1017.7,"rgb(29,36,226)",219,226
2015-01-08,45.01499999999999,992.8,1013.0,1021.4,1021.9,1019.8,1009.4,1016.4,1000.2,1019.3,893.3000000000002,1019.9,1019.9,1027.1,1008.4,1023.8,"rgb(22,6,233)",249,233
2015-01-09,43.06833333333333,991.3,1013.0,1021.5,1022.3,1017.9,1008.1,1015.6,1000.3,1019.3,893.6,1019.8,1020.6,1025.7,1008.2,1023.8,"rgb(28,11,227)",244,227
2015-01-10,38.53666666666667,990.4,1012.2,1020.9,1021.7,1016.9,1006.8,1014.4,999.6,1018.6,893.3000000000002,1019.2,1019.6,1024.7,1007.1,1022.7,"rgb(25,15,230)",240,230
2015-01-11,38.14,990.3,1011.0,1019.4,1020.4,1016.1,1005.7,1013.2,998.4,1017.2,893.1,1017.7,1018.3,1024.6,1006.9,1022.1,"rgb(31,20,224)",235,224
2015-01-12,33.67,990.6,1009.6,1018.0,1019.2,1015.5,1004.1,1011.6,997.2,1015.9,892.2,1016.4,1017.7,1025.1,1008.1,1023.3,"rgb(44,29,211)",226,211
2015-01-13,42.538000000000004,984.5,1007.3,1015.7,1016.5,1009.9,1001.1,1009.0,994.8,1013.5,889.6,1014.1,1014.7,1018.8,1003.5,1019.2,"rgb(28,54,227)",201,227
2015-01-14,41.836666666666666,986.3,1008.8,1016.5,1016.9,1013.8,1004.4,1011.6,996.2,1015.0,890.4,1015.3,1014.4,1018.5,1001.3,1016.6,"rgb(27,49,228)",206,228
2015-01-15,49.3,988.9,1010.1,1018.8,1019.5,1015.8,1005.7,1013.1,997.6,1016.5,892.1,1017.1,1017.3,1023.0,1005.3,1020.6,"rgb(28,20,227)",235,227
2015-01-16,44.612,988.4,1011.1,1019.5,1020.2,1015.5,1006.0,1013.6,998.5,1017.4,892.6,1017.9,1018.0,1022.2,1004.8,1020.4,"rgb(22,21,233)",234,233
2015-01-17,42.484,991.9,1011.8,1020.4,1021.1,1018.4,1007.5,1014.9,999.1,1018.1,892.8,1018.7,1019.3,1026.2,1007.9,1023.1,"rgb(23,8,232)",247,232
2015-01-18,42.75400000000001,989.2,1011.4,1019.9,1020.7,1016.1,1006.0,1013.7,998.6,1017.6,892.1,1018.1,1018.5,1023.3,1005.8,1021.2,"rgb(22,16,233)",239,233
2015-01-20,37.435,986.4,1009.3,1017.6,1018.6,1012.4,1003.3,1011.1,996.8,1015.5,891.3000000000002,1016.0,1016.6,1020.6,1003.9,1019.5,"rgb(17,44,238)",211,238
2015-01-21,43.14,985.4,1008.7,1016.7,1017.3,1012.9,1003.7,1011.2,996.2,1015.0,890.8,1015.3,1015.3,1018.0,1000.9,1016.7,"rgb(24,51,231)",204,231
2015-01-22,40.12000000000001,987.7,1010.5,1018.4,1018.9,1015.2,1005.8,1013.1,997.8,1016.6,891.3,1017.0,1016.9,1021.3,1003.6,1019.3,"rgb(17,25,238)",230,238
2015-01-23,38.688,987.8,1010.6,1019.0,1019.9,1014.4,1004.9,1012.6,997.9,1016.5,891.6,1017.2,1018.3,1022.4,1005.2,1021.3,"rgb(19,19,236)",236,236
