DateTime,平均價,新北市_最大陣風,臺中市_最大陣風,臺南市_最大陣風,高雄市_最大陣風,桃園市_最大陣風,新竹縣_最大陣風,苗栗縣_最大陣風,南投縣_最大陣風,彰化縣_最大陣風,雲林縣_最大陣風,嘉義市_最大陣風,屏東縣_最大陣風,宜蘭縣_最大陣風,花蓮縣_最大陣風,臺東縣_最大陣風,color,x,y
2016-01-01,103.436,6.6,7.3,9.0,6.5,11.5,10.2,7.7,3.7,5.8,4.6,8.0,25.0,5.1,5.9,9.1,"rgb(101,196,154)",59,154
2016-01-02,110.89166666666664,4.9,4.5,8.4,6.1000000000000005,5.9,6.5,5.6000000000000005,2.6,4.5,5.1000000000000005,6.5,10.2,4.9,2.4,5.8,"rgb(113,209,142)",46,142
2016-01-03,123.15,3.0,4.4,8.2,8.5,5.1,3.9,3.3,3.0,3.0,7.8,5.3,7.7,4.1,3.8,6.8,"rgb(180,87,75)",168,75
2016-01-04,87.1,8.2,3.8,5.2,5.0,3.6,4.2,4.1,3.0,3.0,4.6,4.5,6.1,3.5,4.7,5.5,"rgb(117,141,138)",114,138
2016-01-05,118.12166666666668,7.1000000000000005,4.7,6.3,6.3,4.7,6.4,4.5,3.8,3.4,5.9,5.2,6.6000000000000005,5.4,4.9,6.9,"rgb(147,222,108)",33,108
2016-01-06,107.85666666666668,7.7,12.6,10.8,9.0,12.0,12.3,9.6,4.7,7.899999999999999,7.399999999999999,9.4,17.5,14.8,5.9,13.4,"rgb(140,182,115)",73,115
2016-01-07,120.24,7.1,8.6,11.4,7.6,11.6,11.1,10.8,4.2,7.7,5.2,9.2,21.1,5.3,6.1,9.7,"rgb(115,217,140)",38,140
2016-01-08,121.3,7.7,10.2,12.7,10.5,10.5,11.2,12.0,3.8,9.0,4.5,11.6,18.6,7.4,6.2,9.6,"rgb(115,219,140)",36,140
2016-01-09,112.15666666666668,8.200000000000001,7.8,9.9,9.1,14.1,9.8,8.6,4.2,7.8,5.1000000000000005,7.6,18.5,5.1000000000000005,5.8,8.799999999999997,"rgb(112,209,143)",46,143
2016-01-10,143.975,7.1,7.1,8.0,6.8,8.3,5.8,7.8,3.1,5.4,4.7,7.8,12.8,4.5,3.9,6.8,"rgb(114,235,141)",20,141
2016-01-11,83.8,6.0,10.1,13.6,9.6,10.0,6.8,9.1,4.1,6.8,6.9,12.8,7.3,12.8,4.5,7.7,"rgb(143,179,112)",76,112
2016-01-12,131.61999999999998,7.1,8.3,9.3,8.7,11.3,11.2,10.9,3.8,7.7,6.4,7.5,16.6,6.9,4.5,8.4,"rgb(114,226,141)",29,141
2016-01-13,117.34,6.6000000000000005,8.4,10.3,7.8,11.6,10.0,10.3,2.6,7.6,5.2,7.1000000000000005,12.2,4.8,5.4,6.1000000000000005,"rgb(111,217,144)",38,144
2016-01-14,125.14,4.1,7.6,10.7,7.3,9.3,8.2,9.9,3.7,6.5,6.0,7.2,10.3,4.0,4.2,6.3,"rgb(112,223,143)",32,143
2016-01-15,129.2,4.1,4.8,7.6,11.3,6.6,4.5,4.2,2.2,4.8,7.3,6.5,8.4,3.3,2.8,7.3,"rgb(123,224,132)",31,132
2016-01-16,130.02,6.0,5.8,6.2,4.7,10.1,7.2,7.1,4.1,5.1,7.0,6.2,14.3,4.2,2.9,5.5,"rgb(126,229,129)",26,129
2016-01-17,122.954,11.0,9.3,10.4,10.6,9.3,7.9,10.4,6.9,7.1,7.4,10.1,17.6,16.8,5.9,10.2,"rgb(143,180,112)",75,112
2016-01-19,124.96,7.7,7.8,9.0,7.1,11.4,11.1,8.9,4.2,6.9,3.4,7.3,18.7,7.5,4.4,9.1,"rgb(107,220,148)",35,148
2016-01-20,120.03833333333334,7.7,6.4,7.2,6.3,11.5,10.1,8.6,4.2,5.6000000000000005,9.8,7.3,20.2,5.6000000000000005,3.4,9.3,"rgb(110,215,145)",40,145
