DateTime,平均價,新北市_降水量,臺中市_降水量,臺南市_降水量,高雄市_降水量,桃園市_降水量,新竹縣_降水量,苗栗縣_降水量,南投縣_降水量,彰化縣_降水量,雲林縣_降水量,嘉義市_降水量,屏東縣_降水量,宜蘭縣_降水量,花蓮縣_降水量,臺東縣_降水量,color,x,y
2016-01-01,103.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,"rgb(101,196,154)",59,154
2016-01-02,110.89166666666664,0.5,0.2,3.5,11.5,1.0,0.0,0.0,1.5,0.0,3.5,2.0,40.0,0.0,13.0,17.5,"rgb(113,209,142)",46,142
2016-01-03,123.15,12.5,27.8,96.5,20.5,12.0,19.0,13.5,54.5,23.0,64.5,52.6,33.0,8.7,34.5,55.5,"rgb(180,87,75)",168,75
2016-01-04,87.1,17.0,0.5,0.0,0.0,1.0,2.0,4.5,19.5,1.0,0.5,0.0,0.0,7.6,1.0,0.1,"rgb(117,141,138)",114,138
2016-01-05,118.12166666666668,2.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,"rgb(147,222,108)",33,108
2016-01-06,107.85666666666668,19.0,17.7,7.5,11.5,40.5,41.5,41.0,28.0,15.0,36.5,10.5,1.0,11.1,6.5,1.5,"rgb(140,182,115)",73,115
2016-01-07,120.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,2.0,0.0,"rgb(115,217,140)",38,140
2016-01-08,121.3,3.0,2.2,2.5,5.5,2.5,5.0,1.5,4.5,0.5,10.5,1.5,0.5,3.3,11.5,4.2,"rgb(115,219,140)",36,140
2016-01-09,112.15666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(112,209,143)",46,143
2016-01-10,143.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"rgb(114,235,141)",20,141
2016-01-11,83.8,8.5,29.1,5.5,0.0,49.0,56.0,55.0,8.5,17.5,11.5,4.0,0.0,2.0,6.5,0.0,"rgb(143,179,112)",76,112
2016-01-12,131.61999999999998,8.0,1.4,0.0,0.0,3.5,5.0,4.5,1.0,0.0,0.0,0.0,1.0,1.4,6.5,0.0,"rgb(114,226,141)",29,141
2016-01-13,117.34,8.0,0.0,1.5,4.5,5.0,1.5,0.0,1.0,0.5,1.5,0.1,4.0,1.5,2.5,5.0,"rgb(111,217,144)",38,144
2016-01-14,125.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,"rgb(112,223,143)",32,143
2016-01-15,129.2,2.5,7.7,3.0,17.5,3.0,3.0,3.5,8.0,3.5,6.0,3.0,0.0,1.6,2.5,11.0,"rgb(123,224,132)",31,132
2016-01-16,130.02,0.5,0.7,0.0,0.0,0.0,1.5,1.0,1.5,0.5,1.5,1.1,0.0,0.6,6.0,3.2,"rgb(126,229,129)",26,129
2016-01-17,122.954,12.5,32.6,5.5,78.5,44.0,63.0,42.0,30.5,25.0,28.5,8.0,4.0,2.5,10.0,9.7,"rgb(143,180,112)",75,112
2016-01-19,124.96,8.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2,2.5,0.0,"rgb(107,220,148)",35,148
2016-01-20,120.03833333333334,4.5,0.1,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,"rgb(110,215,145)",40,145
2016-01-21,113.65666666666668,9.5,2.6,0.0,0.0,18.0,16.0,11.0,0.5,3.5,0.0,0.2,0.5,0.7000000000000001,1.0,0.0,"rgb(129,213,126)",42,126
2016-01-22,114.34666666666668,28.5,5.8,3.0,0.0,45.0,30.0,26.0,5.0,2.5,2.0,1.5,0.0,14.1,2.5,0.3,"rgb(136,189,119)",66,119
2016-01-23,99.08428571428571,53.5,14.5,1.5,4.5,27.5,37.5,18.5,21.0,13.0,18.5,6.5,3.5,25.0,14.5,10.2,"rgb(128,192,127)",63,127
2016-01-24,117.06199999999998,12.5,3.2,3.5,5.5,2.0,7.5,4.0,11.0,3.5,16.0,3.0,1.0,2.0,4.5,2.0,"rgb(102,207,153)",48,153
2016-01-26,168.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(109,237,146)",18,146
2016-01-27,153.43499999999997,0.0,0.0,0.5,2.0,0.5,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,1.0,5.3,"rgb(110,237,145)",18,145
2016-01-28,152.5,2.5,10.5,4.0,0.5,7.5,7.0,8.0,4.0,11.0,7.5,4.0,1.5,2.2,3.5,4.0,"rgb(111,235,144)",20,144
2016-01-29,132.22833333333332,18.0,27.8,42.0,17.5,41.0,47.0,48.5,38.0,32.5,51.5,33.0,8.0,5.0,22.5,21.5,"rgb(142,180,113)",75,113
2016-01-30,119.98333333333332,17.0,20.5,2.0,0.0,10.5,11.0,9.0,19.0,33.0,14.5,8.0,0.0,19.5,10.0,0.5,"rgb(128,197,127)",58,127
2016-01-31,120.238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5,0.0,"rgb(112,215,143)",40,143
2016-02-01,117.86666666666667,26.0,6.0,0.0,0.0,35.0,19.5,6.0,11.0,5.5,1.0,0.6,0.0,13.5,2.0,6.099999999999999,"rgb(125,200,130)",55,130
2016-02-02,116.36,20.5,1.0,0.0,0.0,7.5,3.5,3.5,12.0,0.5,3.0,1.5,0.0,8.9,0.0,0.0,"rgb(107,214,148)",41,148
2016-02-03,118.02,3.5,0.7999999999999999,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,"rgb(106,215,149)",40,149
2016-02-04,152.47799999999998,8.0,1.3,0.0,0.5,4.0,3.0,0.5,3.0,0.5,1.5,1.5,1.0,6.5,0.5,3.0,"rgb(111,237,144)",18,144
2016-02-05,146.39666666666662,9.0,0.0,5.0,2.0,8.5,2.0,1.5,0.5,0.0,9.5,0.2,1.0,1.9,7.0,7.0,"rgb(111,234,144)",21,144
2016-02-06,159.18200000000004,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.5,0.0,"rgb(110,235,145)",20,145
2016-02-07,113.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(103,209,152)",46,152
2016-02-12,177.5,0.0,0.0,7.5,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"rgb(170,252,85)",3,85
2016-02-13,192.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(173,255,82)",0,82
2016-02-14,220.06,6.5,2.4,0.0,0.0,40.0,12.5,15.5,0.0,0.0,1.0,0.0,0.0,16.9,0.5,0.0,"rgb(174,254,81)",1,81
2016-02-15,73.1,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,1.0,0.7,"rgb(94,178,161)",77,161
2016-02-16,94.805,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,3.0,0.0,0.1,"rgb(96,188,159)",67,159
2016-02-17,147.06666666666666,4.5,0.3,0.0,0.0,2.5,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.9,4.0,0.0,"rgb(108,233,147)",22,147
2016-02-18,139.26666666666668,10.0,2.9,0.0,0.0,3.5,7.0,6.0,0.5,2.0,0.5,0.5,0.0,23.3,0.0,0.0,"rgb(111,234,144)",21,144
