DateTime,平均價,新北市_風速,臺中市_風速,臺南市_風速,高雄市_風速,桃園市_風速,新竹縣_風速,苗栗縣_風速,南投縣_風速,彰化縣_風速,雲林縣_風速,嘉義市_風速,屏東縣_風速,宜蘭縣_風速,花蓮縣_風速,臺東縣_風速,color,x,y
2016-01-01,103.436,1.6,1.1,2.9,1.8,3.7,1.2,1.3,0.4,0.7,1.2,1.3,6.5,1.3,0.7,1.9,"rgb(101,196,154)",59,154
2016-01-02,110.89166666666664,0.1,0.7000000000000001,2.7,1.7,1.4,1.1,1.3,0.2,0.7000000000000001,1.3,1.7,2.4,1.2,0.2,0.7999999999999999,"rgb(113,209,142)",46,142
2016-01-03,123.15,0.4,0.6,2.6,1.8,1.1,0.8,0.6,0.2,0.4,1.8,1.5,1.5,0.9,0.5,0.9,"rgb(180,87,75)",168,75
2016-01-04,87.1,0.4,0.5,1.9,1.4,0.6,0.8,0.5,0.1,0.3,1.0,0.8,1.4,1.3,0.2,1.0,"rgb(117,141,138)",114,138
2016-01-05,118.12166666666668,0.7000000000000001,0.6,1.7,1.3,1.2,1.0,0.9,0.3,0.4,1.2,0.7999999999999999,1.4,1.1,0.4,1.2,"rgb(147,222,108)",33,108
2016-01-06,107.85666666666668,0.7999999999999999,1.7,3.8,2.6,2.7,1.7,2.2,0.6,1.0,1.4,2.7,2.8000000000000003,1.8,0.7999999999999999,2.6,"rgb(140,182,115)",73,115
2016-01-07,120.24,1.8,1.9,3.9,2.3,3.8,2.1,2.6,0.5,1.1,1.4,2.4,6.1,1.8,0.9,2.0,"rgb(115,217,140)",38,140
2016-01-08,121.3,1.4,2.2,4.5,3.2,3.2,1.6,2.1,0.5,1.1,1.6,3.1,4.3,2.1,0.9,1.7,"rgb(115,219,140)",36,140
2016-01-09,112.15666666666668,2.4,1.6,3.3000000000000003,2.3000000000000003,3.0,1.6,2.0,0.5,0.9,1.6,1.9,5.4,1.7,0.7000000000000001,1.8,"rgb(112,209,143)",46,143
2016-01-10,143.975,0.7,1.1,3.0,2.0,1.7,1.0,1.4,0.3,0.8,1.8,1.9,2.5,1.3,0.4,1.4,"rgb(114,235,141)",20,141
2016-01-11,83.8,0.3,1.4,3.6,2.6,1.7,1.3,1.7,0.4,0.8,2.1,2.8,1.5,1.8,0.4,1.5,"rgb(143,179,112)",76,112
2016-01-12,131.61999999999998,1.6,2.2,4.1,2.6,3.8,2.1,2.8,0.5,1.2,1.7,2.5,3.9,1.5,0.6,1.5,"rgb(114,226,141)",29,141
2016-01-13,117.34,1.1,2.1,4.4,2.8000000000000003,3.4,2.0,2.8000000000000003,0.5,1.1,1.2,2.6,2.9,1.6,0.9,1.2,"rgb(111,217,144)",38,144
2016-01-14,125.14,0.6,1.6,3.3,2.0,2.6,1.5,2.0,0.4,1.0,1.2,2.1,2.5,1.1,0.5,1.4,"rgb(112,223,143)",32,143
2016-01-15,129.2,0.2,0.9,2.8,2.2,1.9,0.9,0.9,0.1,0.5,1.5,1.6,1.5,1.1,0.1,1.2,"rgb(123,224,132)",31,132
2016-01-16,130.02,1.2,1.1,2.1,1.6,2.5,0.7,1.5,0.4,0.7,1.7,1.3,2.9,1.1,0.1,0.9,"rgb(126,229,129)",26,129
2016-01-17,122.954,1.0,1.4,2.7,2.3,1.7,1.4,1.2,0.4,0.9,2.4,2.3,2.9,3.6,0.6,1.8,"rgb(143,180,112)",75,112
2016-01-19,124.96,2.5,1.6,3.2,2.0,3.6,1.6,1.8,0.5,0.9,1.1,2.0,6.3,1.8,0.4,2.2,"rgb(107,220,148)",35,148
2016-01-20,120.03833333333334,2.5,1.4,3.3000000000000003,2.0,3.2,1.5,1.8,0.5,0.9,1.9,2.0,5.5,1.5,0.3,3.1,"rgb(110,215,145)",40,145
2016-01-21,113.65666666666668,0.5,1.7,3.8,2.4,2.9,1.4,1.8,0.6,0.9,1.6,2.5,1.2,2.3000000000000003,0.5,2.6,"rgb(129,213,126)",42,126
2016-01-22,114.34666666666668,1.4,1.7,3.3000000000000003,2.3000000000000003,3.6,1.9,2.3000000000000003,0.6,1.0,1.9,2.1,2.3000000000000003,1.1,0.6,2.6,"rgb(136,189,119)",66,119
2016-01-23,99.08428571428571,2.0,4.1000000000000005,8.1,3.6000000000000005,5.1000000000000005,3.2,4.4,0.7000000000000001,2.2,1.6999999999999995,6.1000000000000005,5.700000000000001,2.1,0.7000000000000001,4.2,"rgb(128,192,127)",63,127
2016-01-24,117.06199999999998,0.9,3.4,8.7,4.4,2.9,2.4,3.5,0.6,2.0,1.4,6.0,4.3,2.9,0.6,3.2,"rgb(102,207,153)",48,153
2016-01-26,168.708,1.3,0.9,3.0,1.9,2.0,1.0,0.9,0.5,0.7,1.1,1.7,6.2,1.5,0.4,3.2,"rgb(109,237,146)",18,146
2016-01-27,153.43499999999997,2.4,0.7999999999999999,2.4,1.4,1.5,0.9,0.7999999999999999,0.2,0.6,1.5,1.3,5.3,2.0,0.2,2.9,"rgb(110,237,145)",18,145
2016-01-28,152.5,1.0,0.9,3.0,2.0,1.4,1.0,0.9,0.4,0.5,1.8,2.0,3.2,1.5,0.2,1.7,"rgb(111,235,144)",20,144
2016-01-29,132.22833333333332,0.3,1.1,3.3000000000000003,2.4,1.5,1.1,1.3,0.4,0.7999999999999999,1.9,2.1,2.4,1.9,0.7999999999999999,2.2,"rgb(142,180,113)",75,113
2016-01-30,119.98333333333332,1.4,1.5,3.5,2.3000000000000003,3.5,1.7,2.1,0.6,0.9,1.3,2.3000000000000003,2.8000000000000003,1.4,0.9,2.4,"rgb(128,197,127)",58,127
2016-01-31,120.238,2.7,1.5,3.9,2.1,4.4,1.8,2.0,0.5,1.1,1.2,2.3,6.3,1.3,0.8,3.2,"rgb(112,215,143)",40,143
2016-02-01,117.86666666666667,2.3,3.2999999999999994,6.099999999999999,2.7000000000000006,5.1,3.1,3.8,0.8000000000000002,1.8,1.1,4.5,5.7,2.0,1.1,3.2999999999999994,"rgb(125,200,130)",55,130
2016-02-02,116.36,0.8,2.5,4.6,2.2,3.9,2.4,3.2,0.3,1.5,1.2,3.3,6.6,1.3,0.9,3.2,"rgb(107,214,148)",41,148
2016-02-03,118.02,0.9,1.7,3.9,2.3000000000000003,3.7,1.6,2.2,0.4,1.1,1.2,2.8000000000000003,3.9,1.6,0.5,3.0,"rgb(106,215,149)",40,149
2016-02-04,152.47799999999998,0.7,1.9,4.6,2.5,3.1,1.0,1.7,0.4,1.2,1.3,3.1,2.7,1.3,0.4,3.0,"rgb(111,237,144)",18,144
2016-02-05,146.39666666666662,1.7,3.3000000000000003,6.2,3.6,3.8,2.3000000000000003,3.3000000000000003,0.7999999999999999,2.0,1.9,4.8,3.0,2.6,0.6,2.9,"rgb(111,234,144)",21,144
2016-02-06,159.18200000000004,0.9,4.0,7.8,3.8,3.8,2.4,3.5,0.5,2.1,1.5,5.8,4.5,3.1,0.5,3.0,"rgb(110,235,145)",20,145
2016-02-07,113.75,1.0,1.8,4.6,2.7,2.1,2.2,2.6,0.6,1.3,1.4,2.9,4.5,2.4,0.5,3.3,"rgb(103,209,152)",46,152
2016-02-12,177.5,0.7,0.9,2.6,2.3,1.0,1.3,1.1,0.3,1.0,2.3,1.5,2.6,1.6,0.5,3.7,"rgb(170,252,85)",3,85
2016-02-13,192.225,0.6,1.5,2.4,1.5,2.4,2.5,2.8,0.7,1.4,2.7,2.1,1.5,1.9,0.6,3.1,"rgb(173,255,82)",0,82
2016-02-14,220.06,1.7,1.9,2.9,2.1,4.0,2.4,2.7,0.7,1.4,2.1,2.5,2.9,3.2,1.1,3.4,"rgb(174,254,81)",1,81
2016-02-15,73.1,1.0,2.8,5.2,2.5,4.1,2.4,3.3,0.7,1.6,1.9,3.7,6.3,2.2,0.9,2.9,"rgb(94,178,161)",77,161
2016-02-16,94.805,1.4,1.0,2.6,1.5,2.8,1.4,1.7,0.3,0.8,1.6,1.4,4.6,1.8,0.6,3.3,"rgb(96,188,159)",67,159
2016-02-17,147.06666666666666,1.4,0.6,2.5,2.0,2.9,1.4,0.7000000000000001,0.2,0.6,1.6,0.9,4.2,1.7,0.5,3.8,"rgb(108,233,147)",22,147
2016-02-18,139.26666666666668,1.0,0.7999999999999999,3.2,2.3000000000000003,1.8,0.9,1.0,0.4,0.7000000000000001,1.3,1.8,2.0,1.5,0.5,2.5,"rgb(111,234,144)",21,144
2016-02-19,128.20333333333335,0.3,1.2,3.4,2.7,1.5,1.3,1.4,0.5,0.9,1.2,1.9,1.4,2.7,0.5,1.9,"rgb(113,226,142)",29,142
2016-02-20,127.27333333333333,1.0,2.4,5.0,2.3000000000000003,3.0,2.3000000000000003,2.8000000000000003,0.5,1.5,1.5,3.5,5.5,2.8000000000000003,0.7000000000000001,3.9,"rgb(107,220,148)",35,148
2016-02-21,105.94833333333332,2.1,0.7999999999999999,1.7,1.7,4.0,1.7,1.0,0.2,0.5,1.5,1.0,7.899999999999999,1.2,0.7999999999999999,3.5,"rgb(100,197,155)",58,155
2016-02-24,75.9,2.5,2.4,4.5,1.9,4.6,3.1,3.8,0.3,1.5,1.2,3.1,9.0,1.6,1.0,2.9,"rgb(95,178,160)",77,160
2016-02-25,113.15,3.2,0.9,2.3,1.9,4.3,1.7,1.7,0.4,0.7,1.2,1.0,8.3,1.2,1.0,3.7,"rgb(100,204,155)",51,155
2016-02-26,110.525,1.4,1.3,3.6,2.3,2.9,1.1,1.2,0.5,0.9,1.3,2.2,3.9,1.5,0.9,3.3,"rgb(101,205,154)",50,154
2016-02-27,127.05,0.1,1.5,4.1,3.2,2.2,0.9,1.8,0.4,1.1,1.2,2.4,2.0,1.7,0.8,2.1,"rgb(106,223,149)",32,149
2016-02-28,113.086,1.5,0.8,3.0,1.9,1.8,1.3,1.4,0.4,0.8,1.2,1.6,3.6,1.6,0.5,2.7,"rgb(111,206,144)",49,144
2016-02-29,79.9,1.9,2.6,4.4,2.2,3.9,2.2,2.6,0.7,1.3,1.3,2.8,6.6,4.2,0.8,4.0,"rgb(94,176,161)",79,161
2016-03-01,106.25,2.8000000000000003,0.7999999999999999,2.4,2.0,3.7,1.7,1.3,0.4,0.9,0.9,1.1,6.5,1.9,0.9,3.6,"rgb(99,199,156)",56,156
2016-03-02,118.925,1.5,0.6,2.0,2.0,1.5,1.4,0.7,0.5,0.5,1.1,1.0,3.5,1.9,0.6,3.1,"rgb(107,210,148)",45,148
2016-03-03,103.715,0.9,0.6,2.2,1.9,1.4,1.4,0.9,0.5,0.5,1.1,1.1,4.4,1.9,0.6,2.7,"rgb(109,199,146)",56,146
2016-03-04,114.475,0.7,0.8,2.4,1.4,1.0,1.2,0.9,0.4,0.7,1.3,1.9,2.5,1.8,0.4,2.4,"rgb(138,218,117)",37,117
2016-03-05,117.175,0.7,0.9,2.0,1.4,1.0,1.3,1.1,0.6,0.7,1.4,1.1,2.3,1.5,0.3,1.9,"rgb(152,220,103)",35,103
2016-03-06,130.4,0.8000000000000002,0.8000000000000002,2.3,2.0,1.5,1.5,1.0,0.5,0.5,1.2,1.2,1.0,1.5,0.3,1.3999999999999997,"rgb(152,235,103)",20,103
2016-03-07,66.6,0.8,1.0,2.0,1.4,1.5,1.4,1.1,0.3,0.7,1.0,0.9,1.8,2.0,0.2,1.4,"rgb(122,116,133)",139,133
