平均價,新北市_最大陣風,臺中市_最大陣風,臺南市_最大陣風,高雄市_最大陣風,桃園市_最大陣風,新竹縣_最大陣風,苗栗縣_最大陣風,南投縣_最大陣風,彰化縣_最大陣風,雲林縣_最大陣風,嘉義市_最大陣風,屏東縣_最大陣風,宜蘭縣_最大陣風,花蓮縣_最大陣風,臺東縣_最大陣風,color
17.3125,7.399999999999999,10.900000000000002,11.400000000000002,7.799999999999999,11.2,14.3,12.2,1.8000000000000005,4.2,3.8,10.1,22.9,6.4,5.6000000000000005,9.4,"rgb(134,230,121)"
14.0,5.7,6.8,7.0,6.7,11.6,17.8,8.7,1.1,2.1,4.5,7.1,21.1,5.6,6.1,6.9,"rgb(130,228,125)"
17.05,7.700000000000001,7.6,9.1,7.6,12.099999999999998,15.2,10.3,2.0,3.6000000000000005,3.6000000000000005,7.5,12.7,9.0,7.700000000000001,6.6000000000000005,"rgb(130,236,125)"
16.7625,7.700000000000001,10.7,12.900000000000002,9.6,13.3,18.1,13.900000000000002,0.6,3.2,6.0,9.6,25.300000000000004,7.200000000000001,7.799999999999999,13.2,"rgb(139,226,116)"
17.1125,5.700000000000001,8.1,8.1,6.299999999999999,13.5,15.3,10.1,0.9000000000000001,0.7999999999999999,4.6000000000000005,6.799999999999999,19.1,6.700000000000001,4.4,6.700000000000001,"rgb(130,215,125)"
17.5875,6.0,6.6000000000000005,11.400000000000002,9.4,10.5,16.400000000000002,7.399999999999999,1.0,1.8000000000000005,5.3,8.0,13.599999999999998,4.1000000000000005,4.4,6.299999999999999,"rgb(115,176,140)"
18.025,7.399999999999999,9.2,10.2,6.0,13.400000000000002,19.0,9.9,1.5,2.8000000000000003,2.8999999999999995,7.1000000000000005,22.1,4.5,8.4,12.7,"rgb(131,225,124)"
17.862499999999994,4.6000000000000005,9.8,11.599999999999998,7.399999999999999,10.6,11.3,9.4,1.9,3.7,3.5,9.6,13.3,5.5,6.0,8.6,"rgb(129,230,126)"
18.475,7.399999999999999,8.200000000000001,8.4,5.5,14.400000000000002,14.599999999999998,10.2,1.9,4.3,3.0,7.200000000000001,17.599999999999994,4.0,5.799999999999999,11.0,"rgb(127,232,128)"
17.212500000000002,6.6000000000000005,8.799999999999997,10.6,6.6000000000000005,12.599999999999998,18.1,12.8,1.4,2.1,2.0,10.2,24.5,5.1000000000000005,6.299999999999999,13.400000000000002,"rgb(134,229,121)"
17.5,7.399999999999999,5.9,7.299999999999999,6.0,12.2,13.3,7.200000000000001,1.1,1.6999999999999995,2.0,7.0,22.300000000000004,4.0,5.1000000000000005,8.1,"rgb(133,223,122)"
16.525,7.399999999999999,4.8,9.1,6.1000000000000005,10.4,7.1000000000000005,4.1000000000000005,0.9000000000000001,1.6,2.6,6.5,12.8,9.1,3.8,6.5,"rgb(123,242,132)"
17.1125,4.4,5.1000000000000005,5.6000000000000005,4.5,6.5,5.0,4.7,1.5,1.6,2.8999999999999995,5.799999999999999,12.0,5.3,4.0,6.0,"rgb(88,201,167)"
17.1125,6.0,8.4,11.400000000000002,5.3,11.0,8.0,6.1000000000000005,1.9,1.6999999999999995,8.5,8.299999999999999,8.0,6.299999999999999,6.200000000000001,10.4,"rgb(91,187,164)"
16.0,11.8,10.8,15.7,13.3,14.1,11.4,9.5,0.9,5.7,12.4,10.2,17.8,20.0,5.3,15.1,"rgb(113,182,142)"
17.1625,7.700000000000001,6.9,9.5,7.799999999999999,10.5,8.1,5.4,1.6,4.1000000000000005,4.9,7.5,16.099999999999998,7.299999999999999,6.700000000000001,10.7,"rgb(91,204,164)"
