DateTime,平均價,新北市_氣壓,臺中市_氣壓,臺南市_氣壓,高雄市_氣壓,桃園市_氣壓,新竹縣_氣壓,苗栗縣_氣壓,南投縣_氣壓,彰化縣_氣壓,雲林縣_氣壓,嘉義市_氣壓,屏東縣_氣壓,宜蘭縣_氣壓,花蓮縣_氣壓,臺東縣_氣壓,color,x,y
2013-01-01,25.0,985.7,1009.7,1018.3,1018.6,1012.0,1004.0,1011.8,996.4,1016.9,890.8999999999999,1016.2,1015.6,1020.7,1003.2,1018.8,"rgb(138,10,117)",245,117
2013-01-02,24.157142857142855,986.2,1009.6,1017.8,1018.1,1012.6,1004.6,1012.5,996.6,1017.0,892.3000000000002,1015.9,1015.4,1019.8,1002.6,1018.1,"rgb(141,18,114)",237,114
2013-01-03,23.728571428571428,990.9,1010.8,1019.4,1019.6,1017.4,1007.0,1014.6,997.7,1018.3,892.8999999999999,1017.5,1016.6,1025.6,1006.4,1021.2,"rgb(102,34,153)",221,153
2013-01-04,22.542857142857148,986.0,1008.3,1017.0,1017.3,1011.9,1002.9,1010.9,995.3,1015.9,890.6000000000001,1015.0,1014.3,1020.5,1002.7,1018.2,"rgb(115,72,140)",183,140
2013-01-05,23.214285714285715,983.7,1006.4,1014.8,1015.0,1010.2,1001.8,1009.6,993.5,1013.9,889.3999999999999,1012.9,1012.2,1017.2,999.5,1014.8,"rgb(133,49,122)",206,122
2013-01-06,22.62857142857143,983.7,1006.6,1015.0,1015.3,1009.8,1001.6,1009.6,993.8,1014.1,890.1000000000001,1013.1,1012.7,1017.2,999.7,1015.1,"rgb(139,49,116)",206,116
2013-01-07,13.0,983.0,1005.9,1014.3,1014.7,1009.3,1001.1,1009.0,993.1,1013.5,889.8,1012.4,1012.1,1015.9,998.5,1014.3,"rgb(173,47,82)",208,82
2013-01-08,23.18333333333333,983.1,1005.9,1014.3,1014.7,1009.8,1001.3,1009.2,993.1,1013.6,889.3000000000002,1012.5,1011.9,1016.7,999.0,1014.4,"rgb(143,103,112)",152,112
2013-01-09,23.47142857142857,985.2,1007.4,1015.8,1016.0,1012.1,1003.3,1011.2,994.2,1015.0,889.3999999999999,1013.9,1012.9,1019.3,1001.0,1016.1,"rgb(133,101,122)",154,122
2013-01-10,23.97142857142857,987.2,1008.2,1017.1,1017.5,1013.4,1003.5,1011.6,995.3,1015.8,890.1999999999998,1015.0,1014.4,1021.9,1003.4,1018.5,"rgb(113,66,142)",189,142
2013-01-11,23.385714285714283,986.1,1008.9,1017.6,1018.1,1011.6,1003.0,1011.4,995.9,1016.4,891.3999999999999,1015.6,1015.3,1020.6,1003.5,1018.9,"rgb(112,50,143)",205,143
2013-01-12,24.885714285714286,983.0,1006.1,1014.5,1014.9,1009.6,1001.3,1009.2,993.3,1013.6,889.5,1012.6,1012.3,1016.3,999.5,1014.8,"rgb(138,105,117)",150,117
2013-01-13,24.35,978.7,1003.0,1010.6,1010.4,1006.3,998.6,1006.3,990.0,1010.4,885.9,1008.9,1006.7,1010.0,992.2,1007.7,"rgb(150,116,105)",139,105
2013-01-14,13.0,985.7,1007.1,1016.0,1016.5,1012.5,1003.5,1010.8,994.0,1014.7,888.6,1013.9,1014.2,1019.8,1000.8,1016.5,"rgb(121,22,134)",233,134
2013-01-15,23.3625,986.5,1010.3,1019.0,1019.8,1012.6,1004.6,1012.8,997.2,1017.7,891.8999999999999,1016.8,1017.5,1020.9,1004.1,1020.3,"rgb(144,3,111)",252,111
2013-01-16,26.385714285714283,986.9,1010.9,1019.7,1020.3,1013.5,1005.4,1013.4,997.9,1018.4,892.6999999999998,1017.6,1017.8,1020.5,1003.7,1019.9,"rgb(146,6,109)",249,109
2013-01-17,24.771428571428572,991.6,1013.1,1021.6,1021.7,1018.8,1009.8,1017.2,999.7,1020.6,893.8999999999999,1019.7,1019.0,1026.2,1006.8,1022.1,"rgb(104,22,151)",233,151
