DateTime,平均價,新北市_氣溫,臺中市_氣溫,臺南市_氣溫,高雄市_氣溫,桃園市_氣溫,新竹縣_氣溫,苗栗縣_氣溫,南投縣_氣溫,彰化縣_氣溫,雲林縣_氣溫,嘉義市_氣溫,屏東縣_氣溫,宜蘭縣_氣溫,花蓮縣_氣溫,臺東縣_氣溫,color,x,y
2017-01-01,25.041250000000005,19.5,20.0,20.3,22.5,20.4,19.1,19.2,18.6,19.8,15.8,19.6,23.9,20.5,19.1,21.5,"rgb(123,5,132)",250,132
2017-01-02,20.0,18.1,20.9,20.5,22.6,19.3,18.9,20.1,19.0,20.3,15.6,20.5,24.6,21.0,20.9,23.4,"rgb(143,11,112)",244,112
2017-01-03,24.74333333333333,17.599999999999994,21.1,20.5,22.5,20.0,18.8,19.9,18.7,20.2,15.900000000000002,20.6,24.800000000000004,20.5,20.6,23.4,"rgb(150,20,105)",235,105
2017-01-04,23.565,19.9,21.0,21.0,22.800000000000004,21.2,19.7,21.300000000000004,19.2,20.5,15.599999999999998,21.300000000000004,24.5,21.7,20.800000000000004,23.1,"rgb(162,22,93)",233,93
2017-01-05,23.248,19.7,20.800000000000004,20.800000000000004,23.2,19.6,19.0,20.1,19.5,20.5,15.8,21.300000000000004,24.5,21.9,22.0,23.9,"rgb(181,39,74)",216,74
2017-01-06,23.121,19.2,20.800000000000004,20.2,23.6,19.6,19.300000000000004,20.300000000000004,19.1,20.1,15.8,20.2,23.7,21.7,21.6,24.300000000000004,"rgb(173,62,82)",193,82
2017-01-07,22.261111111111113,20.2,21.7,21.9,23.7,20.1,19.4,20.4,20.7,20.8,16.099999999999998,21.7,23.9,22.7,20.6,23.6,"rgb(206,82,49)",173,49
2017-01-08,23.476000000000006,17.0,21.9,21.9,24.7,19.1,19.0,20.4,20.6,21.1,17.0,21.7,24.1,20.4,19.800000000000004,23.1,"rgb(197,70,58)",185,58
2017-01-09,21.0,13.9,19.9,19.9,23.1,16.6,16.2,18.1,18.9,18.9,16.8,19.7,23.1,17.0,17.3,21.0,"rgb(119,63,136)",192,136
2017-01-10,23.59222222222223,15.2,19.1,19.1,22.2,17.5,16.7,17.5,17.599999999999994,18.3,15.2,19.0,22.6,17.599999999999994,17.3,20.5,"rgb(121,32,134)",223,134
2017-01-11,22.977000000000004,16.599999999999998,19.800000000000004,19.7,22.2,18.800000000000004,18.5,18.800000000000004,18.6,19.4,15.900000000000002,19.7,23.4,19.1,18.1,21.0,"rgb(131,29,124)",226,124
2017-01-12,22.68909090909091,18.0,20.2,20.2,22.300000000000008,18.300000000000004,18.1,19.1,19.300000000000004,19.7,15.7,20.5,23.800000000000008,20.300000000000004,19.0,21.0,"rgb(190,57,65)",198,65
2017-01-13,22.804,13.400000000000002,18.2,19.7,22.5,14.0,14.0,15.7,18.1,17.599999999999994,16.400000000000002,19.300000000000004,22.6,16.900000000000002,17.300000000000004,20.2,"rgb(108,86,147)",169,147
2017-01-14,22.597777777777768,11.099999999999998,15.7,16.7,20.3,13.2,12.099999999999998,13.900000000000002,14.7,15.099999999999998,14.400000000000002,15.900000000000002,21.4,13.8,15.3,18.2,"rgb(105,105,150)",150,150
2017-01-15,22.487,11.099999999999998,15.900000000000002,17.199999999999996,20.300000000000004,13.7,12.5,14.3,14.900000000000002,15.5,13.5,16.900000000000002,21.4,13.8,15.400000000000002,18.300000000000004,"rgb(94,61,161)",194,161
2017-01-16,19.0,12.1,16.4,17.6,20.2,14.8,13.7,15.2,15.4,16.0,12.9,17.5,21.4,14.2,16.2,19.4,"rgb(91,46,164)",209,164
2017-01-17,22.613000000000003,16.300000000000004,18.4,18.4,20.800000000000004,18.0,17.300000000000004,17.5,17.099999999999998,17.800000000000004,13.3,18.6,22.300000000000004,17.199999999999996,16.699999999999996,19.9,"rgb(111,15,144)",240,144
2017-01-18,22.302222222222227,17.8,19.7,20.0,22.2,17.900000000000006,17.5,18.5,17.900000000000006,19.4,15.400000000000002,20.2,22.9,20.1,19.0,21.800000000000004,"rgb(136,1,119)",254,119
2017-01-19,22.450000000000006,16.900000000000002,20.6,20.8,23.6,17.099999999999998,17.0,18.6,19.3,20.3,16.0,20.8,23.0,20.2,20.2,22.9,"rgb(142,3,113)",252,113
2017-01-20,21.453333333333333,10.8,16.7,17.3,20.6,12.3,11.8,13.8,16.400000000000002,16.2,15.2,17.400000000000002,21.2,14.8,15.599999999999998,19.1,"rgb(71,42,184)",213,184
2017-01-21,21.896666666666665,10.5,15.400000000000002,15.400000000000002,18.9,12.8,11.900000000000002,13.7,14.3,15.0,14.099999999999998,15.599999999999998,20.0,14.2,14.400000000000002,17.7,"rgb(59,27,196)",228,196
2017-01-22,21.91666666666667,11.3,16.599999999999998,16.599999999999998,19.3,13.7,13.0,14.7,15.099999999999998,16.0,14.5,16.8,20.3,15.0,14.3,17.7,"rgb(55,23,200)",232,200
2017-01-23,20.8,11.0,16.7,17.2,20.3,13.9,13.1,14.5,16.1,16.1,13.4,17.2,19.8,13.8,13.8,17.2,"rgb(55,20,200)",235,200
2017-01-24,21.80666666666667,11.5,17.2,17.2,20.4,14.3,13.7,15.3,16.400000000000002,16.099999999999998,13.599999999999998,17.3,20.7,13.7,16.0,18.7,"rgb(58,18,197)",237,197
