DateTime,臺北市,嘉義市,新竹市,基隆市,新北市,桃園市,臺中市,彰化縣,高雄市,臺南市,金門縣,澎湖縣,雲林縣,連江縣,新竹縣,苗栗縣,屏東縣,嘉義縣,宜蘭縣,南投縣,花蓮縣,臺東縣
2012-01-01,91315.0,0,0,0,0.0,511.0,8017.0,0.0,31925.0,0,0,0,94616.0,0,0,0,21004.0,0,0.0,4617.0,0.0,0.0
2012-01-08,95669.0,0,0,0,0.0,1960.0,5299.0,0.0,37911.0,0,0,0,82622.0,0,0,0,17065.0,0,0.0,5208.0,0.0,0.0
2012-01-15,103757.0,0,0,0,0.0,3320.0,8254.0,0.0,35382.0,0,0,0,102385.0,0,0,0,28040.0,0,0.0,1840.0,0.0,0.0
2012-01-22,20180.0,0,0,0,0.0,320.0,2078.0,0.0,8800.0,0,0,0,23150.0,0,0,0,4176.0,0,0.0,328.0,0.0,0.0
2012-01-29,99137.0,0,0,0,0.0,1737.0,5650.0,0.0,36777.0,0,0,0,72387.0,0,0,0,16263.0,0,0.0,2150.0,0.0,0.0
2012-02-05,84292.0,0,0,0,0.0,2360.0,6409.0,0.0,26615.0,0,0,0,77334.0,0,0,0,21518.0,0,0.0,1476.0,0.0,0.0
2012-02-12,93379.0,0,0,0,0.0,540.0,6319.0,0.0,36153.0,0,0,0,86438.0,0,0,0,24431.0,0,0.0,995.0,0.0,0.0
2012-02-19,81758.0,0,0,0,0.0,760.0,6642.0,0.0,32108.0,0,0,0,84601.0,0,0,0,15833.0,0,0.0,1521.0,0.0,0.0
2012-02-26,73404.0,0,0,0,0.0,740.0,3389.0,0.0,27692.0,0,0,0,69250.0,0,0,0,12039.0,0,0.0,875.0,0.0,0.0
2012-03-04,98351.0,0,0,0,0.0,440.0,5603.0,0.0,23727.0,0,0,0,78248.0,0,0,0,20087.0,0,0.0,766.0,0.0,0.0
2012-03-11,91532.0,0,0,0,0.0,1900.0,6449.0,0.0,30961.0,0,0,0,89625.0,0,0,0,14126.0,0,0.0,1969.0,0.0,0.0
2012-03-18,128244.0,0,0,0,0.0,1480.0,10080.0,0.0,27101.0,0,0,0,86564.0,0,0,0,19952.0,0,0.0,1721.0,0.0,0.0
2012-03-25,99986.0,0,0,0,0.0,1740.0,8075.0,0.0,38401.0,0,0,0,102525.0,0,0,0,18029.0,0,0.0,1586.0,0.0,0.0
2012-04-01,118753.0,0,0,0,0.0,980.0,12742.0,0.0,33207.0,0,0,0,105780.0,0,0,0,33064.0,0,0.0,1858.0,0.0,0.0
2012-04-08,85028.0,0,0,0,0.0,60.0,5355.0,0.0,41700.0,0,0,0,134010.0,0,0,0,20923.0,0,0.0,1590.0,0.0,0.0
2012-04-15,98929.0,0,0,0,0.0,200.0,5267.0,0.0,38680.0,0,0,0,131660.0,0,0,0,30716.0,0,0.0,2505.0,0.0,0.0
2012-04-22,73483.0,0,0,0,0.0,320.0,3124.0,0.0,32800.0,0,0,0,100690.0,0,0,0,13415.0,0,0.0,1086.0,0.0,0.0
2012-04-29,64459.0,0,0,0,0.0,980.0,3991.0,0.0,21375.0,0,0,0,66264.0,0,0,0,14038.0,0,0.0,541.0,0.0,0.0
2012-05-06,58987.0,0,0,0,0.0,160.0,2781.0,0.0,20028.0,0,0,0,20837.0,0,0,0,8890.0,0,0.0,257.0,0.0,0.0
2012-05-13,94363.0,0,0,0,0.0,0.0,7267.0,0.0,26264.0,0,0,0,0.0,0,0,0,16477.0,0,0.0,1244.0,0.0,0.0
2012-05-20,68859.0,0,0,0,0.0,0.0,5356.0,0.0,15708.0,0,0,0,0.0,0,0,0,9859.0,0,0.0,316.0,0.0,0.0
2012-05-27,135236.0,0,0,0,0.0,0.0,14956.0,0.0,46398.0,0,0,0,0.0,0,0,0,31157.0,0,0.0,1322.0,0.0,0.0
2012-06-03,124014.0,0,0,0,0.0,1400.0,10265.0,0.0,53014.0,0,0,0,0.0,0,0,0,36360.0,0,0.0,1866.0,0.0,0.0
2012-06-10,77500.0,0,0,0,0.0,380.0,5236.0,0.0,38079.0,0,0,0,0.0,0,0,0,25227.0,0,0.0,1342.0,0.0,0.0
2012-06-17,59600.0,0,0,0,0.0,196.0,2742.0,0.0,25922.0,0,0,0,0.0,0,0,0,8421.0,0,0.0,299.0,0.0,0.0
2012-06-24,36418.0,0,0,0,0.0,111.0,799.0,0.0,14295.0,0,0,0,6627.0,0,0,0,6397.0,0,0.0,211.0,0.0,0.0
2012-07-01,89872.0,0,0,0,0.0,697.0,5325.0,0.0,28126.0,0,0,0,0.0,0,0,0,22339.0,0,0.0,1345.0,0.0,0.0
2012-07-08,81986.0,0,0,0,0.0,647.0,4745.0,0.0,32880.0,0,0,0,0.0,0,0,0,20229.0,0,0.0,1193.0,0.0,0.0
2012-07-15,94448.0,0,0,0,0.0,440.0,6829.0,0.0,50037.0,0,0,0,0.0,0,0,0,33881.0,0,0.0,1590.0,0.0,0.0
2012-07-22,104120.0,0,0,0,0.0,1638.0,8343.0,0.0,54201.0,0,0,0,0.0,0,0,0,30125.0,0,0.0,870.0,0.0,0.0
2012-07-29,68666.0,0,0,0,0.0,152.0,4484.0,0.0,31472.0,0,0,0,0.0,0,0,0,16791.0,0,0.0,649.0,0.0,0.0
2012-08-05,53779.0,0,0,0,0.0,193.0,2627.0,0.0,24426.0,0,0,0,0.0,0,0,0,12209.0,0,0.0,302.0,0.0,0.0
2012-08-12,64596.0,0,0,0,0.0,661.0,2548.0,0.0,16666.0,0,0,0,0.0,0,0,0,13183.0,0,0.0,842.0,0.0,0.0
2012-08-19,68622.0,0,0,0,0.0,240.0,1982.0,0.0,18847.0,0,0,0,0.0,0,0,0,8357.0,0,0.0,406.0,0.0,0.0
2012-08-26,87100.0,0,0,0,0.0,757.0,5671.0,0.0,29696.0,0,0,0,11632.0,0,0,0,15367.0,0,0.0,488.0,0.0,0.0
2012-09-02,63579.0,0,0,0,0.0,496.0,2718.0,0.0,25339.0,0,0,0,99436.0,0,0,0,15228.0,0,0.0,1324.0,0.0,0.0
2012-09-09,101278.0,0,0,0,0.0,2060.0,6334.0,0.0,53058.0,0,0,0,131957.0,0,0,0,31519.0,0,0.0,1699.0,0.0,0.0
2012-09-16,104024.0,0,0,0,0.0,1993.0,8010.0,0.0,63935.0,0,0,0,142196.0,0,0,0,27114.0,0,0.0,1281.0,0.0,0.0
2012-09-23,92163.0,0,0,0,0.0,1385.0,5240.0,0.0,62892.0,0,0,0,146579.0,0,0,0,22458.0,0,0.0,2235.0,0.0,0.0
2012-09-30,91161.0,0,0,0,0.0,1620.0,5983.0,0.0,58843.0,0,0,0,132550.0,0,0,0,27451.0,0,0.0,2048.0,0.0,0.0
2012-10-07,99236.0,0,0,0,0.0,2280.0,6487.0,0.0,95852.0,0,0,0,138684.0,0,0,0,37777.0,0,0.0,2248.0,0.0,0.0
2012-10-14,94290.0,0,0,0,0.0,1841.0,6079.0,0.0,78230.0,0,0,0,107755.0,0,0,0,38792.0,0,0.0,2157.0,0.0,0.0
2012-10-21,98436.0,0,0,0,0.0,3345.0,6976.0,0.0,83470.0,0,0,0,110112.0,0,0,0,32920.0,0,0.0,2452.0,0.0,0.0
2012-10-28,74842.0,0,0,0,0.0,1765.0,3288.0,0.0,72832.0,0,0,0,80965.0,0,0,0,17451.0,0,0.0,1427.0,0.0,0.0
2012-11-04,72291.0,0,0,0,0.0,710.0,5324.0,0.0,46275.0,0,0,0,73650.0,0,0,0,17182.0,0,0.0,406.0,0.0,0.0
2012-11-11,77853.0,0,0,0,0.0,680.0,4091.0,0.0,34315.0,0,0,0,89132.0,0,0,0,27273.0,0,0.0,830.0,0.0,0.0
2012-11-18,50595.0,0,0,0,0.0,180.0,2850.0,0.0,25237.0,0,0,0,69588.0,0,0,0,11199.0,0,0.0,319.0,0.0,0.0
2012-11-25,33724.0,0,0,0,0.0,0.0,1129.0,0.0,21300.0,0,0,0,12513.0,0,0,0,6224.0,0,0.0,229.0,0.0,0.0
2012-12-02,37662.0,0,0,0,0.0,100.0,778.0,0.0,16540.0,0,0,0,35156.0,0,0,0,8406.0,0,0.0,178.0,0.0,0.0
2012-12-09,38253.0,0,0,0,0.0,1260.0,1587.0,0.0,11938.0,0,0,0,40944.0,0,0,0,5282.0,0,0.0,211.0,0.0,0.0
2012-12-16,75529.0,0,0,0,0.0,960.0,6412.0,0.0,26294.0,0,0,0,31275.0,0,0,0,15572.0,0,0.0,1362.0,0.0,0.0
2012-12-23,85404.0,0,0,0,0.0,1685.0,7778.0,0.0,26795.0,0,0,0,0.0,0,0,0,15107.0,0,0.0,2953.0,0.0,0.0
2012-12-30,92950.0,0,0,0,0.0,1540.0,7322.0,0.0,32819.0,0,0,0,89869.0,0,0,0,21320.0,0,0.0,2890.0,0.0,0.0
2013-01-06,102233.0,0,0,0,0.0,3165.0,7578.0,0.0,38015.0,0,0,0,122035.0,0,0,0,17700.0,0,0.0,3072.0,0.0,0.0
2013-01-13,104443.0,0,0,0,0.0,1900.0,6764.0,0.0,40253.0,0,0,0,0.0,0,0,0,26877.0,0,0.0,3514.0,0.0,0.0
2013-01-20,95062.0,0,0,0,0.0,2615.0,8811.0,0.0,53271.0,0,0,0,0.0,0,0,0,26991.0,0,0.0,2371.0,0.0,0.0
2013-01-27,77700.0,0,0,0,0.0,1280.0,4498.0,0.0,45586.0,0,0,0,38640.0,0,0,0,32617.0,0,0.0,2507.0,0.0,0.0
2013-02-03,61070.0,0,0,0,0.0,940.0,1918.0,0.0,54928.0,0,0,0,89785.0,0,0,0,43081.0,0,0.0,602.0,45.0,0.0
2013-02-10,11853.0,0,0,0,0.0,60.0,741.0,0.0,13710.0,0,0,0,40565.0,0,0,0,11227.0,0,0.0,209.0,0.0,0.0
2013-02-17,66846.0,0,0,0,0.0,112.0,4200.0,0.0,38203.0,0,0,0,89175.0,0,0,0,19814.0,0,0.0,1118.0,0.0,0.0
2013-02-24,60879.0,0,0,0,0.0,580.0,3797.0,0.0,45475.0,0,0,0,79457.0,0,0,0,25945.0,0,0.0,1038.0,0.0,0.0
2013-03-03,67303.0,0,0,0,0.0,980.0,6200.0,0.0,55812.0,0,0,0,93726.0,0,0,0,28606.0,0,0.0,988.0,0.0,0.0
2013-03-10,72238.0,0,0,0,0.0,800.0,6660.0,0.0,44820.0,0,0,0,95528.0,0,0,0,24996.0,0,0.0,1402.0,0.0,0.0
