color,DateTime,平均價
"rgb(134,230,121)",2012-01-01,17.3125
"rgb(130,228,125)",2012-01-02,14.0
"rgb(130,236,125)",2012-01-03,17.05
"rgb(139,226,116)",2012-01-04,16.7625
"rgb(130,215,125)",2012-01-05,17.1125
"rgb(115,176,140)",2012-01-06,17.5875
"rgb(131,225,124)",2012-01-07,18.025
"rgb(129,230,126)",2012-01-08,17.862500000000000
"rgb(127,232,128)",2012-01-10,18.475
"rgb(134,229,121)",2012-01-11,17.212500000000000
"rgb(133,223,122)",2012-01-12,17.5
"rgb(123,242,132)",2012-01-13,16.525
"rgb(88,201,167)",2012-01-14,17.1125
"rgb(91,187,164)",2012-01-15,17.1125
"rgb(113,182,142)",2012-01-16,16.0
"rgb(91,204,164)",2012-01-17,17.1625
"rgb(88,204,167)",2012-01-18,16.1375
"rgb(87,204,168)",2012-01-19,16.1375
"rgb(95,206,160)",2012-01-20,15.4
"rgb(97,204,158)",2012-01-21,16.025
"rgb(115,179,140)",2012-01-22,15.6375
"rgb(92,207,163)",2012-01-28,14.412500000000000
"rgb(97,210,158)",2012-01-29,16.025
"rgb(129,235,126)",2012-01-30,15.314285714285700
"rgb(132,232,123)",2012-01-31,15.325
"rgb(129,239,126)",2012-02-01,15.9125
"rgb(137,226,118)",2012-02-02,15.3
"rgb(131,220,124)",2012-02-03,15.037500000000000
"rgb(126,240,129)",2012-02-04,15.2375
"rgb(89,206,166)",2012-02-05,16.1375
"rgb(58,190,197)",2012-02-06,17.85
"rgb(127,215,128)",2012-02-08,15.0
"rgb(132,225,123)",2012-02-09,17.2875
"rgb(128,238,127)",2012-02-10,17.3375
"rgb(130,235,125)",2012-02-11,16.662500000000000
"rgb(125,241,130)",2012-02-12,17.34285714285710
"rgb(80,209,175)",2012-02-13,14.0
"rgb(76,204,179)",2012-02-14,17.775
"rgb(77,198,178)",2012-02-15,17.6375
"rgb(106,204,149)",2012-02-16,16.5875
"rgb(136,227,119)",2012-02-17,16.9125
"rgb(139,226,116)",2012-02-18,16.9875
"rgb(133,224,122)",2012-02-19,17.342857142857100
"rgb(123,237,132)",2012-02-20,12.5
"rgb(78,205,177)",2012-02-21,18.2125
